dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,ECPN,dir,max,2022-12-03 13:28:25,0.6688,False,7.729763479900888,0.4536889928676331,0.12490668911200924,0.6336578795096871,False,7.369957676491332,True
ingv,ECPN,mag,max,2023-01-21 12:26:29,0.6112,False,5.1684549446249495,0.11105254637262174,0.04351599954613673,0.6977449889427341,False,5.752941808309828,True
ingv,ECPN,mag,max,2022-12-10 21:15:09,0.6143,True,5.976514474613755,-0.3733375615073711,0.180914638102139,0.6193954079590483,False,5.506599646022569,True
ingv,EEC1,dir,max,2022-12-12 14:06:50,0.599,True,4.9596724656946805,0.18178698749456812,0.0360009223896195,0.8058161433192089,False,5.357358929666867,True
ingv,ECPN,mag,max,2023-01-10 20:52:41,0.6593,True,4.108618770859961,-0.3555092097939343,0.040804338446320865,0.9615720618378468,False,5.298050491945196,True
ingv,ECPN,mag,max,2023-01-10 15:03:12,0.6008,False,4.711434739465928,-0.06276565456200522,0.01870032343913773,1.031260775807186,False,5.217144611265765,False
ingv,ECPN,mag,max,2022-11-26 19:54:04,0.6699,True,4.641976263986161,-0.10991143244437529,0.0722489591527494,1.1074363764797603,False,5.13726514020446,False
ingv,EEC1,mag,max,2022-11-30 05:04:15,0.5294,False,4.149387376777428,-0.1257063625096153,0.03132770888576053,0.32202865512551765,False,5.0135120633158445,True
ingv,ECPN,mag,max,2023-01-10 16:17:07,0.6544,True,5.099539123423851,1.0339156114789239,0.0427010981624744,0.9945455962898342,False,5.010490603164006,True
experiment,EC1,mag,max,2023-07-27 13:22:44,0.6523,True,5.108120926778373,-0.42695446952289196,0.06770204239969856,,False,5.009834390107132,False
ingv,EEC1,mag,max,2022-11-30 03:46:40,0.5341,False,9.950648614730738,2.0346041895351306,0.3417018081361485,0.45918465092496163,False,4.953787982415205,True
ingv,ECPN,dir,max,2023-01-21 12:18:44,0.665,False,4.551675166410231,-0.21796619445971954,0.1133409465387875,1.0207027677151967,False,4.798571237115026,False
experiment,EC1,mag,max,2023-07-27 10:44:29,0.7,True,4.247077480596697,-0.7441950276737428,0.10273561791560315,,False,4.579037637346139,False
ingv,EEC1,mag,max,2022-11-30 08:50:36,0.5108,False,6.224587833030252,-0.06509231152434536,0.0954754474690273,1.2975939154873268,False,4.565355735481307,False
ingv,ECPN,mag,max,2023-01-16 10:30:51,0.6287,True,4.609813103331972,0.570670475767991,0.09086598988474855,0.8307141022924506,False,4.452494573889173,True
ingv,ECPN,mag,stack,2022-12-10 11:52:21,0.3704,False,7.8631095749859545,0.7755958329696369,0.13009785611371535,0.7863357180686025,False,4.4506451511472465,True
ingv,ECPN,dir,stack,2022-12-03 13:32:17,0.3851,False,7.729763479900888,1.0230872464374503,0.17090001549358264,0.5479980566026736,False,4.193632875951548,True
ingv,EEC1,mag,max,2023-01-10 18:43:23,0.5499,True,4.626224365635686,-0.3491069583242399,0.1319136403514495,0.7324277558478807,False,4.172546572766748,True
ingv,EEC1,dir,max,2022-11-27 22:19:49,0.5476,False,3.366955629076518,-0.5155854168259397,0.03267575715841798,0.7912727545341841,False,4.161232364583099,True
ingv,ECPN,mag,max,2022-12-10 14:08:01,0.6007,False,7.047941453326967,3.51934056923258,0.10594958402372721,0.776668289668964,False,4.022900493498367,True
ingv,ECPN,mag,max,2023-01-07 04:33:32,0.6783,True,2.629294231694827,-0.6731393136607675,0.04254054650889131,1.3211313193858791,False,3.9689689346162473,False
ingv,ECPN,mag,stack,2022-12-03 17:12:14,0.3871,True,7.786801262060651,-0.27412482427966145,0.2725454203874454,0.708080770126401,False,3.946214599826461,True
ingv,EEC1,mag,max,2022-12-12 13:42:22,0.6274,True,2.389765244846263,-0.757021409759528,0.10840286846194834,0.4217553852063756,False,3.9361527192472003,True
experiment,EC1,dir,max,2023-07-26 10:18:41,0.5463,False,4.37087700340701,0.20658018218613217,0.12219924057836298,0.5221641306938092,False,3.911780830709225,True
ingv,ECPN,dir,stack,2023-01-10 13:12:04,0.4107,True,5.3611580013112885,-0.6944562270766816,0.11393888432588306,0.8527159924816747,False,3.8629405550653297,True
