dataset,station,component,sim,template,floor_detect,floor_signif
ingv,ECPN,dir,sim1,template1,0.4922,0.5194
ingv,ECPN,dir,sim1,template2,0.5013,0.5489
ingv,ECPN,dir,sim1,template3,0.5231,0.5543
ingv,ECPN,dir,sim1,template4,0.2792,0.3098
ingv,ECPN,dir,sim2,template1,0.5292,0.5651
ingv,ECPN,dir,sim2,template2,0.5356,0.5725
ingv,ECPN,dir,sim2,template3,0.5024,0.5294
ingv,ECPN,dir,sim2,template4,0.3052,0.3473
ingv,ECPN,dir,sim3,template1,0.5653,0.6138
ingv,ECPN,dir,sim3,template2,0.6133,0.6708
ingv,ECPN,dir,sim3,template3,0.6148,0.6765
ingv,ECPN,dir,sim3,template4,0.4125,0.4439
ingv,ECPN,dir,sim4,template1,0.5622,0.6094
ingv,ECPN,dir,sim4,template2,0.6195,0.6661
ingv,ECPN,dir,sim4,template3,0.5282,0.5801
ingv,ECPN,dir,sim4,template4,0.3762,0.3914
ingv,ECPN,mag,sim1,template1,0.5007,0.5436
ingv,ECPN,mag,sim1,template2,0.5212,0.5705
ingv,ECPN,mag,sim1,template3,0.5305,0.5742
ingv,ECPN,mag,sim1,template4,0.2766,0.305
ingv,ECPN,mag,sim2,template1,0.5565,0.594
ingv,ECPN,mag,sim2,template2,0.6208,0.6599
ingv,ECPN,mag,sim2,template3,0.6188,0.6667
ingv,ECPN,mag,sim2,template4,0.374,0.3961
ingv,ECPN,mag,sim3,template1,0.621,0.6544
ingv,ECPN,mag,sim3,template2,0.631,0.6912
ingv,ECPN,mag,sim3,template3,0.6561,0.6922
ingv,ECPN,mag,sim3,template4,0.371,0.3916
ingv,ECPN,mag,sim4,template1,0.6581,0.7037
ingv,ECPN,mag,sim4,template2,0.6421,0.6838
ingv,ECPN,mag,sim4,template3,0.6704,0.7192
ingv,ECPN,mag,sim4,template4,0.3768,0.4074
ingv,ECPN,vec,sim1,template1,0.3837,0.402
ingv,ECPN,vec,sim1,template2,0.4347,0.4622
ingv,ECPN,vec,sim1,template3,0.4441,0.4717
ingv,ECPN,vec,sim1,template4,0.2317,0.2488
ingv,ECPN,vec,sim2,template1,0.4365,0.4674
ingv,ECPN,vec,sim2,template2,0.4375,0.4598
ingv,ECPN,vec,sim2,template3,0.4618,0.4968
ingv,ECPN,vec,sim2,template4,0.2648,0.2857
ingv,ECPN,vec,sim3,template1,0.4514,0.4959
ingv,ECPN,vec,sim3,template2,0.4664,0.5149
ingv,ECPN,vec,sim3,template3,0.4456,0.4829
ingv,ECPN,vec,sim3,template4,0.2407,0.2603
ingv,ECPN,vec,sim4,template1,0.4996,0.5517
ingv,ECPN,vec,sim4,template2,0.4894,0.529
ingv,ECPN,vec,sim4,template3,0.465,0.4814
ingv,ECPN,vec,sim4,template4,0.2595,0.2766
ingv,EEC1,dir,sim1,template1,0.4314,0.4651
ingv,EEC1,dir,sim1,template2,0.4591,0.4881
ingv,EEC1,dir,sim1,template3,0.4826,0.5108
ingv,EEC1,dir,sim1,template4,0.2728,0.295
ingv,EEC1,dir,sim2,template1,0.4889,0.5378
ingv,EEC1,dir,sim2,template2,0.4921,0.5402
ingv,EEC1,dir,sim2,template3,0.4685,0.4923
ingv,EEC1,dir,sim2,template4,0.2792,0.3007
ingv,EEC1,dir,sim3,template1,0.497,0.5446
ingv,EEC1,dir,sim3,template2,0.411,0.4526
ingv,EEC1,dir,sim3,template3,0.4151,0.4487
ingv,EEC1,dir,sim3,template4,0.274,0.3067
ingv,EEC1,dir,sim4,template1,0.4725,0.5122
ingv,EEC1,dir,sim4,template2,0.4249,0.4416
ingv,EEC1,dir,sim4,template3,0.4303,0.4587
ingv,EEC1,dir,sim4,template4,0.2459,0.2652
ingv,EEC1,mag,sim1,template1,0.4577,0.4826
ingv,EEC1,mag,sim1,template2,0.4804,0.5159
ingv,EEC1,mag,sim1,template3,0.4908,0.5314
ingv,EEC1,mag,sim1,template4,0.2863,0.3232
ingv,EEC1,mag,sim2,template1,0.475,0.5132
ingv,EEC1,mag,sim2,template2,0.4669,0.4898
ingv,EEC1,mag,sim2,template3,0.4362,0.4714
ingv,EEC1,mag,sim2,template4,0.2685,0.2953
ingv,EEC1,mag,sim3,template1,0.4753,0.527
ingv,EEC1,mag,sim3,template2,0.413,0.4537
ingv,EEC1,mag,sim3,template3,0.4368,0.4683
ingv,EEC1,mag,sim3,template4,0.2435,0.2616
ingv,EEC1,mag,sim4,template1,0.4501,0.5022
ingv,EEC1,mag,sim4,template2,0.4057,0.4317
ingv,EEC1,mag,sim4,template3,0.4543,0.502
ingv,EEC1,mag,sim4,template4,0.2264,0.2429
ingv,EEC1,vec,sim1,template1,0.3782,0.4076
ingv,EEC1,vec,sim1,template2,0.3727,0.4083
ingv,EEC1,vec,sim1,template3,0.3949,0.427
ingv,EEC1,vec,sim1,template4,0.2225,0.2444
ingv,EEC1,vec,sim2,template1,0.3803,0.408
ingv,EEC1,vec,sim2,template2,0.392,0.4164
ingv,EEC1,vec,sim2,template3,0.374,0.4029
ingv,EEC1,vec,sim2,template4,0.2155,0.2339
ingv,EEC1,vec,sim3,template1,0.3775,0.402
ingv,EEC1,vec,sim3,template2,0.3536,0.3697
ingv,EEC1,vec,sim3,template3,0.3501,0.3786
ingv,EEC1,vec,sim3,template4,0.2111,0.2354
ingv,EEC1,vec,sim4,template1,0.3726,0.403
ingv,EEC1,vec,sim4,template2,0.3479,0.3722
ingv,EEC1,vec,sim4,template3,0.346,0.3716
ingv,EEC1,vec,sim4,template4,0.1936,0.2117
experiment,EC1,dir,sim1,template1,0.4772,0.506
experiment,EC1,dir,sim1,template2,0.4768,0.5151
experiment,EC1,dir,sim1,template3,0.4898,0.5361
experiment,EC1,dir,sim1,template4,0.282,0.2977
experiment,EC1,dir,sim2,template1,0.4889,0.514
experiment,EC1,dir,sim2,template2,0.4812,0.5197
experiment,EC1,dir,sim2,template3,0.5343,0.5732
experiment,EC1,dir,sim2,template4,0.3124,0.3372
experiment,EC1,dir,sim3,template1,0.5022,0.5331
experiment,EC1,dir,sim3,template2,0.5048,0.5343
experiment,EC1,dir,sim3,template3,0.528,0.563
experiment,EC1,dir,sim3,template4,0.2879,0.3212
experiment,EC1,dir,sim4,template1,0.5276,0.5515
experiment,EC1,dir,sim4,template2,0.5081,0.5453
experiment,EC1,dir,sim4,template3,0.5566,0.5938
experiment,EC1,dir,sim4,template4,0.2857,0.311
experiment,EC1,mag,sim1,template1,0.4807,0.5016
experiment,EC1,mag,sim1,template2,0.5017,0.5206
experiment,EC1,mag,sim1,template3,0.5336,0.5731
experiment,EC1,mag,sim1,template4,0.3008,0.3149
experiment,EC1,mag,sim2,template1,0.5194,0.5433
experiment,EC1,mag,sim2,template2,0.5092,0.535
experiment,EC1,mag,sim2,template3,0.5167,0.5568
experiment,EC1,mag,sim2,template4,0.3091,0.3242
experiment,EC1,mag,sim3,template1,0.5073,0.5486
experiment,EC1,mag,sim3,template2,0.5965,0.622
experiment,EC1,mag,sim3,template3,0.6062,0.6572
experiment,EC1,mag,sim3,template4,0.3782,0.4111
experiment,EC1,mag,sim4,template1,0.5592,0.6091
experiment,EC1,mag,sim4,template2,0.6012,0.6469
experiment,EC1,mag,sim4,template3,0.5511,0.5882
experiment,EC1,mag,sim4,template4,0.3888,0.4079
experiment,EC1,vec,sim1,template1,0.3863,0.4175
experiment,EC1,vec,sim1,template2,0.3717,0.3953
experiment,EC1,vec,sim1,template3,0.4127,0.4346
experiment,EC1,vec,sim1,template4,0.2326,0.2582
experiment,EC1,vec,sim2,template1,0.4144,0.4524
experiment,EC1,vec,sim2,template2,0.3975,0.4193
experiment,EC1,vec,sim2,template3,0.4355,0.4541
experiment,EC1,vec,sim2,template4,0.2464,0.2674
experiment,EC1,vec,sim3,template1,0.412,0.4315
experiment,EC1,vec,sim3,template2,0.438,0.4568
experiment,EC1,vec,sim3,template3,0.4633,0.4977
experiment,EC1,vec,sim3,template4,0.2591,0.2764
experiment,EC1,vec,sim4,template1,0.4341,0.4574
experiment,EC1,vec,sim4,template2,0.4517,0.4894
experiment,EC1,vec,sim4,template3,0.4545,0.4729
experiment,EC1,vec,sim4,template4,0.2545,0.2792
experiment,EC10,dir,sim1,template1,0.4865,0.5175
experiment,EC10,dir,sim1,template2,0.4805,0.5089
experiment,EC10,dir,sim1,template3,0.5041,0.5419
experiment,EC10,dir,sim1,template4,0.2819,0.3081
experiment,EC10,dir,sim2,template1,0.5211,0.5541
experiment,EC10,dir,sim2,template2,0.4948,0.5321
experiment,EC10,dir,sim2,template3,0.523,0.5543
experiment,EC10,dir,sim2,template4,0.2894,0.3063
experiment,EC10,dir,sim3,template1,0.5118,0.5491
experiment,EC10,dir,sim3,template2,0.522,0.5505
experiment,EC10,dir,sim3,template3,0.4801,0.5044
experiment,EC10,dir,sim3,template4,0.2619,0.2851
experiment,EC10,dir,sim4,template1,0.5489,0.5817
experiment,EC10,dir,sim4,template2,0.5234,0.5507
experiment,EC10,dir,sim4,template3,0.4834,0.5182
experiment,EC10,dir,sim4,template4,0.3376,0.3644
experiment,EC10,mag,sim1,template1,0.4403,0.4664
experiment,EC10,mag,sim1,template2,0.4649,0.4919
experiment,EC10,mag,sim1,template3,0.4933,0.5406
experiment,EC10,mag,sim1,template4,0.2556,0.2846
experiment,EC10,mag,sim2,template1,0.5245,0.562
experiment,EC10,mag,sim2,template2,0.4957,0.5276
experiment,EC10,mag,sim2,template3,0.516,0.5484
experiment,EC10,mag,sim2,template4,0.2995,0.3201
experiment,EC10,mag,sim3,template1,0.5348,0.5769
experiment,EC10,mag,sim3,template2,0.4837,0.5037
experiment,EC10,mag,sim3,template3,0.4498,0.4867
experiment,EC10,mag,sim3,template4,0.2575,0.2744
experiment,EC10,mag,sim4,template1,0.5363,0.5718
experiment,EC10,mag,sim4,template2,0.5129,0.5543
experiment,EC10,mag,sim4,template3,0.4433,0.4697
experiment,EC10,mag,sim4,template4,0.2575,0.273
experiment,EC10,vec,sim1,template1,0.3845,0.4157
experiment,EC10,vec,sim1,template2,0.3533,0.3806
experiment,EC10,vec,sim1,template3,0.3856,0.3964
experiment,EC10,vec,sim1,template4,0.2086,0.2214
experiment,EC10,vec,sim2,template1,0.4114,0.4257
experiment,EC10,vec,sim2,template2,0.3808,0.4037
experiment,EC10,vec,sim2,template3,0.417,0.4394
experiment,EC10,vec,sim2,template4,0.2224,0.2377
experiment,EC10,vec,sim3,template1,0.4111,0.4282
experiment,EC10,vec,sim3,template2,0.3897,0.4174
experiment,EC10,vec,sim3,template3,0.3807,0.4131
experiment,EC10,vec,sim3,template4,0.2045,0.2182
experiment,EC10,vec,sim4,template1,0.4217,0.4428
experiment,EC10,vec,sim4,template2,0.4186,0.4591
experiment,EC10,vec,sim4,template3,0.373,0.3984
experiment,EC10,vec,sim4,template4,0.203,0.2226
experiment,ECIT,dir,sim1,template1,0.4469,0.4802
experiment,ECIT,dir,sim1,template2,0.443,0.4818
experiment,ECIT,dir,sim1,template3,0.5054,0.544
experiment,ECIT,dir,sim1,template4,0.2511,0.2878
experiment,ECIT,dir,sim2,template1,0.4894,0.5614
experiment,ECIT,dir,sim2,template2,0.4644,0.5014
experiment,ECIT,dir,sim2,template3,0.4306,0.4474
experiment,ECIT,dir,sim2,template4,0.2522,0.2758
experiment,ECIT,dir,sim3,template1,0.5185,0.5507
experiment,ECIT,dir,sim3,template2,0.5074,0.5556
experiment,ECIT,dir,sim3,template3,0.5622,0.5991
experiment,ECIT,dir,sim3,template4,0.312,0.337
experiment,ECIT,dir,sim4,template1,0.5043,0.5427
experiment,ECIT,dir,sim4,template2,0.5113,0.5508
experiment,ECIT,dir,sim4,template3,0.5423,0.5702
experiment,ECIT,dir,sim4,template4,0.3116,0.3324
experiment,ECIT,mag,sim1,template1,0.4696,0.5123
experiment,ECIT,mag,sim1,template2,0.4626,0.4822
experiment,ECIT,mag,sim1,template3,0.4819,0.5107
experiment,ECIT,mag,sim1,template4,0.2697,0.2936
experiment,ECIT,mag,sim2,template1,0.4677,0.506
experiment,ECIT,mag,sim2,template2,0.4596,0.5003
experiment,ECIT,mag,sim2,template3,0.4658,0.4891
experiment,ECIT,mag,sim2,template4,0.2475,0.2568
experiment,ECIT,mag,sim3,template1,0.4885,0.517
experiment,ECIT,mag,sim3,template2,0.4921,0.5357
experiment,ECIT,mag,sim3,template3,0.4692,0.5045
experiment,ECIT,mag,sim3,template4,0.2483,0.262
experiment,ECIT,mag,sim4,template1,0.4972,0.5236
experiment,ECIT,mag,sim4,template2,0.4798,0.5212
experiment,ECIT,mag,sim4,template3,0.4639,0.4979
experiment,ECIT,mag,sim4,template4,0.2513,0.2647
experiment,ECIT,vec,sim1,template1,0.3897,0.4191
experiment,ECIT,vec,sim1,template2,0.4005,0.4254
experiment,ECIT,vec,sim1,template3,0.414,0.4352
experiment,ECIT,vec,sim1,template4,0.2189,0.2355
experiment,ECIT,vec,sim2,template1,0.395,0.4257
experiment,ECIT,vec,sim2,template2,0.4098,0.4446
experiment,ECIT,vec,sim2,template3,0.4,0.4291
experiment,ECIT,vec,sim2,template4,0.2157,0.2335
experiment,ECIT,vec,sim3,template1,0.4198,0.451
experiment,ECIT,vec,sim3,template2,0.4296,0.4577
experiment,ECIT,vec,sim3,template3,0.4287,0.4482
experiment,ECIT,vec,sim3,template4,0.2429,0.2637
experiment,ECIT,vec,sim4,template1,0.42,0.4379
experiment,ECIT,vec,sim4,template2,0.4166,0.4337
experiment,ECIT,vec,sim4,template3,0.4287,0.4425
experiment,ECIT,vec,sim4,template4,0.2511,0.2748
experiment,ECOR,dir,sim1,template1,0.4946,0.5331
experiment,ECOR,dir,sim1,template2,0.4965,0.5391
experiment,ECOR,dir,sim1,template3,0.5588,0.5821
experiment,ECOR,dir,sim1,template4,0.2774,0.3081
experiment,ECOR,dir,sim2,template1,0.637,0.6678
experiment,ECOR,dir,sim2,template2,0.4461,0.5014
experiment,ECOR,dir,sim2,template3,0.3942,0.4218
experiment,ECOR,dir,sim2,template4,0.254,0.283
experiment,ECOR,dir,sim3,template1,0.5034,0.5517
experiment,ECOR,dir,sim3,template2,0.4888,0.5189
experiment,ECOR,dir,sim3,template3,0.5118,0.5371
experiment,ECOR,dir,sim3,template4,0.2927,0.318
experiment,ECOR,dir,sim4,template1,0.496,0.5303
experiment,ECOR,dir,sim4,template2,0.4846,0.5389
experiment,ECOR,dir,sim4,template3,0.5183,0.5601
experiment,ECOR,dir,sim4,template4,0.2861,0.3065
experiment,ECOR,mag,sim1,template1,0.4843,0.5215
experiment,ECOR,mag,sim1,template2,0.4596,0.4997
experiment,ECOR,mag,sim1,template3,0.5828,0.6191
experiment,ECOR,mag,sim1,template4,0.2523,0.2774
experiment,ECOR,mag,sim2,template1,0.5479,0.6019
experiment,ECOR,mag,sim2,template2,0.4958,0.5467
experiment,ECOR,mag,sim2,template3,0.4996,0.5371
experiment,ECOR,mag,sim2,template4,0.2856,0.3051
experiment,ECOR,mag,sim3,template1,0.5096,0.5687
experiment,ECOR,mag,sim3,template2,0.5074,0.5566
experiment,ECOR,mag,sim3,template3,0.5339,0.5572
experiment,ECOR,mag,sim3,template4,0.2795,0.2989
experiment,ECOR,mag,sim4,template1,0.5336,0.569
experiment,ECOR,mag,sim4,template2,0.5137,0.5603
experiment,ECOR,mag,sim4,template3,0.5303,0.5731
experiment,ECOR,mag,sim4,template4,0.3013,0.3241
experiment,ECOR,vec,sim1,template1,0.3881,0.4023
experiment,ECOR,vec,sim1,template2,0.3919,0.4177
experiment,ECOR,vec,sim1,template3,0.4351,0.4579
experiment,ECOR,vec,sim1,template4,0.2247,0.2426
experiment,ECOR,vec,sim2,template1,0.4901,0.5414
experiment,ECOR,vec,sim2,template2,0.361,0.3868
experiment,ECOR,vec,sim2,template3,0.3239,0.3535
experiment,ECOR,vec,sim2,template4,0.201,0.22
experiment,ECOR,vec,sim3,template1,0.4039,0.4504
experiment,ECOR,vec,sim3,template2,0.3672,0.4051
experiment,ECOR,vec,sim3,template3,0.3723,0.4009
experiment,ECOR,vec,sim3,template4,0.2093,0.2281
experiment,ECOR,vec,sim4,template1,0.3847,0.4105
experiment,ECOR,vec,sim4,template2,0.3556,0.3836
experiment,ECOR,vec,sim4,template3,0.3891,0.4218
experiment,ECOR,vec,sim4,template4,0.2037,0.2242
experiment,EMAS,dir,sim2,template1,0.5526,0.5944
experiment,EMAS,dir,sim2,template2,0.4811,0.5298
experiment,EMAS,dir,sim2,template3,0.4743,0.5126
experiment,EMAS,dir,sim2,template4,0.2689,0.2838
experiment,EMAS,dir,sim3,template1,0.5413,0.5686
experiment,EMAS,dir,sim3,template2,0.5379,0.5972
experiment,EMAS,dir,sim3,template3,0.5789,0.613
experiment,EMAS,dir,sim3,template4,0.3158,0.3484
experiment,EMAS,dir,sim4,template1,0.5512,0.6048
experiment,EMAS,dir,sim4,template2,0.5268,0.5774
experiment,EMAS,dir,sim4,template3,0.602,0.6466
experiment,EMAS,dir,sim4,template4,0.3143,0.3486
experiment,EMAS,mag,sim2,template1,0.5378,0.5695
experiment,EMAS,mag,sim2,template2,0.4423,0.4818
experiment,EMAS,mag,sim2,template3,0.4526,0.4731
experiment,EMAS,mag,sim2,template4,0.2546,0.2682
experiment,EMAS,mag,sim3,template1,0.5084,0.5477
experiment,EMAS,mag,sim3,template2,0.5563,0.6076
experiment,EMAS,mag,sim3,template3,0.5949,0.6415
experiment,EMAS,mag,sim3,template4,0.3362,0.3573
experiment,EMAS,mag,sim4,template1,0.5455,0.5815
experiment,EMAS,mag,sim4,template2,0.532,0.5873
experiment,EMAS,mag,sim4,template3,0.5917,0.6171
experiment,EMAS,mag,sim4,template4,0.3334,0.3654
experiment,EMAS,vec,sim2,template1,0.4362,0.4553
experiment,EMAS,vec,sim2,template2,0.3979,0.4191
experiment,EMAS,vec,sim2,template3,0.3861,0.4107
experiment,EMAS,vec,sim2,template4,0.2237,0.2454
experiment,EMAS,vec,sim3,template1,0.4232,0.4512
experiment,EMAS,vec,sim3,template2,0.4547,0.4792
experiment,EMAS,vec,sim3,template3,0.4521,0.4733
experiment,EMAS,vec,sim3,template4,0.2552,0.2732
