dataset,track,snr,p_detect_max,p_detect_stack,n
ingv,scalar,0.25,0.025,0.0125,80
ingv,scalar,0.5,0.2,0.125,80
ingv,scalar,0.75,0.625,0.2875,80
ingv,scalar,1.0,0.9375,0.55,80
ingv,scalar,1.5,1.0,0.775,80
ingv,scalar,2.0,1.0,0.85,80
ingv,scalar,3.0,1.0,0.85,80
ingv,scalar,5.0,1.0,0.875,80
ingv,vec,0.25,0.0125,0.0875,80
ingv,vec,0.5,0.4625,0.375,80
ingv,vec,0.75,0.9625,0.6,80
ingv,vec,1.0,1.0,0.825,80
ingv,vec,1.5,1.0,0.9625,80
ingv,vec,2.0,1.0,0.925,80
ingv,vec,3.0,1.0,0.95,80
ingv,vec,5.0,1.0,0.975,80
experiment,scalar,0.25,0.0,0.012658227848101266,79
experiment,scalar,0.5,0.11842105263157894,0.07894736842105263,76
experiment,scalar,0.75,0.5733333333333334,0.28,75
experiment,scalar,1.0,0.948051948051948,0.42857142857142855,77
experiment,scalar,1.5,1.0,0.7142857142857143,77
experiment,scalar,2.0,1.0,0.7402597402597403,77
experiment,scalar,3.0,1.0,0.8904109589041096,73
experiment,scalar,5.0,1.0,0.8589743589743589,78
experiment,vec,0.25,0.012658227848101266,0.02531645569620253,79
experiment,vec,0.5,0.47435897435897434,0.20512820512820512,78
experiment,vec,0.75,0.974025974025974,0.5454545454545454,77
experiment,vec,1.0,1.0,0.782051282051282,78
experiment,vec,1.5,1.0,0.9166666666666666,72
experiment,vec,2.0,1.0,0.922077922077922,77
experiment,vec,3.0,1.0,0.9577464788732394,71
experiment,vec,5.0,1.0,0.9473684210526315,76
