track,dataset,n_stations,snr,p_network,p_single
scalar,ingv,2,0.25,0.05,0.03333333333333333
scalar,ingv,2,0.5,0.75,0.26666666666666666
scalar,ingv,2,0.75,1.0,0.85
scalar,ingv,2,1.0,1.0,1.0
scalar,ingv,2,1.5,1.0,1.0
scalar,ingv,2,2.0,1.0,1.0
scalar,ingv,2,3.0,1.0,1.0
scalar,experiment,5,0.25,0.25,0.03333333333333333
scalar,experiment,5,0.5,1.0,0.7666666666666667
scalar,experiment,5,0.75,1.0,1.0
scalar,experiment,5,1.0,1.0,1.0
scalar,experiment,5,1.5,1.0,1.0
scalar,experiment,5,2.0,1.0,1.0
scalar,experiment,5,3.0,1.0,1.0
vec,ingv,2,0.25,0.13333333333333333,0.08333333333333333
vec,ingv,2,0.5,0.95,0.48333333333333334
vec,ingv,2,0.75,1.0,1.0
vec,ingv,2,1.0,1.0,1.0
vec,ingv,2,1.5,1.0,1.0
vec,ingv,2,2.0,1.0,1.0
vec,ingv,2,3.0,1.0,1.0
vec,experiment,5,0.25,0.5666666666666667,0.03333333333333333
vec,experiment,5,0.5,1.0,0.5
vec,experiment,5,0.75,1.0,1.0
vec,experiment,5,1.0,1.0,1.0
vec,experiment,5,1.5,1.0,1.0
vec,experiment,5,2.0,1.0,1.0
vec,experiment,5,3.0,1.0,1.0
