dataset,station,sim,template,n_all,n_mod,n_high,max_r,mean_r
ingv,ECPN,sim1,template1,4106,4087,19,0.598,0.293
ingv,ECPN,sim1,template2,4148,4129,19,0.568,0.296
ingv,ECPN,sim1,template3,4787,4707,80,0.676,0.322
ingv,ECPN,sim1,template4,715,715,0,0.342,0.23
ingv,ECPN,sim2,template1,4238,4144,94,0.656,0.316
ingv,ECPN,sim2,template2,3878,3807,71,0.641,0.312
ingv,ECPN,sim2,template3,3621,3553,68,0.6,0.309
ingv,ECPN,sim2,template4,1120,1120,0,0.403,0.242
ingv,ECPN,sim3,template1,4254,4142,112,0.695,0.321
ingv,ECPN,sim3,template2,3743,3600,143,0.701,0.322
ingv,ECPN,sim3,template3,3781,3621,160,0.739,0.322
ingv,ECPN,sim3,template4,1293,1293,0,0.482,0.249
ingv,ECPN,sim4,template1,4371,4181,190,0.726,0.334
ingv,ECPN,sim4,template2,3990,3850,140,0.739,0.322
ingv,ECPN,sim4,template3,3942,3746,196,0.698,0.326
ingv,ECPN,sim4,template4,1273,1273,0,0.469,0.249
ingv,EEC1,sim1,template1,3849,3835,14,0.545,0.297
ingv,EEC1,sim1,template2,3493,3484,9,0.584,0.289
ingv,EEC1,sim1,template3,4159,4082,77,0.687,0.313
ingv,EEC1,sim1,template4,793,793,0,0.438,0.228
ingv,EEC1,sim2,template1,3248,3166,82,0.697,0.3
ingv,EEC1,sim2,template2,3139,3127,12,0.565,0.289
ingv,EEC1,sim2,template3,2738,2731,7,0.538,0.284
ingv,EEC1,sim2,template4,697,697,0,0.366,0.232
ingv,EEC1,sim3,template1,3216,3170,46,0.606,0.294
ingv,EEC1,sim3,template2,3069,3044,25,0.586,0.292
ingv,EEC1,sim3,template3,3225,3183,42,0.618,0.293
ingv,EEC1,sim3,template4,881,881,0,0.383,0.235
ingv,EEC1,sim4,template1,3216,3141,75,0.693,0.297
ingv,EEC1,sim4,template2,2727,2708,19,0.588,0.288
