dataset,kind,rho,chisq
ingv,real signal,0.9272028837032747,0.1813357982659473
ingv,real signal,0.8722628971786467,0.4651493667446022
ingv,real signal,0.9037171090910691,0.2896132162465983
ingv,real signal,0.9119776489553898,0.2632015788964218
ingv,real signal,0.9264599859058155,0.15327505616991963
ingv,real signal,0.8855355858712446,0.5569304076865407
ingv,real signal,0.9190215558182755,0.12080160675855099
ingv,real signal,0.8844899183003821,0.3075398635480068
ingv,real signal,0.920820162985122,0.3820813017742071
ingv,real signal,0.9069232693965013,0.17858354949458843
ingv,real signal,0.9168092510664491,0.25165380963960504
ingv,real signal,0.872763411187021,0.25004022910981544
ingv,real signal,0.9335783002729744,0.1687440465445508
ingv,real signal,0.9388566922132499,0.02526829734713702
ingv,real signal,0.8714401626591698,0.49378547539774714
ingv,real signal,0.8473516130596598,0.2295602054161711
ingv,real signal,0.9002392316167619,0.09615179446670594
ingv,real signal,0.9237322471803943,0.16361851590081486
ingv,real signal,0.8778102769592331,0.2849974598659158
ingv,real signal,0.9145429353641974,0.19179318761810413
ingv,real signal,0.9097492940431757,0.20556667184500527
ingv,real signal,0.9344287573167545,0.1534410317237807
ingv,real signal,0.8744040864912378,0.19970571728447314
ingv,real signal,0.8863363860685759,0.343771590297437
ingv,real signal,0.9133074970468044,0.24498961814232234
ingv,real signal,0.8637733511187858,0.6449342743401533
ingv,real signal,0.9063909926273616,0.5479940733373161
ingv,real signal,0.8912371529652224,0.0946340495771277
ingv,real signal,0.9095633647931884,0.2506970092272563
ingv,real signal,0.8831554553027863,0.42412817701853955
ingv,real signal,0.8701680226794073,0.5912291129446144
ingv,real signal,0.9114558662993828,0.1469615220409738
ingv,real signal,0.9347850219898982,0.10671402749786967
ingv,real signal,0.9306873354917999,0.34786045646929037
ingv,real signal,0.8916450347833067,0.11626348331184724
ingv,real signal,0.8980078866671262,0.11901029779989442
ingv,real signal,0.9066384007072928,0.2273838188424513
ingv,real signal,0.9092743888872841,0.25291073712564854
ingv,real signal,0.9263570171790767,0.09478100005497789
ingv,real signal,0.9226484631078319,0.04499038324304026
ingv,real signal,0.8855936730402303,0.24601283877293936
ingv,real signal,0.922128574092433,0.17099765109920478
ingv,real signal,0.9043022116579992,0.08186044387071871
ingv,real signal,0.8775009183899994,0.2299401899303175
ingv,real signal,0.895205999022077,0.13088349294121027
ingv,real signal,0.8993185686810579,0.22277351658002056
