dataset,family,label,param,ff
ingv,warp,sim1/template1 x0.5,0.5,0.22978052025208787
ingv,warp,sim1/template1 x0.7,0.7,0.29262930990214064
ingv,warp,sim1/template1 x0.85,0.85,0.3986419068107041
ingv,warp,sim1/template1 x1.0,1.0,0.996945621680749
ingv,warp,sim1/template1 x1.2,1.2,0.7016783034579749
ingv,warp,sim1/template1 x1.5,1.5,0.7017285434082293
ingv,warp,sim1/template1 x2.0,2.0,0.9150107614904135
ingv,warp,sim1/template2 x0.5,0.5,0.3572949953584401
ingv,warp,sim1/template2 x0.7,0.7,0.4663913446720867
ingv,warp,sim1/template2 x0.85,0.85,0.7368759806996062
ingv,warp,sim1/template2 x1.0,1.0,0.996754791442405
ingv,warp,sim1/template2 x1.2,1.2,0.45647395954053005
ingv,warp,sim1/template2 x1.5,1.5,0.5161630454104779
ingv,warp,sim1/template2 x2.0,2.0,0.8618028935906792
ingv,warp,sim1/template3 x0.5,0.5,0.40635284364719826
ingv,warp,sim1/template3 x0.7,0.7,0.4260600743369586
ingv,warp,sim1/template3 x0.85,0.85,0.565520376080474
ingv,warp,sim1/template3 x1.0,1.0,0.9953116965778979
ingv,warp,sim1/template3 x1.2,1.2,0.6371338224647296
ingv,warp,sim1/template3 x1.5,1.5,0.538805572323765
ingv,warp,sim1/template3 x2.0,2.0,0.790097283331984
ingv,warp,sim1/template4 x0.5,0.5,0.1437662006912976
ingv,warp,sim1/template4 x0.7,0.7,0.3631138200042156
ingv,warp,sim1/template4 x0.85,0.85,0.7606098169994645
ingv,warp,sim1/template4 x1.0,1.0,0.9986615124225742
ingv,warp,sim1/template4 x1.2,1.2,0.7195531095358595
ingv,warp,sim1/template4 x1.5,1.5,0.7118564091804593
ingv,warp,sim1/template4 x2.0,2.0,0.9265928855691317
ingv,warp,sim2/template1 x0.5,0.5,0.42901715608186364
ingv,warp,sim2/template1 x0.7,0.7,0.706074039686423
ingv,warp,sim2/template1 x0.85,0.85,0.6401451024662201
ingv,warp,sim2/template1 x1.0,1.0,0.9955141485912717
ingv,warp,sim2/template1 x1.2,1.2,0.9514365388504403
ingv,warp,sim2/template1 x1.5,1.5,0.8562375542709635
ingv,warp,sim2/template1 x2.0,2.0,0.7794214312215881
ingv,warp,sim2/template2 x0.5,0.5,0.907425555579447
ingv,warp,sim2/template2 x0.7,0.7,0.7547574022159317
ingv,warp,sim2/template2 x0.85,0.85,0.5467629634126931
ingv,warp,sim2/template2 x1.0,1.0,0.9984741716667089
ingv,warp,sim2/template2 x1.2,1.2,0.9390757820551245
ingv,warp,sim2/template2 x1.5,1.5,0.8358326000433324
ingv,warp,sim2/template2 x2.0,2.0,0.2963249509095035
ingv,warp,sim2/template3 x0.5,0.5,0.8116968579750753
ingv,warp,sim2/template3 x0.7,0.7,0.7441236365360975
ingv,warp,sim2/template3 x0.85,0.85,0.620546656807139
ingv,warp,sim2/template3 x1.0,1.0,0.999692532857772
ingv,warp,sim2/template3 x1.2,1.2,0.9702641750537082
ingv,warp,sim2/template3 x1.5,1.5,0.6101203476113928
ingv,warp,sim2/template3 x2.0,2.0,0.27406977560008056
ingv,warp,sim2/template4 x0.5,0.5,0.8172088767945025
ingv,warp,sim2/template4 x0.7,0.7,0.6913227651365557
ingv,warp,sim2/template4 x0.85,0.85,0.9283158510787333
ingv,warp,sim2/template4 x1.0,1.0,0.9984942955601492
ingv,warp,sim2/template4 x1.2,1.2,0.970890039471436
ingv,warp,sim2/template4 x1.5,1.5,0.9446991549489283
ingv,warp,sim2/template4 x2.0,2.0,0.7775156177515677
ingv,warp,sim3/template1 x0.5,0.5,0.5800580335697655
ingv,warp,sim3/template1 x0.7,0.7,0.7063246116342647
ingv,warp,sim3/template1 x0.85,0.85,0.9157145275279415
ingv,warp,sim3/template1 x1.0,1.0,0.998044125557302
ingv,warp,sim3/template1 x1.2,1.2,0.8977669568019604
ingv,warp,sim3/template1 x1.5,1.5,0.8339973945798811
ingv,warp,sim3/template1 x2.0,2.0,0.7279821492564928
ingv,warp,sim3/template2 x0.5,0.5,0.7950322654142775
ingv,warp,sim3/template2 x0.7,0.7,0.7809154328998605
ingv,warp,sim3/template2 x0.85,0.85,0.9687584111667943
ingv,warp,sim3/template2 x1.0,1.0,0.9964295448384038
ingv,warp,sim3/template2 x1.2,1.2,0.7945404147621216
ingv,warp,sim3/template2 x1.5,1.5,0.314952452382893
ingv,warp,sim3/template2 x2.0,2.0,0.6075510940732909
ingv,warp,sim3/template3 x0.5,0.5,0.7866199014184949
ingv,warp,sim3/template3 x0.7,0.7,0.6339563508497749
ingv,warp,sim3/template3 x0.85,0.85,0.9178068300661988
ingv,warp,sim3/template3 x1.0,1.0,0.998359145073642
ingv,warp,sim3/template3 x1.2,1.2,0.6508253137973462
ingv,warp,sim3/template3 x1.5,1.5,0.31550205904512985
ingv,warp,sim3/template3 x2.0,2.0,0.6471290201606037
ingv,warp,sim3/template4 x0.5,0.5,0.5197817588180572
ingv,warp,sim3/template4 x0.7,0.7,0.8351695575656787
ingv,warp,sim3/template4 x0.85,0.85,0.9544148660113373
ingv,warp,sim3/template4 x1.0,1.0,0.9987264246396442
ingv,warp,sim3/template4 x1.2,1.2,0.9022345313404903
ingv,warp,sim3/template4 x1.5,1.5,0.8318944742570051
ingv,warp,sim3/template4 x2.0,2.0,0.7289250527438152
ingv,warp,sim4/template1 x0.5,0.5,0.7244836291022021
ingv,warp,sim4/template1 x0.7,0.7,0.7840845236441265
ingv,warp,sim4/template1 x0.85,0.85,0.79611580250815
ingv,warp,sim4/template1 x1.0,1.0,0.9942246769783192
ingv,warp,sim4/template1 x1.2,1.2,0.7832326133150994
ingv,warp,sim4/template1 x1.5,1.5,0.7790607200155499
ingv,warp,sim4/template1 x2.0,2.0,0.6244272727948992
ingv,warp,sim4/template2 x0.5,0.5,0.8423353665288071
ingv,warp,sim4/template2 x0.7,0.7,0.7983121939840623
ingv,warp,sim4/template2 x0.85,0.85,0.9172195932200655
ingv,warp,sim4/template2 x1.0,1.0,0.9979024725273838
ingv,warp,sim4/template2 x1.2,1.2,0.9010392350929061
ingv,warp,sim4/template2 x1.5,1.5,0.3603396842029171
ingv,warp,sim4/template2 x2.0,2.0,0.7190676059665112
ingv,warp,sim4/template3 x0.5,0.5,0.7912561185939087
ingv,warp,sim4/template3 x0.7,0.7,0.8975368137528642
ingv,warp,sim4/template3 x0.85,0.85,0.9386872317330486
ingv,warp,sim4/template3 x1.0,1.0,0.9988492991082973
ingv,warp,sim4/template3 x1.2,1.2,0.3373135231363301
ingv,warp,sim4/template3 x1.5,1.5,0.3478526725935736
ingv,warp,sim4/template3 x2.0,2.0,0.8668090309915681
ingv,warp,sim4/template4 x0.5,0.5,0.5154740835783359
ingv,warp,sim4/template4 x0.7,0.7,0.8384045703155971
ingv,warp,sim4/template4 x0.85,0.85,0.9439991912462407
ingv,warp,sim4/template4 x1.0,1.0,0.9985022045183944
ingv,warp,sim4/template4 x1.2,1.2,0.8753182443907983
ingv,warp,sim4/template4 x1.5,1.5,0.6926676889171925
ingv,warp,sim4/template4 x2.0,2.0,0.8665658478580052
ingv,step,step τ=200,200.0,0.3992487379635769
ingv,gauss,gauss τ=200,200.0,0.36014669051331966
ingv,ramp,ramp τ=200,200.0,0.4234151504089592
ingv,dgauss,dgauss τ=200,200.0,0.4656031025715429
ingv,step,step τ=500,500.0,0.07624347881577351
ingv,gauss,gauss τ=500,500.0,0.12730791671932656
ingv,ramp,ramp τ=500,500.0,0.6218087834939056
ingv,dgauss,dgauss τ=500,500.0,0.10726927049763377
ingv,step,step τ=1000,1000.0,0.35165448960586687
ingv,gauss,gauss τ=1000,1000.0,0.3552988367557574
ingv,ramp,ramp τ=1000,1000.0,0.47990631884781204
ingv,dgauss,dgauss τ=1000,1000.0,0.363655943761763
ingv,step,step τ=2000,2000.0,0.38879869696050534
ingv,gauss,gauss τ=2000,2000.0,0.3920712676900687
ingv,ramp,ramp τ=2000,2000.0,0.3947860329699206
ingv,dgauss,dgauss τ=2000,2000.0,0.3779223220133421
