dataset,kind,rho,chisq
ingv,real signal,0.9246339435865318,0.2792269062518042
ingv,real signal,0.8676425043215797,0.5060102850670509
ingv,real signal,0.9011497759220191,0.3653620815411584
ingv,real signal,0.912473585182212,0.2945082009138967
ingv,real signal,0.8846550954131484,0.2052320344078822
ingv,real signal,0.8853060226806616,0.5407765206579862
ingv,real signal,0.9187481958223946,0.14598046557660513
ingv,real signal,0.9312759343380511,0.20795381915334898
ingv,real signal,0.9213038255073881,0.3161280639471978
ingv,real signal,0.9136072152181554,0.10305291443547866
ingv,real signal,0.9163731574558017,0.28521033252232036
ingv,real signal,0.8722935032208793,0.2645445906142526
ingv,real signal,0.9333498370237779,0.14695069729457852
ingv,real signal,0.9409503509612606,0.021704191245664924
ingv,real signal,0.8702538690362386,0.40360759314064193
ingv,real signal,0.8474987620381859,0.2998525285326709
ingv,real signal,0.8985105186862865,0.091700970661933
ingv,real signal,0.9238091659297928,0.12050293389389084
ingv,real signal,0.8748576906063632,0.21601403336156308
ingv,real signal,0.9143857164003183,0.21340988350094825
ingv,real signal,0.927748946118798,0.18556114889382036
ingv,real signal,0.9304740582994154,0.2086203136501169
ingv,real signal,0.8721652455227397,0.24474402296405967
ingv,real signal,0.8860266806790023,0.27147799370829845
ingv,real signal,0.9053740900377069,0.31610366721882566
ingv,real signal,0.8587113537343755,0.6729206313442777
ingv,real signal,0.9059075874467122,0.6207857283852353
ingv,real signal,0.8896678289379227,0.08180902854681393
ingv,real signal,0.9054989012982104,0.21994355026020257
ingv,real signal,0.8807454056472379,0.2104738028278895
ingv,real signal,0.8710413273945457,0.6280364429131439
ingv,real signal,0.9253997739137623,0.11809721526356039
ingv,real signal,0.9346043266519694,0.18792645522645018
ingv,real signal,0.9330952231355581,0.27767577012673833
ingv,real signal,0.9085045230550054,0.05862812618763676
ingv,real signal,0.8958072801286653,0.26373970272206165
ingv,real signal,0.9070625918207081,0.2903527355556801
ingv,real signal,0.9090951529652466,0.27604344817535287
ingv,real signal,0.9283875733112792,0.11705240807288056
ingv,real signal,0.9152028084181765,0.1219445194388095
