dataset,family,label,param,ff
ingv,warp,sim1/template1 x0.5,0.5,0.37029772166624764
ingv,warp,sim1/template1 x0.7,0.7,0.345039052502661
ingv,warp,sim1/template1 x0.85,0.85,0.38535017953648953
ingv,warp,sim1/template1 x1.0,1.0,0.9965323654067024
ingv,warp,sim1/template1 x1.2,1.2,0.7017533339976461
ingv,warp,sim1/template1 x1.5,1.5,0.720835206802654
ingv,warp,sim1/template1 x2.0,2.0,0.8877598026961255
ingv,warp,sim1/template2 x0.5,0.5,0.3971054461814785
ingv,warp,sim1/template2 x0.7,0.7,0.49847265929512075
ingv,warp,sim1/template2 x0.85,0.85,0.7304382354887887
ingv,warp,sim1/template2 x1.0,1.0,0.9970024902311957
ingv,warp,sim1/template2 x1.2,1.2,0.45262163085419305
ingv,warp,sim1/template2 x1.5,1.5,0.5129752931096446
ingv,warp,sim1/template2 x2.0,2.0,0.7893904422807788
ingv,warp,sim1/template3 x0.5,0.5,0.3988280139623615
ingv,warp,sim1/template3 x0.7,0.7,0.457003253060459
ingv,warp,sim1/template3 x0.85,0.85,0.5800411342119599
ingv,warp,sim1/template3 x1.0,1.0,0.9991077806637979
ingv,warp,sim1/template3 x1.2,1.2,0.6012123614519868
ingv,warp,sim1/template3 x1.5,1.5,0.5550833398458896
ingv,warp,sim1/template3 x2.0,2.0,0.7498635683234476
ingv,warp,sim1/template4 x0.5,0.5,0.18677465786275757
ingv,warp,sim1/template4 x0.7,0.7,0.31756838048148617
ingv,warp,sim1/template4 x0.85,0.85,0.7573057726113107
ingv,warp,sim1/template4 x1.0,1.0,0.9966790856413338
ingv,warp,sim1/template4 x1.2,1.2,0.7168386066633868
ingv,warp,sim1/template4 x1.5,1.5,0.7209365714399151
ingv,warp,sim1/template4 x2.0,2.0,0.9348303297941114
ingv,warp,sim2/template1 x0.5,0.5,0.4691998865192291
ingv,warp,sim2/template1 x0.7,0.7,0.7162074253873493
ingv,warp,sim2/template1 x0.85,0.85,0.613880724994686
ingv,warp,sim2/template1 x1.0,1.0,0.9960781400236024
ingv,warp,sim2/template1 x1.2,1.2,0.9401486958010963
ingv,warp,sim2/template1 x1.5,1.5,0.789568695860335
ingv,warp,sim2/template1 x2.0,2.0,0.7629778059763017
ingv,warp,sim2/template2 x0.5,0.5,0.8851044486396198
ingv,warp,sim2/template2 x0.7,0.7,0.761662285957417
ingv,warp,sim2/template2 x0.85,0.85,0.5059465639891997
ingv,warp,sim2/template2 x1.0,1.0,0.9985453260027202
ingv,warp,sim2/template2 x1.2,1.2,0.9378056696641607
ingv,warp,sim2/template2 x1.5,1.5,0.813761915910871
ingv,warp,sim2/template2 x2.0,2.0,0.30993032794423264
ingv,warp,sim2/template3 x0.5,0.5,0.8291537567330012
ingv,warp,sim2/template3 x0.7,0.7,0.7587619026041909
ingv,warp,sim2/template3 x0.85,0.85,0.6049196118805873
ingv,warp,sim2/template3 x1.0,1.0,0.9997341862172195
ingv,warp,sim2/template3 x1.2,1.2,0.9652201876450807
ingv,warp,sim2/template3 x1.5,1.5,0.5665979810846138
ingv,warp,sim2/template3 x2.0,2.0,0.2786246469317065
ingv,warp,sim2/template4 x0.5,0.5,0.7744272128706086
ingv,warp,sim2/template4 x0.7,0.7,0.70184233539237
ingv,warp,sim2/template4 x0.85,0.85,0.916605614414356
ingv,warp,sim2/template4 x1.0,1.0,0.9987982086586141
ingv,warp,sim2/template4 x1.2,1.2,0.9659817993052897
ingv,warp,sim2/template4 x1.5,1.5,0.9119583514844221
ingv,warp,sim2/template4 x2.0,2.0,0.7620323217695008
ingv,warp,sim3/template1 x0.5,0.5,0.5566092299011091
ingv,warp,sim3/template1 x0.7,0.7,0.6767552760045161
ingv,warp,sim3/template1 x0.85,0.85,0.899175067573313
ingv,warp,sim3/template1 x1.0,1.0,0.998094885566415
ingv,warp,sim3/template1 x1.2,1.2,0.856275261894627
ingv,warp,sim3/template1 x1.5,1.5,0.8084565068457037
ingv,warp,sim3/template1 x2.0,2.0,0.6816097966924998
ingv,warp,sim3/template2 x0.5,0.5,0.7789005990295668
ingv,warp,sim3/template2 x0.7,0.7,0.7530388429691716
ingv,warp,sim3/template2 x0.85,0.85,0.9467084980204985
ingv,warp,sim3/template2 x1.0,1.0,0.9965701299603462
ingv,warp,sim3/template2 x1.2,1.2,0.7545998130227942
ingv,warp,sim3/template2 x1.5,1.5,0.2980803773925456
ingv,warp,sim3/template2 x2.0,2.0,0.744890241793306
ingv,warp,sim3/template3 x0.5,0.5,0.7953193756365816
ingv,warp,sim3/template3 x0.7,0.7,0.6505687292504648
ingv,warp,sim3/template3 x0.85,0.85,0.9115543637529245
ingv,warp,sim3/template3 x1.0,1.0,0.9985730751656342
ingv,warp,sim3/template3 x1.2,1.2,0.6019089019676541
ingv,warp,sim3/template3 x1.5,1.5,0.32569185315983934
ingv,warp,sim3/template3 x2.0,2.0,0.824011721578518
ingv,warp,sim3/template4 x0.5,0.5,0.5029995694610526
ingv,warp,sim3/template4 x0.7,0.7,0.7964093469961798
ingv,warp,sim3/template4 x0.85,0.85,0.9577207830483015
ingv,warp,sim3/template4 x1.0,1.0,0.9988849455821699
ingv,warp,sim3/template4 x1.2,1.2,0.8630816654302321
ingv,warp,sim3/template4 x1.5,1.5,0.8109616434424894
ingv,warp,sim3/template4 x2.0,2.0,0.8424197153037174
ingv,warp,sim4/template1 x0.5,0.5,0.7201981015130299
ingv,warp,sim4/template1 x0.7,0.7,0.7202100924713914
ingv,warp,sim4/template1 x0.85,0.85,0.7548286788208503
ingv,warp,sim4/template1 x1.0,1.0,0.9960909510557473
ingv,warp,sim4/template1 x1.2,1.2,0.707390783993509
ingv,warp,sim4/template1 x1.5,1.5,0.7586141622018615
