dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,ECPN,dir,max,2022-12-03 13:28:25,0.6688,False,7.729763479900888,0.4536889928676331,0.12490668911200924,0.6336578795096871,False,6.55385002173707,True
experiment,EC1,dir2,max,2023-07-27 13:22:36,0.663,True,5.228665653927029,-0.45839437225989776,0.05695226063904333,0.6586603086012373,False,6.256669509011903,True
ingv,ECPN,dir2,max,2023-01-21 12:26:34,0.6207,True,5.449925402255896,0.46873797001989725,0.0388661673919773,0.6400467421873478,False,5.5472450538479325,True
ingv,ECPN,dir2,max,2023-01-10 15:03:10,0.6006,False,5.109776098276523,-0.0019079727384250234,0.01687569697591833,0.9050017414692303,False,5.395623862754823,True
ingv,ECPN,dir2,max,2023-01-10 20:52:45,0.6594,True,3.8143209501552113,-0.5965914978116027,0.04187598073711603,0.8979798656490748,False,5.221016001624498,True
ingv,EEC1,dir,max,2022-12-12 14:06:50,0.599,True,4.9596724656946805,0.18178698749456812,0.0360009223896195,0.8058161433192089,False,5.069321451530378,True
ingv,ECPN,dir2,max,2023-01-10 16:17:10,0.6541,True,5.251417711557116,1.0684838550590143,0.037425443272559845,0.794887659404724,False,5.012247837370999,True
ingv,ECPN,dir2,max,2022-12-10 21:15:09,0.6128,False,5.978316115019678,-0.36174207056865315,0.18052803619050858,0.6167579757447026,False,4.9964085458733924,True
experiment,EC1,dir2,max,2023-07-27 10:44:23,0.6901,True,4.612263105130309,-0.6665651000735386,0.05891836576759218,1.6086287021710985,False,4.8829970324270215,False
ingv,ECPN,dir2,max,2022-11-26 19:54:04,0.6701,True,4.619902326246169,-0.11512984202551957,0.07192842668089416,1.1071489106923076,False,4.848902286183469,False
ingv,ECPN,dir,max,2023-01-21 12:18:44,0.665,False,4.551675166410231,-0.21796619445971954,0.1133409465387875,1.0207027677151967,False,4.51703988821496,False
ingv,ECPN,dir2,max,2023-01-07 04:33:34,0.6872,True,2.870551446439451,-0.579977748448425,0.035408066562279183,1.1687714696842564,False,4.496344394869293,False
experiment,EC10,dir2,max,2023-07-31 12:50:51,0.618,True,1.9873629732298441,-0.972473617005956,0.052456583553077696,0.5989274731054943,False,4.264670316619623,True
ingv,EEC1,dir,max,2022-11-27 22:19:49,0.5476,False,3.366955629076518,-0.5155854168259397,0.03267575715841798,0.7912727545341841,False,4.194635179203257,True
ingv,EEC1,dir2,max,2023-02-09 16:08:38,0.561,False,5.075081367994309,0.6303756043094175,0.05309361517027148,0.8940463019829085,False,4.1740031509745705,True
ingv,ECPN,dir2,max,2023-01-16 10:30:46,0.6107,False,4.555926639528759,0.44308939573175543,0.09543108041041022,0.7396548355862073,False,4.139910077471042,True
ingv,ECPN,dir2,max,2023-01-20 20:15:07,0.6128,False,3.632305663349296,-0.42812138256270593,0.03869656230255858,1.3184659409892208,False,4.033210031887918,False
experiment,EC1,dir2,max,2023-07-27 12:08:54,0.6937,True,3.925778941966147,-0.3707055007152378,0.035040434079990274,1.9524927551715396,False,3.997583805451653,False
experiment,EMAS,dir,max,2023-07-30 07:49:30,0.7073,True,1.4523745310593779,-0.5939139137788163,0.09350497660706288,0.5308466550549497,False,3.988961240412192,True
ingv,ECPN,dir2,max,2023-01-10 18:02:10,0.6332,True,4.050194028068249,-0.2806886376117168,0.08708205303587441,1.2400294057499774,False,3.949497453860444,False
ingv,ECPN,dir2,max,2022-12-01 02:45:00,0.6334,True,3.6762407016151206,0.2654021783744218,0.04305707198304172,1.2010918749348707,False,3.7990467726469936,False
experiment,EC1,dir,max,2023-07-26 10:18:41,0.5463,False,4.37087700340701,0.20658018218613217,0.12219924057836298,0.5221641306938092,False,3.6930419189900743,True
experiment,EC1,dir2,stack,2023-07-27 10:50:12,0.3981,False,5.169522784665795,-0.8503869388299217,0.11255495512913506,0.7292350379495961,False,3.667789900627712,True
ingv,ECPN,dir2,stack,2023-01-10 13:11:33,0.393,True,6.862737154811855,-0.26543320052732167,0.1740929312561841,0.7083304603668656,False,3.659029187165748,True
ingv,ECPN,dir2,stack,2022-12-10 11:52:20,0.3709,False,7.814615730885296,0.7816505567263885,0.13041279869442604,0.812185834707371,False,3.612248989663411,True
ingv,ECPN,dir,stack,2023-01-10 13:12:04,0.4107,True,5.3611580013112885,-0.6944562270766816,0.11393888432588306,0.8527159924816747,False,3.5877882550241176,True
ingv,ECPN,dir2,max,2022-11-24 07:01:50,0.6061,False,3.693428770600129,-0.4036897646868356,0.10130432373547471,1.1384326755135892,False,3.5760314898663976,False
ingv,ECPN,dir2,stack,2022-11-27 06:01:04,0.3631,False,7.785954147048875,1.1084047157904484,0.025341030886700203,1.4599166504622278,False,3.5000241167576704,False
ingv,ECPN,dir2,stack,2022-12-10 21:11:25,0.3886,True,5.978316115019678,-0.3968589906296103,0.1522020853822282,0.6522585563008932,False,3.4512496358835376,True
ingv,ECPN,dir,stack,2022-12-03 13:32:17,0.3851,False,7.729763479900888,1.0230872464374503,0.17090001549358264,0.5479980566026736,False,3.4127110970415986,True
