dataset,station,component,sim,template,floor_detect,floor_signif
ingv,ECPN,dir,sim1,template1,0.4922,0.5194
ingv,ECPN,dir,sim1,template2,0.5013,0.5489
ingv,ECPN,dir,sim1,template3,0.5231,0.5543
ingv,ECPN,dir,sim1,template4,0.2792,0.3098
ingv,ECPN,dir,sim2,template1,0.5292,0.5651
ingv,ECPN,dir,sim2,template2,0.5356,0.5725
ingv,ECPN,dir,sim2,template3,0.5024,0.5294
ingv,ECPN,dir,sim2,template4,0.3052,0.3473
ingv,ECPN,dir,sim3,template1,0.5653,0.6138
ingv,ECPN,dir,sim3,template2,0.6133,0.6708
ingv,ECPN,dir,sim3,template3,0.6148,0.6765
ingv,ECPN,dir,sim3,template4,0.4125,0.4439
ingv,ECPN,dir,sim4,template1,0.5622,0.6094
ingv,ECPN,dir,sim4,template2,0.6195,0.6661
ingv,ECPN,dir,sim4,template3,0.5282,0.5801
ingv,ECPN,dir,sim4,template4,0.3762,0.3914
ingv,ECPN,dir2,sim1,template1,0.503,0.5343
ingv,ECPN,dir2,sim1,template2,0.5297,0.5751
ingv,ECPN,dir2,sim1,template3,0.537,0.5744
ingv,ECPN,dir2,sim1,template4,0.2814,0.307
ingv,ECPN,dir2,sim2,template1,0.5579,0.5943
ingv,ECPN,dir2,sim2,template2,0.6205,0.6628
ingv,ECPN,dir2,sim2,template3,0.6228,0.6707
ingv,ECPN,dir2,sim2,template4,0.3733,0.3938
ingv,ECPN,dir2,sim3,template1,0.6227,0.6571
ingv,ECPN,dir2,sim3,template2,0.6393,0.6895
ingv,ECPN,dir2,sim3,template3,0.6569,0.6941
ingv,ECPN,dir2,sim3,template4,0.373,0.4009
ingv,ECPN,dir2,sim4,template1,0.6605,0.7072
ingv,ECPN,dir2,sim4,template2,0.6457,0.6865
ingv,ECPN,dir2,sim4,template3,0.6732,0.7273
ingv,ECPN,dir2,sim4,template4,0.3826,0.4123
ingv,EEC1,dir,sim1,template1,0.4314,0.4651
ingv,EEC1,dir,sim1,template2,0.4591,0.4881
ingv,EEC1,dir,sim1,template3,0.4826,0.5108
ingv,EEC1,dir,sim1,template4,0.2728,0.295
ingv,EEC1,dir,sim2,template1,0.4889,0.5378
ingv,EEC1,dir,sim2,template2,0.4921,0.5402
ingv,EEC1,dir,sim2,template3,0.4685,0.4923
ingv,EEC1,dir,sim2,template4,0.2792,0.3007
ingv,EEC1,dir,sim3,template1,0.497,0.5446
ingv,EEC1,dir,sim3,template2,0.411,0.4526
ingv,EEC1,dir,sim3,template3,0.4151,0.4487
ingv,EEC1,dir,sim3,template4,0.274,0.3067
ingv,EEC1,dir,sim4,template1,0.4725,0.5122
ingv,EEC1,dir,sim4,template2,0.4249,0.4416
ingv,EEC1,dir,sim4,template3,0.4303,0.4587
ingv,EEC1,dir,sim4,template4,0.2459,0.2652
ingv,EEC1,dir2,sim1,template1,0.502,0.5329
ingv,EEC1,dir2,sim1,template2,0.4761,0.5202
ingv,EEC1,dir2,sim1,template3,0.512,0.5629
ingv,EEC1,dir2,sim1,template4,0.2914,0.3193
ingv,EEC1,dir2,sim2,template1,0.476,0.5094
ingv,EEC1,dir2,sim2,template2,0.4656,0.5149
ingv,EEC1,dir2,sim2,template3,0.4582,0.4951
ingv,EEC1,dir2,sim2,template4,0.2725,0.2909
ingv,EEC1,dir2,sim3,template1,0.4477,0.5112
ingv,EEC1,dir2,sim3,template2,0.4623,0.516
ingv,EEC1,dir2,sim3,template3,0.4662,0.5083
ingv,EEC1,dir2,sim3,template4,0.271,0.2981
ingv,EEC1,dir2,sim4,template1,0.4675,0.5045
ingv,EEC1,dir2,sim4,template2,0.4475,0.5097
ingv,EEC1,dir2,sim4,template3,0.4398,0.4754
ingv,EEC1,dir2,sim4,template4,0.2453,0.258
experiment,EC1,dir,sim1,template1,0.4772,0.506
experiment,EC1,dir,sim1,template2,0.4768,0.5151
experiment,EC1,dir,sim1,template3,0.4898,0.5361
experiment,EC1,dir,sim1,template4,0.282,0.2977
experiment,EC1,dir,sim2,template1,0.4889,0.514
experiment,EC1,dir,sim2,template2,0.4812,0.5197
experiment,EC1,dir,sim2,template3,0.5343,0.5732
experiment,EC1,dir,sim2,template4,0.3124,0.3372
experiment,EC1,dir,sim3,template1,0.5022,0.5331
experiment,EC1,dir,sim3,template2,0.5048,0.5343
experiment,EC1,dir,sim3,template3,0.528,0.563
experiment,EC1,dir,sim3,template4,0.2879,0.3212
experiment,EC1,dir,sim4,template1,0.5276,0.5515
experiment,EC1,dir,sim4,template2,0.5081,0.5453
experiment,EC1,dir,sim4,template3,0.5566,0.5938
experiment,EC1,dir,sim4,template4,0.2857,0.311
experiment,EC1,dir2,sim1,template1,0.496,0.5302
experiment,EC1,dir2,sim1,template2,0.5387,0.5974
experiment,EC1,dir2,sim1,template3,0.5347,0.597
experiment,EC1,dir2,sim1,template4,0.3095,0.3306
experiment,EC1,dir2,sim2,template1,0.5075,0.5419
experiment,EC1,dir2,sim2,template2,0.5257,0.5668
experiment,EC1,dir2,sim2,template3,0.534,0.5727
experiment,EC1,dir2,sim2,template4,0.2945,0.3126
experiment,EC1,dir2,sim3,template1,0.4991,0.5567
experiment,EC1,dir2,sim3,template2,0.6091,0.6306
experiment,EC1,dir2,sim3,template3,0.6247,0.6519
experiment,EC1,dir2,sim3,template4,0.3645,0.3975
experiment,EC1,dir2,sim4,template1,0.5903,0.6292
experiment,EC1,dir2,sim4,template2,0.6238,0.651
experiment,EC1,dir2,sim4,template3,0.6353,0.6812
experiment,EC1,dir2,sim4,template4,0.3827,0.401
experiment,EC10,dir,sim1,template1,0.4865,0.5175
experiment,EC10,dir,sim1,template2,0.4805,0.5089
experiment,EC10,dir,sim1,template3,0.5041,0.5419
experiment,EC10,dir,sim1,template4,0.2819,0.3081
experiment,EC10,dir,sim2,template1,0.5211,0.5541
experiment,EC10,dir,sim2,template2,0.4948,0.5321
experiment,EC10,dir,sim2,template3,0.523,0.5543
experiment,EC10,dir,sim2,template4,0.2894,0.3063
experiment,EC10,dir,sim3,template1,0.5118,0.5491
experiment,EC10,dir,sim3,template2,0.522,0.5505
experiment,EC10,dir,sim3,template3,0.4801,0.5044
experiment,EC10,dir,sim3,template4,0.2619,0.2851
experiment,EC10,dir,sim4,template1,0.5489,0.5817
experiment,EC10,dir,sim4,template2,0.5234,0.5507
experiment,EC10,dir,sim4,template3,0.4834,0.5182
experiment,EC10,dir,sim4,template4,0.3376,0.3644
experiment,EC10,dir2,sim1,template1,0.4616,0.4849
experiment,EC10,dir2,sim1,template2,0.4041,0.4321
experiment,EC10,dir2,sim1,template3,0.4742,0.4992
experiment,EC10,dir2,sim1,template4,0.2485,0.2776
experiment,EC10,dir2,sim2,template1,0.5383,0.5619
experiment,EC10,dir2,sim2,template2,0.4612,0.4962
experiment,EC10,dir2,sim2,template3,0.4425,0.485
experiment,EC10,dir2,sim2,template4,0.2628,0.2751
experiment,EC10,dir2,sim3,template1,0.4846,0.5115
experiment,EC10,dir2,sim3,template2,0.4258,0.459
experiment,EC10,dir2,sim3,template3,0.412,0.4598
experiment,EC10,dir2,sim3,template4,0.2173,0.2358
experiment,EC10,dir2,sim4,template1,0.4986,0.5399
experiment,EC10,dir2,sim4,template2,0.4375,0.4866
experiment,EC10,dir2,sim4,template3,0.4621,0.4964
experiment,EC10,dir2,sim4,template4,0.2161,0.225
experiment,ECIT,dir,sim1,template1,0.4469,0.4802
experiment,ECIT,dir,sim1,template2,0.443,0.4818
experiment,ECIT,dir,sim1,template3,0.5054,0.544
experiment,ECIT,dir,sim1,template4,0.2511,0.2878
experiment,ECIT,dir,sim2,template1,0.4894,0.5614
experiment,ECIT,dir,sim2,template2,0.4644,0.5014
experiment,ECIT,dir,sim2,template3,0.4306,0.4474
experiment,ECIT,dir,sim2,template4,0.2522,0.2758
experiment,ECIT,dir,sim3,template1,0.5185,0.5507
experiment,ECIT,dir,sim3,template2,0.5074,0.5556
experiment,ECIT,dir,sim3,template3,0.5622,0.5991
experiment,ECIT,dir,sim3,template4,0.312,0.337
experiment,ECIT,dir,sim4,template1,0.5043,0.5427
experiment,ECIT,dir,sim4,template2,0.5113,0.5508
experiment,ECIT,dir,sim4,template3,0.5423,0.5702
experiment,ECIT,dir,sim4,template4,0.3116,0.3324
experiment,ECIT,dir2,sim1,template1,0.4921,0.5242
experiment,ECIT,dir2,sim1,template2,0.4951,0.5303
experiment,ECIT,dir2,sim1,template3,0.5133,0.5406
experiment,ECIT,dir2,sim1,template4,0.2986,0.3298
experiment,ECIT,dir2,sim2,template1,0.497,0.5168
experiment,ECIT,dir2,sim2,template2,0.5174,0.5654
experiment,ECIT,dir2,sim2,template3,0.5086,0.5332
experiment,ECIT,dir2,sim2,template4,0.2735,0.2963
experiment,ECIT,dir2,sim3,template1,0.4837,0.5252
experiment,ECIT,dir2,sim3,template2,0.5085,0.5352
experiment,ECIT,dir2,sim3,template3,0.5245,0.5542
experiment,ECIT,dir2,sim3,template4,0.297,0.3092
experiment,ECIT,dir2,sim4,template1,0.5181,0.5538
experiment,ECIT,dir2,sim4,template2,0.5352,0.5672
experiment,ECIT,dir2,sim4,template3,0.5093,0.5457
experiment,ECIT,dir2,sim4,template4,0.3273,0.3471
experiment,ECOR,dir,sim1,template1,0.4946,0.5331
experiment,ECOR,dir,sim1,template2,0.4965,0.5391
experiment,ECOR,dir,sim1,template3,0.5588,0.5821
experiment,ECOR,dir,sim1,template4,0.2774,0.3081
experiment,ECOR,dir,sim2,template1,0.637,0.6678
experiment,ECOR,dir,sim2,template2,0.4461,0.5014
experiment,ECOR,dir,sim2,template3,0.3942,0.4218
experiment,ECOR,dir,sim2,template4,0.254,0.283
experiment,ECOR,dir,sim3,template1,0.5034,0.5517
experiment,ECOR,dir,sim3,template2,0.4888,0.5189
experiment,ECOR,dir,sim3,template3,0.5118,0.5371
experiment,ECOR,dir,sim3,template4,0.2927,0.318
experiment,ECOR,dir,sim4,template1,0.496,0.5303
experiment,ECOR,dir,sim4,template2,0.4846,0.5389
experiment,ECOR,dir,sim4,template3,0.5183,0.5601
experiment,ECOR,dir,sim4,template4,0.2861,0.3065
experiment,ECOR,dir2,sim1,template1,0.5155,0.553
experiment,ECOR,dir2,sim1,template2,0.5114,0.5569
experiment,ECOR,dir2,sim1,template3,0.5288,0.562
experiment,ECOR,dir2,sim1,template4,0.2964,0.3227
experiment,ECOR,dir2,sim2,template1,0.5141,0.5626
experiment,ECOR,dir2,sim2,template2,0.4635,0.5185
experiment,ECOR,dir2,sim2,template3,0.4185,0.4414
experiment,ECOR,dir2,sim2,template4,0.2609,0.2834
experiment,ECOR,dir2,sim3,template1,0.5215,0.5723
experiment,ECOR,dir2,sim3,template2,0.4365,0.471
experiment,ECOR,dir2,sim3,template3,0.4446,0.4749
experiment,ECOR,dir2,sim3,template4,0.2271,0.2433
experiment,ECOR,dir2,sim4,template1,0.4896,0.5252
experiment,ECOR,dir2,sim4,template2,0.4322,0.478
experiment,ECOR,dir2,sim4,template3,0.4393,0.4825
experiment,ECOR,dir2,sim4,template4,0.2393,0.2596
experiment,EMAS,dir,sim2,template1,0.5526,0.5944
experiment,EMAS,dir,sim2,template2,0.4811,0.5298
experiment,EMAS,dir,sim2,template3,0.4743,0.5126
experiment,EMAS,dir,sim2,template4,0.2689,0.2838
experiment,EMAS,dir,sim3,template1,0.5413,0.5686
experiment,EMAS,dir,sim3,template2,0.5379,0.5972
experiment,EMAS,dir,sim3,template3,0.5789,0.613
experiment,EMAS,dir,sim3,template4,0.3158,0.3484
experiment,EMAS,dir,sim4,template1,0.5512,0.6048
experiment,EMAS,dir,sim4,template2,0.5268,0.5774
experiment,EMAS,dir,sim4,template3,0.602,0.6466
experiment,EMAS,dir,sim4,template4,0.3143,0.3486
experiment,EMAS,dir2,sim2,template1,0.4942,0.5234
experiment,EMAS,dir2,sim2,template2,0.5378,0.5847
experiment,EMAS,dir2,sim2,template3,0.5495,0.5929
experiment,EMAS,dir2,sim2,template4,0.3042,0.3232
experiment,EMAS,dir2,sim3,template1,0.5446,0.5829
experiment,EMAS,dir2,sim3,template2,0.591,0.6267
experiment,EMAS,dir2,sim3,template3,0.5818,0.6066
experiment,EMAS,dir2,sim3,template4,0.3387,0.3686
experiment,EMAS,dir2,sim4,template1,0.5805,0.6111
experiment,EMAS,dir2,sim4,template2,0.5899,0.6405
experiment,EMAS,dir2,sim4,template3,0.5311,0.5745
experiment,EMAS,dir2,sim4,template4,0.3259,0.365
