track,dataset,n_stations,snr,p_network,p_single
X,ingv,2,0.25,0.05,0.03333333333333333
X,ingv,2,0.5,0.75,0.26666666666666666
X,ingv,2,0.75,1.0,0.85
X,ingv,2,1.0,1.0,1.0
X,ingv,2,1.5,1.0,1.0
X,ingv,2,2.0,1.0,1.0
X,ingv,2,3.0,1.0,1.0
X,experiment,5,0.25,0.25,0.03333333333333333
X,experiment,5,0.5,1.0,0.7666666666666667
X,experiment,5,0.75,1.0,1.0
X,experiment,5,1.0,1.0,1.0
X,experiment,5,1.5,1.0,1.0
X,experiment,5,2.0,1.0,1.0
X,experiment,5,3.0,1.0,1.0
Y,ingv,2,0.25,0.03333333333333333,0.03333333333333333
Y,ingv,2,0.5,0.6166666666666667,0.16666666666666666
Y,ingv,2,0.75,1.0,0.7166666666666667
Y,ingv,2,1.0,1.0,1.0
Y,ingv,2,1.5,1.0,1.0
Y,ingv,2,2.0,1.0,1.0
Y,ingv,2,3.0,1.0,1.0
Y,experiment,5,0.25,0.16666666666666666,0.0
Y,experiment,5,0.5,0.9833333333333333,0.21666666666666667
Y,experiment,5,0.75,1.0,0.9
Y,experiment,5,1.0,1.0,1.0
Y,experiment,5,1.5,1.0,1.0
Y,experiment,5,2.0,1.0,1.0
Y,experiment,5,3.0,1.0,1.0
