dataset,station,sim,template,floor_detect,floor_signif,n_detect,n_signif,n_between,max_r,mean_r
ingv,ECPN,sim1,template1,0.4922,0.5194,23,11,12,0.587,0.523
ingv,ECPN,sim1,template2,0.5013,0.5489,18,3,15,0.6,0.522
ingv,ECPN,sim1,template3,0.5231,0.5543,33,12,21,0.656,0.553
ingv,ECPN,sim1,template4,0.2792,0.3098,36,8,28,0.341,0.299
ingv,ECPN,sim2,template1,0.5292,0.5651,43,20,23,0.642,0.562
ingv,ECPN,sim2,template2,0.5356,0.5725,34,6,28,0.639,0.557
ingv,ECPN,sim2,template3,0.5024,0.5294,63,32,31,0.603,0.537
ingv,ECPN,sim2,template4,0.3052,0.3473,70,8,62,0.398,0.327
ingv,ECPN,sim3,template1,0.5653,0.6138,15,4,11,0.669,0.602
ingv,ECPN,sim3,template2,0.6133,0.6708,11,1,10,0.715,0.647
ingv,ECPN,sim3,template3,0.6148,0.6765,13,2,11,0.737,0.643
ingv,ECPN,sim3,template4,0.4125,0.4439,5,2,3,0.458,0.436
ingv,ECPN,sim4,template1,0.5622,0.6094,39,9,30,0.633,0.593
ingv,ECPN,sim4,template2,0.6195,0.6661,4,1,3,0.706,0.649
ingv,ECPN,sim4,template3,0.5282,0.5801,106,32,74,0.706,0.568
ingv,ECPN,sim4,template4,0.3762,0.3914,14,9,5,0.443,0.403
ingv,EEC1,sim1,template1,0.4314,0.4651,61,16,45,0.538,0.457
ingv,EEC1,sim1,template2,0.4591,0.4881,43,12,31,0.571,0.483
ingv,EEC1,sim1,template3,0.4826,0.5108,42,13,29,0.588,0.506
ingv,EEC1,sim1,template4,0.2728,0.295,51,20,31,0.386,0.297
ingv,EEC1,sim2,template1,0.4889,0.5378,88,47,41,0.69,0.552
ingv,EEC1,sim2,template2,0.4921,0.5402,18,3,15,0.563,0.514
ingv,EEC1,sim2,template3,0.4685,0.4923,15,9,6,0.537,0.501
ingv,EEC1,sim2,template4,0.2792,0.3007,52,15,37,0.369,0.297
