dataset,station,component,method,peak_time,score,floor_signif,margin
ingv,ECPN,dir2,max,2023-01-04 02:21,0.774,0.614,0.16
ingv,ECPN,dir2,max,2022-12-31 11:08,0.722,0.614,0.108
ingv,ECPN,dir2,max,2023-01-12 19:24,0.721,0.614,0.107
experiment,EMAS,dir,max,2023-07-30 07:49,0.707,0.661,0.046
ingv,ECPN,dir,max,2022-11-18 19:57,0.706,0.684,0.022
ingv,ECPN,dir2,max,2023-02-04 07:14,0.703,0.614,0.089
ingv,ECPN,dir2,max,2023-01-06 23:04,0.699,0.614,0.085
experiment,EC1,dir2,max,2023-07-27 12:08,0.694,0.662,0.032
ingv,ECPN,dir2,max,2022-12-30 19:35,0.692,0.614,0.078
ingv,ECPN,dir2,max,2022-12-06 23:49,0.691,0.614,0.077
experiment,EC1,dir2,max,2023-07-27 10:44,0.69,0.662,0.028
ingv,ECPN,dir2,max,2023-01-07 04:33,0.687,0.614,0.073
ingv,ECPN,dir2,max,2023-02-17 21:19,0.686,0.614,0.072
ingv,ECPN,dir2,max,2023-02-11 23:56,0.686,0.614,0.072
ingv,ECPN,dir2,max,2022-12-27 11:44,0.685,0.614,0.071
ingv,ECPN,dir2,max,2022-12-22 20:32,0.681,0.614,0.067
ingv,ECPN,dir2,max,2023-01-13 19:44,0.678,0.614,0.064
ingv,ECPN,dir2,max,2023-02-18 17:16,0.673,0.614,0.059
ingv,ECPN,dir2,max,2023-01-04 12:07,0.673,0.614,0.059
ingv,ECPN,dir2,max,2022-11-26 19:54,0.67,0.614,0.056
