dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,ECPN,mag,max,2023-01-21 12:26:29,0.6112,False,5.1684549446249495,0.11105254637262174,0.04351599954613673,0.6977449889427341,False,5.677061531855902,True
ingv,ECPN,mag,max,2022-12-10 21:15:09,0.6143,True,5.976514474613755,-0.3733375615073711,0.180914638102139,0.6193954079590483,False,5.4585181136163925,True
ingv,ECPN,mag,max,2023-01-10 20:52:41,0.6593,True,4.108618770859961,-0.3555092097939343,0.040804338446320865,0.9615720618378468,False,5.205808074405183,True
ingv,ECPN,mag,max,2023-01-10 15:03:12,0.6008,False,4.711434739465928,-0.06276565456200522,0.01870032343913773,1.031260775807186,False,5.11264261417995,False
ingv,ECPN,mag,max,2022-11-26 19:54:04,0.6699,True,4.641976263986161,-0.10991143244437529,0.0722489591527494,1.1074363764797603,False,5.036955968215779,False
ingv,EEC1,mag,max,2022-11-30 05:04:15,0.5294,False,4.149387376777428,-0.1257063625096153,0.03132770888576053,0.32202865512551765,False,4.981974398670184,True
ingv,EEC1,mag,max,2022-11-30 03:46:40,0.5341,False,9.950648614730738,2.0346041895351306,0.3417018081361485,0.45918465092496163,False,4.943791500381536,True
ingv,ECPN,mag,max,2023-01-10 16:17:07,0.6544,True,5.099539123423851,1.0339156114789239,0.0427010981624744,0.9945455962898342,False,4.919497818383096,True
experiment,EC1,mag,max,2023-07-27 13:22:44,0.6523,True,5.108120926778373,-0.42695446952289196,0.06770204239969856,,False,4.863674953955499,False
experiment,EC1,mag,max,2023-07-27 10:44:29,0.7,True,4.247077480596697,-0.7441950276737428,0.10273561791560315,,False,4.447396566138027,False
ingv,EEC1,mag,max,2022-11-30 08:50:36,0.5108,False,6.224587833030252,-0.06509231152434536,0.0954754474690273,1.2975939154873268,False,4.446981652962299,False
ingv,ECPN,mag,max,2023-01-16 10:30:51,0.6287,True,4.609813103331972,0.570670475767991,0.09086598988474855,0.8307141022924506,False,4.391515258065659,True
ingv,ECPN,mag,stack,2022-12-10 11:52:21,0.3704,False,7.8631095749859545,0.7755958329696369,0.13009785611371535,0.7863357180686025,False,4.381017071283145,True
ingv,EEC1,mag,max,2023-01-10 18:43:23,0.5499,True,4.626224365635686,-0.3491069583242399,0.1319136403514495,0.7324277558478807,False,4.1257383081164125,True
ingv,ECPN,mag,max,2022-12-10 14:08:01,0.6007,False,7.047941453326967,3.51934056923258,0.10594958402372721,0.776668289668964,False,3.9742812647336434,True
ingv,EEC1,mag,max,2022-12-12 13:42:22,0.6274,True,2.389765244846263,-0.757021409759528,0.10840286846194834,0.4217553852063756,False,3.9280284524569415,True
ingv,ECPN,mag,stack,2022-12-03 17:12:14,0.3871,True,7.786801262060651,-0.27412482427966145,0.2725454203874454,0.708080770126401,False,3.910317728574742,True
ingv,ECPN,mag,max,2023-01-07 04:33:32,0.6783,True,2.629294231694827,-0.6731393136607675,0.04254054650889131,1.3211313193858791,False,3.863915907436388,False
ingv,ECPN,mag,stack,2022-12-10 21:11:25,0.3892,True,5.976514474613755,-0.40896071756346997,0.15300713327574114,0.654948042049936,False,3.8090628104369184,True
ingv,ECPN,mag,max,2022-12-01 02:45:01,0.6297,True,3.702660515399904,0.26644296810302937,0.04350673779208804,1.2614406348499267,False,3.734670519145233,False
ingv,ECPN,mag,stack,2023-01-10 13:11:34,0.3846,True,6.528850346481371,-0.22734236310262634,0.1787603822140073,0.7574955032128337,False,3.690189236850906,True
ingv,ECPN,mag,max,2022-11-24 07:01:50,0.6064,False,3.7120111706331946,-0.4036078386046924,0.10136971196257942,1.1335136642969807,False,3.631221094782611,False
experiment,ECOR,mag,max,2023-08-01 08:15:54,0.5813,False,2.7739606104641843,0.02178315598891345,0.06058975362265262,0.5524086402025722,False,3.585185783488537,True
experiment,ECIT,mag,max,2023-07-25 03:08:29,0.6762,True,3.022440777364653,-0.18550471325589557,0.11838420738870788,0.9803009519586129,False,3.5568461031746264,True
ingv,ECPN,mag,max,2023-01-10 18:02:09,0.6259,True,3.7331660959643744,-0.44515993490362815,0.09236641215211776,1.4141530165634453,False,3.532431202001351,False
ingv,ECPN,mag,max,2023-01-20 20:15:11,0.6101,False,3.476325392099917,-0.42660447491532816,0.04904872837148098,1.5373926543144851,False,3.4295401644008963,False
ingv,ECPN,mag,stack,2022-11-23 08:57:55,0.3631,False,6.215296031551846,-0.20065952351125071,0.07719835357872706,1.3354204263989273,False,3.415575841721087,False
ingv,EEC1,mag,max,2022-12-15 10:41:54,0.5845,True,3.963666828425547,1.132966205232158,0.06333107567456175,0.895678067047998,False,3.2761659383765545,True
ingv,ECPN,mag,stack,2022-11-26 19:45:28,0.4528,True,4.207661762538525,-0.4115253577108109,0.07043850884399354,0.9875290909795703,False,3.2547466778483707,True
ingv,ECPN,mag,max,2023-01-10 19:34:23,0.6078,False,2.3072950937867174,-0.5237043109555426,0.04654313518059043,1.0605875640590554,False,3.2330006045778017,False
ingv,ECPN,mag,max,2023-02-12 19:14:09,0.591,False,2.3598653590295924,-0.47405737508933843,0.0036899755306743017,1.2650078203750998,False,3.230627676183138,False
ingv,ECPN,mag,max,2023-01-04 02:21:34,0.7673,True,2.7188218438872167,0.17930062710360684,0.11338450963947831,1.53035194152154,False,3.089429014973137,False
ingv,ECPN,mag,max,2023-01-13 16:13:35,0.5992,False,3.122037976273591,0.517917564634518,0.04903269831355824,1.0761260771144212,False,3.037574899878261,False
ingv,ECPN,mag,max,2023-01-01 23:10:24,0.603,False,2.0019790584693875,-0.47856453014451006,0.01787523981924699,1.210715650882644,False,2.982313233530013,False
ingv,ECPN,mag,max,2023-02-12 03:09:06,0.658,True,1.7854616246597348,-0.6826597796657481,0.06821801018604176,1.1723840261910958,False,2.973663364510109,False
ingv,ECPN,mag,max,2022-12-03 13:06:43,0.6027,False,7.059485114139007,0.913613445046475,0.4069166558805253,0.7185954958243458,False,2.96099592690625,True
ingv,ECPN,mag,stack,2023-01-10 15:37:47,0.3947,True,4.93175698910556,-0.8027666619766873,0.17628417067722044,0.7625132410638462,False,2.9050579295659524,True
ingv,ECPN,mag,stack,2023-01-10 21:10:26,0.3727,True,4.108618770859961,-0.5153593054242585,0.038879868644129664,0.9989183214557968,False,2.8668466414562994,True
ingv,ECPN,mag,max,2022-12-22 20:32:17,0.6798,True,2.686705247702607,-0.3609432472041969,0.08672284622084123,1.6205763015623371,False,2.8418090462957943,False
ingv,EEC1,mag,stack,2023-01-10 18:51:44,0.3436,True,4.626224365635686,-0.51089064363231,0.12057686053321187,0.6116836852984849,False,2.7828335025389546,True
ingv,ECPN,mag,max,2023-01-07 17:52:31,0.6451,True,1.6541669034054374,-0.1475628813110359,0.03698612447611197,1.1113791864352438,False,2.7742581701990776,False
experiment,EC10,mag,max,2023-07-31 12:53:29,0.5771,False,2.990864062517813,-0.6066368830791484,0.14318364259965166,0.9632981699043166,False,2.7728693293825963,True
ingv,ECPN,mag,max,2022-12-07 08:54:42,0.6063,False,1.8799570830961623,0.28287840931452823,0.03315824205937229,0.8389458571026986,False,2.75009555029331,True
ingv,EEC1,mag,max,2023-01-10 23:19:13,0.54,True,3.1626177559692406,0.38366073506974363,0.05839468745350012,0.9720577953981605,False,2.7215333673818662,True
ingv,EEC1,mag,max,2023-01-21 14:24:29,0.5209,False,4.319247402536375,1.5828230855671261,0.09507451854159267,0.6792662032528008,False,2.7042695482683152,True
ingv,EEC1,mag,max,2022-11-19 11:44:05,0.5661,True,3.142300645114144,-0.927412235366651,0.1989941494778691,0.8470527201668345,False,2.644964896436952,True
experiment,EC10,mag,max,2023-08-02 07:54:00,0.5997,False,4.733217245831824,2.567577219397532,0.022942401534639525,1.4435925485674108,False,2.633334826704523,False
ingv,EEC1,mag,max,2022-11-19 20:56:15,0.529,False,2.4287520219689913,-0.5134709711092396,0.0905087790379216,0.788712269241023,False,2.6123774370481225,True
ingv,ECPN,mag,max,2022-12-27 11:44:33,0.6775,True,2.3583023436827397,-0.1010637040904867,0.10520307549144091,1.3406189032959928,False,2.5879139746062316,False
ingv,EEC1,mag,stack,2023-01-10 14:27:48,0.3194,False,4.821401864902061,0.13262899242620296,0.026153782186320074,1.064501734004185,False,2.568883531954733,False
ingv,ECPN,mag,max,2022-12-27 20:58:36,0.6443,True,2.113842871151701,0.2116521924737378,0.02669286252845689,1.4073359648765729,False,2.567172606337736,False
experiment,EC1,mag,max,2023-07-27 12:05:16,0.659,True,3.687614409615905,-0.32034232313349875,0.1846300554798537,,False,2.5414576580972223,False
ingv,ECPN,mag,stack,2022-12-16 23:09:27,0.3721,False,6.303116687726513,1.857174090497404,0.08255535352868563,0.9953186868562244,False,2.5374666561332937,True
