dataset,station,component,method,peak_time,score,floor_detect,floor_signif,significant
ingv,ECPN,mag,max,2022-11-15 18:34:58,0.6194,0.59,0.612,True
ingv,ECPN,mag,max,2022-11-20 18:04:20,0.6301,0.59,0.612,True
ingv,ECPN,mag,max,2022-11-24 07:01:50,0.6064,0.59,0.612,False
ingv,ECPN,mag,max,2022-11-26 19:54:04,0.6699,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-01 02:45:01,0.6297,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-03 13:06:43,0.6027,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-05 12:03:25,0.6199,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-06 23:49:38,0.6907,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-07 08:54:42,0.6063,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-07 11:23:35,0.599,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-07 13:36:53,0.5983,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-07 16:14:53,0.6127,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-09 00:08:47,0.6404,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-10 03:02:39,0.5963,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-10 14:08:01,0.6007,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-10 21:15:09,0.6143,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-12 13:55:04,0.6081,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-13 08:00:03,0.6003,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-16 05:25:29,0.6118,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-18 04:19:25,0.5917,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-18 11:03:49,0.6313,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-19 04:34:38,0.6,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-22 17:41:21,0.6012,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-22 20:32:17,0.6798,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-24 00:43:53,0.5939,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-24 11:37:26,0.6174,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-25 15:48:42,0.6002,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-26 19:13:39,0.5908,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-27 11:44:33,0.6775,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-27 20:58:36,0.6443,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-27 22:59:59,0.5932,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-28 03:36:40,0.6113,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-29 03:26:47,0.6058,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-29 13:50:57,0.6258,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-30 15:32:34,0.6538,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-30 18:01:03,0.6095,0.59,0.612,False
ingv,ECPN,mag,max,2022-12-30 19:35:20,0.6825,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-31 09:23:08,0.6133,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-31 11:08:31,0.7272,0.59,0.612,True
ingv,ECPN,mag,max,2022-12-31 14:50:04,0.6024,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-01 05:58:47,0.6311,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-01 22:13:00,0.5915,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-01 23:10:24,0.603,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-02 01:31:11,0.6293,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-02 05:39:17,0.6422,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-02 14:35:38,0.6618,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-03 03:07:26,0.6159,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-03 22:24:17,0.6557,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-04 02:21:34,0.7673,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-04 04:12:52,0.625,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-04 06:46:51,0.6583,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-04 12:02:08,0.6793,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-04 15:23:59,0.5919,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-04 17:23:22,0.6371,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-05 05:27:56,0.6124,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-05 22:48:17,0.6583,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-06 23:04:25,0.6881,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-07 00:12:27,0.5897,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-07 04:33:32,0.6783,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-07 07:40:46,0.6471,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-07 17:52:31,0.6451,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-09 03:25:48,0.6055,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-10 15:03:12,0.6008,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-10 16:17:07,0.6544,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-10 18:02:09,0.6259,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-10 19:34:23,0.6078,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-10 20:52:41,0.6593,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-10 23:56:01,0.6122,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-11 06:38:21,0.627,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-12 02:12:59,0.6623,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-12 04:13:09,0.6183,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-12 19:33:00,0.7276,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-13 02:52:43,0.6467,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-13 15:11:24,0.6659,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-13 16:13:35,0.5992,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-13 19:44:56,0.6918,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-14 01:24:53,0.629,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-14 18:46:20,0.603,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-16 10:30:51,0.6287,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-20 20:15:11,0.6101,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-21 12:26:29,0.6112,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-21 23:07:11,0.6104,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-22 02:29:42,0.6095,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-25 07:13:57,0.6287,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-26 14:04:19,0.6293,0.59,0.612,True
ingv,ECPN,mag,max,2023-01-27 07:31:40,0.5917,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-30 23:15:59,0.5929,0.59,0.612,False
ingv,ECPN,mag,max,2023-01-31 14:08:27,0.6181,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-01 01:37:06,0.6171,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-03 00:32:18,0.6099,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-03 01:33:20,0.5935,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-03 03:15:10,0.6312,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-04 07:14:50,0.7188,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-04 10:27:51,0.607,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-04 17:36:15,0.5917,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-04 22:32:09,0.6117,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-06 23:47:53,0.6087,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-07 14:56:07,0.6265,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-07 22:57:57,0.6097,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-10 18:50:07,0.6124,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-10 19:59:33,0.6377,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-10 22:34:14,0.6456,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-11 20:42:11,0.6461,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-11 23:55:58,0.6694,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-12 00:56:11,0.6627,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-12 03:09:06,0.658,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-12 09:12:22,0.6015,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-12 19:14:09,0.591,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-13 01:07:15,0.6347,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-13 06:18:36,0.5909,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-15 01:18:03,0.6226,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-15 21:32:32,0.6044,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-16 12:51:19,0.6127,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-16 23:26:06,0.5953,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-17 21:19:10,0.6741,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-18 17:24:57,0.6586,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-19 14:07:03,0.6315,0.59,0.612,True
ingv,ECPN,mag,max,2023-02-19 15:18:43,0.5935,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-20 11:21:26,0.606,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-21 03:49:42,0.6108,0.59,0.612,False
ingv,ECPN,mag,max,2023-02-23 18:25:50,0.6144,0.59,0.612,True
ingv,ECPN,mag,stack,2022-11-15 18:46:42,0.3937,0.363,0.372,True
ingv,ECPN,mag,stack,2022-11-18 09:35:24,0.3633,0.363,0.372,False
ingv,ECPN,mag,stack,2022-11-19 12:34:49,0.3917,0.363,0.372,True
ingv,ECPN,mag,stack,2022-11-21 09:09:39,0.3797,0.363,0.372,True
ingv,ECPN,mag,stack,2022-11-23 08:57:55,0.3631,0.363,0.372,False
ingv,ECPN,mag,stack,2022-11-26 19:45:28,0.4528,0.363,0.372,True
ingv,ECPN,mag,stack,2022-11-27 12:33:46,0.3896,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-01 03:17:46,0.4044,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-02 22:34:36,0.3761,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-03 17:12:14,0.3871,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-04 01:25:58,0.3725,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-05 08:21:57,0.3661,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-05 12:10:26,0.3877,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-06 16:36:19,0.3783,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-06 23:47:46,0.3732,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-07 08:50:26,0.3767,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-07 10:24:39,0.3635,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-07 13:07:02,0.3712,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-07 16:24:49,0.3981,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-07 19:06:20,0.3674,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-07 21:56:02,0.3732,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-08 18:46:09,0.3666,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-08 23:21:02,0.3663,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-10 02:53:10,0.3669,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-10 09:17:49,0.3634,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-10 11:52:21,0.3704,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-10 21:11:25,0.3892,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-12 09:34:14,0.3643,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-13 08:05:18,0.3759,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-15 12:23:44,0.3689,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-15 17:03:53,0.3738,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-16 23:09:27,0.3721,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-18 03:54:42,0.3953,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-18 10:57:13,0.3698,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-19 04:59:59,0.3934,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-22 20:32:51,0.418,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-22 21:40:00,0.3953,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-23 02:53:45,0.3818,0.363,0.372,True
