dataset,station,component,sim,template,floor_detect,floor_signif
ingv,ECPN,mag,sim1,template1,0.5007,0.5436
ingv,ECPN,mag,sim1,template2,0.5212,0.5705
ingv,ECPN,mag,sim1,template3,0.5305,0.5742
ingv,ECPN,mag,sim1,template4,0.2766,0.305
ingv,ECPN,mag,sim2,template1,0.5565,0.594
ingv,ECPN,mag,sim2,template2,0.6208,0.6599
ingv,ECPN,mag,sim2,template3,0.6188,0.6667
ingv,ECPN,mag,sim2,template4,0.374,0.3961
ingv,ECPN,mag,sim3,template1,0.621,0.6544
ingv,ECPN,mag,sim3,template2,0.631,0.6912
ingv,ECPN,mag,sim3,template3,0.6561,0.6922
ingv,ECPN,mag,sim3,template4,0.371,0.3916
ingv,ECPN,mag,sim4,template1,0.6581,0.7037
ingv,ECPN,mag,sim4,template2,0.6421,0.6838
ingv,ECPN,mag,sim4,template3,0.6704,0.7192
ingv,ECPN,mag,sim4,template4,0.3768,0.4074
ingv,EEC1,mag,sim1,template1,0.4577,0.4826
ingv,EEC1,mag,sim1,template2,0.4804,0.5159
ingv,EEC1,mag,sim1,template3,0.4908,0.5314
ingv,EEC1,mag,sim1,template4,0.2863,0.3232
ingv,EEC1,mag,sim2,template1,0.475,0.5132
ingv,EEC1,mag,sim2,template2,0.4669,0.4898
ingv,EEC1,mag,sim2,template3,0.4362,0.4714
ingv,EEC1,mag,sim2,template4,0.2685,0.2953
ingv,EEC1,mag,sim3,template1,0.4753,0.527
ingv,EEC1,mag,sim3,template2,0.413,0.4537
ingv,EEC1,mag,sim3,template3,0.4368,0.4683
ingv,EEC1,mag,sim3,template4,0.2435,0.2616
ingv,EEC1,mag,sim4,template1,0.4501,0.5022
ingv,EEC1,mag,sim4,template2,0.4057,0.4317
ingv,EEC1,mag,sim4,template3,0.4543,0.502
ingv,EEC1,mag,sim4,template4,0.2264,0.2429
experiment,EC1,mag,sim1,template1,0.4807,0.5016
experiment,EC1,mag,sim1,template2,0.5017,0.5206
experiment,EC1,mag,sim1,template3,0.5336,0.5731
experiment,EC1,mag,sim1,template4,0.3008,0.3149
experiment,EC1,mag,sim2,template1,0.5194,0.5433
experiment,EC1,mag,sim2,template2,0.5092,0.535
experiment,EC1,mag,sim2,template3,0.5167,0.5568
experiment,EC1,mag,sim2,template4,0.3091,0.3242
experiment,EC1,mag,sim3,template1,0.5073,0.5486
experiment,EC1,mag,sim3,template2,0.5965,0.622
experiment,EC1,mag,sim3,template3,0.6062,0.6572
experiment,EC1,mag,sim3,template4,0.3782,0.4111
experiment,EC1,mag,sim4,template1,0.5592,0.6091
experiment,EC1,mag,sim4,template2,0.6012,0.6469
experiment,EC1,mag,sim4,template3,0.5511,0.5882
experiment,EC1,mag,sim4,template4,0.3888,0.4079
experiment,EC10,mag,sim1,template1,0.4403,0.4664
experiment,EC10,mag,sim1,template2,0.4649,0.4919
experiment,EC10,mag,sim1,template3,0.4933,0.5406
experiment,EC10,mag,sim1,template4,0.2556,0.2846
experiment,EC10,mag,sim2,template1,0.5245,0.562
experiment,EC10,mag,sim2,template2,0.4957,0.5276
experiment,EC10,mag,sim2,template3,0.516,0.5484
experiment,EC10,mag,sim2,template4,0.2995,0.3201
experiment,EC10,mag,sim3,template1,0.5348,0.5769
experiment,EC10,mag,sim3,template2,0.4837,0.5037
experiment,EC10,mag,sim3,template3,0.4498,0.4867
experiment,EC10,mag,sim3,template4,0.2575,0.2744
experiment,EC10,mag,sim4,template1,0.5363,0.5718
experiment,EC10,mag,sim4,template2,0.5129,0.5543
experiment,EC10,mag,sim4,template3,0.4433,0.4697
experiment,EC10,mag,sim4,template4,0.2575,0.273
experiment,ECIT,mag,sim1,template1,0.4696,0.5123
experiment,ECIT,mag,sim1,template2,0.4626,0.4822
experiment,ECIT,mag,sim1,template3,0.4819,0.5107
experiment,ECIT,mag,sim1,template4,0.2697,0.2936
experiment,ECIT,mag,sim2,template1,0.4677,0.506
experiment,ECIT,mag,sim2,template2,0.4596,0.5003
experiment,ECIT,mag,sim2,template3,0.4658,0.4891
experiment,ECIT,mag,sim2,template4,0.2475,0.2568
experiment,ECIT,mag,sim3,template1,0.4885,0.517
experiment,ECIT,mag,sim3,template2,0.4921,0.5357
experiment,ECIT,mag,sim3,template3,0.4692,0.5045
experiment,ECIT,mag,sim3,template4,0.2483,0.262
experiment,ECIT,mag,sim4,template1,0.4972,0.5236
experiment,ECIT,mag,sim4,template2,0.4798,0.5212
experiment,ECIT,mag,sim4,template3,0.4639,0.4979
experiment,ECIT,mag,sim4,template4,0.2513,0.2647
experiment,ECOR,mag,sim1,template1,0.4843,0.5215
experiment,ECOR,mag,sim1,template2,0.4596,0.4997
experiment,ECOR,mag,sim1,template3,0.5828,0.6191
experiment,ECOR,mag,sim1,template4,0.2523,0.2774
experiment,ECOR,mag,sim2,template1,0.5479,0.6019
experiment,ECOR,mag,sim2,template2,0.4958,0.5467
experiment,ECOR,mag,sim2,template3,0.4996,0.5371
experiment,ECOR,mag,sim2,template4,0.2856,0.3051
experiment,ECOR,mag,sim3,template1,0.5096,0.5687
experiment,ECOR,mag,sim3,template2,0.5074,0.5566
experiment,ECOR,mag,sim3,template3,0.5339,0.5572
experiment,ECOR,mag,sim3,template4,0.2795,0.2989
experiment,ECOR,mag,sim4,template1,0.5336,0.569
experiment,ECOR,mag,sim4,template2,0.5137,0.5603
experiment,ECOR,mag,sim4,template3,0.5303,0.5731
experiment,ECOR,mag,sim4,template4,0.3013,0.3241
experiment,EMAS,mag,sim2,template1,0.5378,0.5695
experiment,EMAS,mag,sim2,template2,0.4423,0.4818
experiment,EMAS,mag,sim2,template3,0.4526,0.4731
experiment,EMAS,mag,sim2,template4,0.2546,0.2682
experiment,EMAS,mag,sim3,template1,0.5084,0.5477
experiment,EMAS,mag,sim3,template2,0.5563,0.6076
experiment,EMAS,mag,sim3,template3,0.5949,0.6415
experiment,EMAS,mag,sim3,template4,0.3362,0.3573
experiment,EMAS,mag,sim4,template1,0.5455,0.5815
experiment,EMAS,mag,sim4,template2,0.532,0.5873
experiment,EMAS,mag,sim4,template3,0.5917,0.6171
experiment,EMAS,mag,sim4,template4,0.3334,0.3654
