track,dataset,n_stations,snr,p_network,p_single
magnitude,ingv,2,0.25,0.1,0.03333333333333333
magnitude,ingv,2,0.5,0.8166666666666667,0.16666666666666666
magnitude,ingv,2,0.75,1.0,0.75
magnitude,ingv,2,1.0,1.0,0.9833333333333333
magnitude,ingv,2,1.5,1.0,1.0
magnitude,ingv,2,2.0,1.0,1.0
magnitude,ingv,2,3.0,1.0,1.0
magnitude,experiment,5,0.25,0.25,0.05
magnitude,experiment,5,0.5,0.9833333333333333,0.48333333333333334
magnitude,experiment,5,0.75,1.0,0.9666666666666667
magnitude,experiment,5,1.0,1.0,1.0
magnitude,experiment,5,1.5,1.0,1.0
magnitude,experiment,5,2.0,1.0,1.0
magnitude,experiment,5,3.0,1.0,1.0
