dataset,station,sim,template,floor_detect,floor_signif,n_detect,n_signif,n_between,max_r,mean_r
ingv,ECPN,sim1,template1,0.5007,0.5436,9,2,7,0.586,0.528
ingv,ECPN,sim1,template2,0.5212,0.5705,6,1,5,0.587,0.541
ingv,ECPN,sim1,template3,0.5305,0.5742,29,6,23,0.617,0.56
ingv,ECPN,sim1,template4,0.2766,0.305,51,11,40,0.364,0.295
ingv,ECPN,sim2,template1,0.5565,0.594,26,9,17,0.635,0.59
ingv,ECPN,sim2,template2,0.6208,0.6599,3,1,2,0.662,0.64
ingv,ECPN,sim2,template3,0.6188,0.6667,6,2,4,0.679,0.654
ingv,ECPN,sim2,template4,0.374,0.3961,10,3,7,0.495,0.403
ingv,ECPN,sim3,template1,0.621,0.6544,3,1,2,0.663,0.647
ingv,ECPN,sim3,template2,0.631,0.6912,17,2,15,0.706,0.662
ingv,ECPN,sim3,template3,0.6561,0.6922,10,3,7,0.723,0.687
ingv,ECPN,sim3,template4,0.371,0.3916,37,21,16,0.487,0.4
ingv,ECPN,sim4,template1,0.6581,0.7037,5,1,4,0.709,0.68
ingv,ECPN,sim4,template2,0.6421,0.6838,9,2,7,0.727,0.674
ingv,ECPN,sim4,template3,0.6704,0.7192,8,3,5,0.767,0.709
ingv,ECPN,sim4,template4,0.3768,0.4074,35,10,25,0.472,0.406
ingv,EEC1,sim1,template1,0.4577,0.4826,43,15,28,0.543,0.479
ingv,EEC1,sim1,template2,0.4804,0.5159,28,9,19,0.57,0.509
ingv,EEC1,sim1,template3,0.4908,0.5314,88,37,51,0.608,0.529
ingv,EEC1,sim1,template4,0.2863,0.3232,23,5,18,0.376,0.307
ingv,EEC1,sim2,template1,0.475,0.5132,108,74,34,0.682,0.553
ingv,EEC1,sim2,template2,0.4669,0.4898,47,16,31,0.55,0.491
ingv,EEC1,sim2,template3,0.4362,0.4714,58,25,33,0.566,0.474
ingv,EEC1,sim2,template4,0.2685,0.2953,71,22,49,0.358,0.29
ingv,EEC1,sim3,template1,0.4753,0.527,80,20,60,0.593,0.51
ingv,EEC1,sim3,template2,0.413,0.4537,224,96,128,0.609,0.458
ingv,EEC1,sim3,template3,0.4368,0.4683,164,99,65,0.6,0.485
ingv,EEC1,sim3,template4,0.2435,0.2616,301,171,130,0.39,0.274
ingv,EEC1,sim4,template1,0.4501,0.5022,174,95,79,0.685,0.53
ingv,EEC1,sim4,template2,0.4057,0.4317,224,146,78,0.594,0.452
ingv,EEC1,sim4,template3,0.4543,0.502,93,22,71,0.585,0.488
ingv,EEC1,sim4,template4,0.2264,0.2429,339,237,102,0.395,0.266
experiment,EC1,sim1,template1,0.4807,0.5016,0,0,0,0.0,0.0
experiment,EC1,sim1,template2,0.5017,0.5206,2,1,1,0.533,0.522
