dataset,station,component,method,peak_time,score,floor_signif,margin
ingv,ECPN,mag,max,2023-01-04 02:21,0.767,0.612,0.155
ingv,ECPN,mag,max,2023-01-12 19:33,0.728,0.612,0.116
ingv,ECPN,mag,max,2022-12-31 11:08,0.727,0.612,0.115
ingv,ECPN,mag,max,2023-02-04 07:14,0.719,0.612,0.107
experiment,EC1,mag,max,2023-07-27 10:44,0.7,0.615,0.085
ingv,ECPN,mag,max,2023-01-13 19:44,0.692,0.612,0.08
ingv,ECPN,mag,max,2022-12-06 23:49,0.691,0.612,0.079
ingv,ECPN,mag,max,2023-01-06 23:04,0.688,0.612,0.076
ingv,ECPN,mag,max,2022-12-30 19:35,0.682,0.612,0.07
ingv,ECPN,mag,max,2022-12-22 20:32,0.68,0.612,0.068
ingv,ECPN,mag,max,2023-01-04 12:02,0.679,0.612,0.067
ingv,ECPN,mag,max,2023-01-07 04:33,0.678,0.612,0.066
ingv,ECPN,mag,max,2022-12-27 11:44,0.678,0.612,0.066
experiment,ECIT,mag,max,2023-07-25 03:08,0.676,0.578,0.098
ingv,ECPN,mag,max,2023-02-17 21:19,0.674,0.612,0.062
ingv,ECPN,mag,max,2022-11-26 19:54,0.67,0.612,0.058
ingv,ECPN,mag,max,2023-02-11 23:55,0.669,0.612,0.057
ingv,ECPN,mag,max,2023-01-13 15:11,0.666,0.612,0.054
ingv,ECPN,mag,max,2023-02-12 00:56,0.663,0.612,0.051
ingv,ECPN,mag,max,2023-01-12 02:12,0.662,0.612,0.05
