dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
ingv,ECPN,sim1,template3,0.2925162633680251,0.3241440316529883,0.3050491197237657,0.3657295413227231,67.56305670339573,False,False,False
ingv,ECPN,sim3,template1,0.3711182117660689,0.1797744570767419,0.23305287147934842,0.3061141774139111,95.29798628521556,False,False,False
ingv,ECPN,sim2,template2,0.053128278710474104,0.4084212761676015,0.40972974920642263,0.3427647902305991,11.667750098383747,False,False,False
ingv,ECPN,sim4,template3,0.33715021776335674,0.30837400304116763,0.3611259463757013,0.35270667896923236,116.93058044988337,False,False,False
ingv,ECPN,sim1,template2,0.3804570164281885,0.2924642810657008,0.32454455359558415,0.34188040640875983,143.79492407886104,False,False,False
ingv,ECPN,sim4,template3,0.2950022727207948,0.41439096868629555,0.43003136371371864,0.33497316861596904,136.11468777375651,False,False,False
ingv,ECPN,sim4,template3,0.009799796810872306,0.49270224731543083,0.5036844241886324,0.37178112063099406,3.857264270589471,False,False,False
ingv,ECPN,sim4,template2,0.14969265964529627,0.4173482107123931,0.4158349555756335,0.2977650587694272,155.75175787065254,False,False,False
ingv,ECPN,sim4,template1,0.1562587667976619,0.4396037515725652,0.42508833146844927,0.32376408423273445,176.68542122855902,False,False,False
ingv,ECPN,sim4,template3,0.48726046660422206,0.3574950805785618,0.35503299724444626,0.4036039668071052,55.507363791786055,False,False,False
ingv,ECPN,sim4,template2,0.13833672055649338,0.5355187947684634,0.5337002864889013,0.4004355466350269,3.9282977513712476,False,False,False
ingv,ECPN,sim3,template1,0.37162249075335685,0.169278622267084,0.1646181515264641,0.27962524436554953,135.34181162201816,False,False,False
ingv,ECPN,sim4,template1,0.2798775682803368,0.4640841448085438,0.4616018045138021,0.33886311205504693,159.10848484262692,False,False,False
ingv,ECPN,sim2,template2,0.4836409381408862,0.1768187114843278,0.16662616838122465,0.3694726395047121,55.19138125479254,False,False,False
ingv,ECPN,sim3,template3,0.41543531958184216,0.17642269313125375,0.1791598918195458,0.2968785398794351,50.085312321500396,False,False,False
ingv,ECPN,sim2,template2,0.11580168591485936,0.4295982827275742,0.42933975900024546,0.37434381529217614,157.47676563073347,False,False,False
ingv,ECPN,sim4,template3,0.06356535498120969,0.47736825411010964,0.4694088807725541,0.38825144587399785,163.05154420347856,False,False,False
ingv,ECPN,sim1,template2,0.4292383590638944,0.3649569523663034,0.3627609719698341,0.3905262811101182,157.08172408302275,False,False,False
ingv,ECPN,sim3,template1,0.20796539775645012,0.41407301102913435,0.40443642407225444,0.38377988758040055,147.2944743448995,False,False,False
ingv,ECPN,sim4,template3,0.1148744681753291,0.6250540609540385,0.6142933248595506,0.4604874464325384,13.260431122886013,False,False,False
ingv,ECPN,sim1,template3,0.2563190006595549,0.431702783748585,0.4337370136830062,0.4030226812359634,46.490052564048156,False,False,False
ingv,ECPN,sim2,template1,0.2600782748910898,0.4409920477000351,0.45220690616085213,0.37034337157189307,49.38106915011558,False,False,False
ingv,ECPN,sim3,template1,0.341929341847852,0.43732629344191026,0.39726254636947195,0.38903233243173746,23.267038516625536,False,False,False
ingv,ECPN,sim4,template3,0.3772452816691121,0.08669823660614534,0.09019577032708818,0.316892490179441,88.65112811879187,False,False,False
ingv,ECPN,sim2,template1,0.22041424634880866,0.4585757301113148,0.4616915920262601,0.37340481523109287,5.599629774078608,False,False,False
ingv,ECPN,sim4,template2,0.37281475333942826,0.5558524917027445,0.548375252417077,0.47729566969152304,21.72962909537807,False,False,False
ingv,ECPN,sim1,template3,0.38195768829186794,0.1888742515316811,0.18855844168025615,0.34448813462815875,131.5411107910959,False,False,False
ingv,ECPN,sim4,template2,0.2743049580895947,0.3606092859166332,0.33318692134620354,0.301187310576616,152.4942894585779,False,False,False
ingv,ECPN,sim4,template2,0.019821007422007157,0.45580498081662646,0.45090825270313883,0.3720879207990017,173.70154305191235,False,False,False
ingv,ECPN,sim4,template2,0.01778774436766304,0.4195227229985014,0.4148938509762748,0.33730531069224556,169.40886475446706,False,False,False
ingv,ECPN,sim1,template3,0.41540537199434074,0.10489528153804292,0.04003207794771916,0.35050692743983053,102.95345582552123,False,False,False
ingv,ECPN,sim2,template2,0.11602395103057402,0.44067311259940073,0.4563638077780252,0.3717206163033956,25.77212710880462,False,False,False
ingv,ECPN,sim3,template1,0.21901476022279545,0.28468143760033626,0.2884723242540448,0.26800098773003833,8.584640938644673,False,False,False
ingv,ECPN,sim4,template2,0.1911840885195081,0.4529321074869373,0.45121250311512046,0.3918968087974765,11.033125011506366,False,False,False
ingv,ECPN,sim1,template1,0.5114706328566765,0.005436791379269968,0.00541820989203962,0.3590516146310989,112.88969540300263,True,False,False
ingv,ECPN,sim2,template3,0.4045240588231892,0.40163392344153176,0.42066141459787376,0.4052581968895862,113.54600784298594,False,False,False
ingv,ECPN,sim4,template3,0.47511967440816244,0.2685614349950762,0.3444111987648191,0.41836190659903055,99.58445941658414,False,False,False
ingv,ECPN,sim1,template3,0.3977915079008472,0.3715364762296014,0.3349030700184856,0.40385279375499467,107.42116947078581,False,False,False
ingv,ECPN,sim1,template3,0.47630100301171896,0.015476904428242347,0.1035968992457891,0.3854830092682796,65.49595251548885,False,False,False
ingv,ECPN,sim2,template1,0.002140410512941246,0.3469626237222876,0.3539108625788012,0.3080977783539714,161.3496227246578,False,False,False
ingv,ECPN,sim1,template3,0.4058074168287189,0.182157229352997,0.1301627894040423,0.3472683279378446,86.9327685815375,False,False,False
ingv,ECPN,sim3,template1,0.2887629327723216,0.3775647667622728,0.35577831191880405,0.3179617687958963,21.170297547639045,False,False,False
ingv,ECPN,sim1,template3,0.372967787317943,0.05139302974318644,0.0010089436002893417,0.29743496181092705,72.69257318932502,False,False,False
ingv,ECPN,sim3,template1,0.1923474361082671,0.5206797674329723,0.5191326470159784,0.40514852908995225,0.3951740669122705,False,False,False
ingv,ECPN,sim3,template1,0.3141546852350394,0.521473713594722,0.5195863016921771,0.44896972674629865,47.62582584392292,False,False,False
ingv,ECPN,sim3,template3,0.033598621709734336,0.4353892161727233,0.4308446138348798,0.30956457788577807,173.44811652294516,False,False,False
ingv,ECPN,sim3,template1,0.053060601344934843,0.38179068083606094,0.381616143766062,0.3223039720185798,154.81584837254064,False,False,False
ingv,ECPN,sim4,template3,0.16184160678305837,0.4131223672119618,0.4136891163360067,0.34800994672340585,150.39903261985637,False,False,False
ingv,ECPN,sim2,template3,0.49007692100849387,0.004969510630840692,0.014740814529286507,0.385554751552998,104.64270264578661,False,False,False
ingv,ECPN,sim2,template1,0.14830070583401717,0.48617783891321054,0.4653719391882843,0.3585766407452059,1.451235883231297,False,False,False
ingv,ECPN,sim4,template3,0.12029126581497755,0.40946130418479226,0.406234124796311,0.33100636063033817,156.44410902508298,False,False,False
ingv,ECPN,sim4,template2,0.37944999314769806,0.39065963213970545,0.3366713865959423,0.3795186174226827,136.27669371539255,False,False,False
ingv,ECPN,sim3,template2,0.06800460737144311,0.3489989105623007,0.3537007578669968,0.2817758415970195,155.47961555919846,False,False,False
ingv,ECPN,sim4,template2,0.4363381318964074,0.20351781450993814,0.20469964966071003,0.3425349341919163,77.43721379103131,False,False,False
ingv,ECPN,sim4,template3,0.029077345393695834,0.5345301349470184,0.5506544983372924,0.3468988314826893,158.69238414207783,False,False,False
ingv,ECPN,sim3,template1,0.3266900038074118,0.2982533928761343,0.3242851689493942,0.32037689985327344,106.71803539920961,False,False,False
ingv,ECPN,sim2,template1,0.028969675055972012,0.4223826050245039,0.40854778597946484,0.29807909916230035,21.67201446911415,False,False,False
ingv,ECPN,sim4,template3,0.23796970507435564,0.6281915805728623,0.6444148563609327,0.4733664306772753,140.71125824909453,False,False,False
ingv,ECPN,sim1,template1,0.43466968112644294,0.09364613196317592,0.1028120798244095,0.34372044004228425,60.10641840377429,False,False,False
ingv,ECPN,sim2,template1,0.04682156312808538,0.37544856495670625,0.3805065940675507,0.3220252653251985,164.16924919965098,False,False,False
ingv,ECPN,sim3,template1,0.39720094780841986,0.3551108403255709,0.39679040914851366,0.38072298017108364,108.7842797965317,False,False,False
ingv,ECPN,sim1,template1,0.18239713554359566,0.3506681610931116,0.324207907138174,0.28323184771998466,128.0571025392892,False,False,False
