configuration,component,dataset,n_detect,n_signif,mean_r,max_r,floor_detect
sim1,dir,experiment,63,19,0.45383333333333337,0.6145,0.43453125
sim1,dir,ingv,289,89,0.45482500000000003,0.6558,0.4302125
sim1,dir2,experiment,87,34,0.5059,0.637,0.44490625
sim1,dir2,ingv,179,42,0.4790375,0.6404,0.454075
sim1,mag,experiment,49,16,0.4644384615384615,0.6027,0.43335625
sim1,mag,ingv,258,79,0.4683875,0.6171,0.443025
sim1,vec,experiment,113,56,0.37895625,0.5605,0.3498875
sim1,vec,ingv,515,179,0.384025,0.625,0.3578125
sim2,dir,experiment,158,67,0.47430000000000005,0.6665,0.43949499999999997
sim2,dir,ingv,368,132,0.4806125,0.69,0.45013749999999997
sim2,dir2,experiment,133,69,0.46401764705882353,0.6536,0.445285
sim2,dir2,ingv,244,95,0.51125,0.6988,0.48085
sim2,mag,experiment,130,72,0.4787894736842105,0.7314,0.442345
sim2,mag,ingv,310,145,0.51205,0.6822,0.4770875
sim2,vec,experiment,266,150,0.39849,0.6328,0.35829
sim2,vec,ingv,644,310,0.4054625,0.6322,0.3703
sim3,dir,experiment,73,41,0.4930294117647058,0.7073,0.46346999999999994
sim3,dir,ingv,532,210,0.5084375,0.7373,0.475375
sim3,dir2,experiment,289,168,0.4736705882352941,0.6655,0.45682999999999996
sim3,dir2,ingv,425,130,0.52395,0.7213,0.4923875
sim3,mag,experiment,113,55,0.50241,0.7362,0.466915
sim3,mag,ingv,780,384,0.51525,0.723,0.4809625
sim3,vec,experiment,282,178,0.42116,0.6118,0.370865
sim3,vec,ingv,1408,754,0.401275,0.6556,0.36205
sim4,dir,experiment,79,43,0.51064375,0.7104,0.471005
sim4,dir,ingv,727,402,0.4970875,0.7061,0.4574625
sim4,dir2,experiment,277,168,0.5113555555555556,0.7519,0.46820500000000004
sim4,dir2,ingv,525,279,0.535875,0.7741,0.4952625
sim4,mag,experiment,104,70,0.5153666666666666,0.7508,0.47119999999999995
sim4,mag,ingv,829,484,0.5258375,0.7673,0.4854875
sim4,vec,experiment,289,184,0.43078000000000005,0.6604,0.37339500000000003
sim4,vec,ingv,1302,770,0.416525,0.7047,0.3717
