station,component,dataset,n_detect,n_signif,mean_r,max_r,floor_detect
EC1,dir,experiment,80,34,0.47728125,0.6416,0.45271875
EC1,dir2,experiment,59,23,0.5427692307692308,0.7519,0.50438125
EC1,mag,experiment,44,20,0.5408714285714286,0.7508,0.49123125
EC1,vec,experiment,164,98,0.42640625,0.6604,0.37901875
EC10,dir,experiment,34,13,0.4762166666666667,0.5895,0.45315
EC10,dir2,experiment,268,148,0.44605,0.637,0.40295
EC10,mag,experiment,87,44,0.46764,0.669,0.43535
EC10,vec,experiment,164,92,0.3949,0.6328,0.34786875
ECIT,dir,experiment,108,43,0.46312857142857144,0.674,0.4407875
ECIT,dir2,experiment,48,28,0.5107,0.6536,0.4562
ECIT,mag,experiment,127,71,0.4520266666666667,0.6762,0.41966875
ECIT,vec,experiment,138,83,0.40761875,0.6312,0.3675625
ECOR,dir,experiment,65,33,0.48052857142857147,0.7104,0.44626875
ECOR,dir2,experiment,376,223,0.4713333333333333,0.6655,0.4212
ECOR,mag,experiment,57,28,0.4931466666666667,0.7182,0.457325
ECOR,vec,experiment,385,231,0.38505,0.6113,0.34385
ECPN,dir,ingv,505,147,0.52580625,0.7373,0.4975125
ECPN,dir2,ingv,222,69,0.5696625,0.7741,0.54246875
ECPN,mag,ingv,255,74,0.56710625,0.7673,0.5391
ECPN,vec,ingv,1256,565,0.4315,0.7047,0.400775
EEC1,dir,ingv,1411,686,0.444675,0.69,0.40908125
EEC1,dir2,ingv,1151,477,0.45539375,0.7184,0.41881875
EEC1,mag,ingv,1922,1018,0.44365625000000003,0.6849,0.40418125
EEC1,vec,ingv,2613,1448,0.37214375,0.6564,0.33015625
EMAS,dir,experiment,86,47,0.5235833333333334,0.7073,0.47875833333333334
EMAS,dir2,experiment,35,17,0.4741142857142857,0.6826,0.49743333333333334
EMAS,mag,experiment,81,50,0.5177363636363637,0.7362,0.47380833333333333
EMAS,vec,experiment,99,64,0.43735833333333335,0.6274,0.3863666666666667
