template,component,dataset,n_detect,n_signif,mean_r,max_r,floor_detect
template1,dir,experiment,106,57,0.5643117647058823,0.7104,0.5157578947368421
template1,dir,ingv,377,161,0.5441125,0.69,0.5048375
template1,dir2,experiment,144,69,0.5571333333333333,0.7519,0.511942105263158
template1,dir2,ingv,341,168,0.5702375,0.7184,0.5296625
template1,mag,experiment,116,62,0.5687058823529412,0.7508,0.5101368421052632
template1,mag,ingv,425,202,0.5642375,0.7093,0.5243
template1,vec,experiment,221,151,0.4755105263157895,0.6604,0.4140526315789474
template1,vec,ingv,822,454,0.4562,0.7047,0.409975
template2,dir,experiment,67,16,0.5208705882352942,0.6367,0.49365789473684213
template2,dir,ingv,438,199,0.5367125,0.7154,0.5071
template2,dir2,experiment,177,80,0.51885,0.6937,0.5075999999999999
template2,dir2,ingv,257,43,0.5637125000000001,0.7217,0.5358375
template2,mag,experiment,69,26,0.5345000000000001,0.6646,0.5035263157894737
template2,mag,ingv,503,247,0.5538625,0.7272,0.5226375
template2,vec,experiment,204,105,0.4403526315789474,0.6107,0.40104736842105265
template2,vec,ingv,740,397,0.4464375,0.6234,0.411775
template3,dir,experiment,66,35,0.54600625,0.7073,0.5146368421052632
template3,dir,ingv,563,251,0.5296375,0.7373,0.495625
template3,dir2,experiment,162,89,0.543425,0.6901,0.5088842105263158
template3,dir2,ingv,280,98,0.5803,0.7741,0.5457625
template3,mag,experiment,79,33,0.5536333333333334,0.7,0.5145578947368421
template3,mag,ingv,414,183,0.5734,0.7673,0.5367375
template3,vec,experiment,209,122,0.46045263157894734,0.6275,0.4119315789473684
template3,vec,ingv,941,492,0.449725,0.6556,0.4101875
template4,dir,experiment,134,62,0.3145055555555556,0.4404,0.2881526315789474
template4,dir,ingv,538,222,0.3305,0.4578,0.305625
template4,dir2,experiment,303,201,0.31486000000000003,0.4561,0.2886736842105263
template4,dir2,ingv,495,237,0.3358625,0.4947,0.3113125
template4,mag,experiment,132,92,0.3188666666666667,0.457,0.2898263157894737
template4,mag,ingv,835,460,0.330025,0.495,0.3028875
template4,vec,experiment,316,190,0.25904736842105264,0.3938,0.22818947368421055
template4,vec,ingv,1366,670,0.254925,0.4173,0.229925
