dataset,station,component,configuration,template,floor_detect,floor_signif,n_detect,n_signif,max_r,mean_r
ingv,ECPN,dir,sim1,template1,0.4922,0.5194,23,11,0.5868,0.5233
ingv,ECPN,dir,sim1,template2,0.5013,0.5489,18,3,0.5998,0.522
ingv,ECPN,dir,sim1,template3,0.5231,0.5543,33,12,0.6558,0.5527
ingv,ECPN,dir,sim1,template4,0.2792,0.3098,35,8,0.3409,0.2994
ingv,ECPN,dir,sim2,template1,0.5292,0.5651,39,16,0.6418,0.561
ingv,ECPN,dir,sim2,template2,0.5356,0.5725,33,5,0.6394,0.5562
ingv,ECPN,dir,sim2,template3,0.5024,0.5294,61,31,0.603,0.5357
ingv,ECPN,dir,sim2,template4,0.3052,0.3473,70,8,0.3977,0.3265
ingv,ECPN,dir,sim3,template1,0.5653,0.6138,12,2,0.6688,0.598
ingv,ECPN,dir,sim3,template2,0.6133,0.6708,11,1,0.7154,0.6469
ingv,ECPN,dir,sim3,template3,0.6148,0.6765,13,2,0.7373,0.6432
ingv,ECPN,dir,sim3,template4,0.4125,0.4439,5,2,0.4578,0.4362
ingv,ECPN,dir,sim4,template1,0.5622,0.6094,32,5,0.6327,0.5904
ingv,ECPN,dir,sim4,template2,0.6195,0.6661,4,1,0.7061,0.6493
ingv,ECPN,dir,sim4,template3,0.5282,0.5801,103,32,0.7057,0.5685
ingv,ECPN,dir,sim4,template4,0.3762,0.3914,13,8,0.4426,0.4036
ingv,ECPN,dir2,sim1,template1,0.503,0.5343,9,3,0.5586,0.5228
ingv,ECPN,dir2,sim1,template2,0.5297,0.5751,5,1,0.5862,0.5521
ingv,ECPN,dir2,sim1,template3,0.537,0.5744,23,7,0.6404,0.57
ingv,ECPN,dir2,sim1,template4,0.2814,0.307,40,11,0.3534,0.2995
ingv,ECPN,dir2,sim2,template1,0.5579,0.5943,26,8,0.657,0.585
ingv,ECPN,dir2,sim2,template2,0.6205,0.6628,3,0,0.662,0.6362
ingv,ECPN,dir2,sim2,template3,0.6228,0.6707,6,1,0.6879,0.6552
ingv,ECPN,dir2,sim2,template4,0.3733,0.3938,11,2,0.4947,0.3974
ingv,ECPN,dir2,sim3,template1,0.6227,0.6571,1,0,0.6432,0.6432
ingv,ECPN,dir2,sim3,template2,0.6393,0.6895,13,3,0.7029,0.6683
ingv,ECPN,dir2,sim3,template3,0.6569,0.6941,10,3,0.7213,0.686
ingv,ECPN,dir2,sim3,template4,0.373,0.4009,32,14,0.4817,0.4027
ingv,ECPN,dir2,sim4,template1,0.6605,0.7072,4,1,0.7178,0.692
ingv,ECPN,dir2,sim4,template2,0.6457,0.6865,9,2,0.7217,0.6761
ingv,ECPN,dir2,sim4,template3,0.6732,0.7273,6,2,0.7741,0.7123
