dataset,station,component,method,peak_time,score,floor_detect,floor_signif,significant
ingv,ECPN,vec,max,2022-11-15 18:34:59,0.5635,0.503,0.521,True
ingv,ECPN,vec,max,2022-11-23 07:32:40,0.5106,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-23 19:18:12,0.5035,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-24 07:01:55,0.5055,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-26 19:45:34,0.5975,0.503,0.521,True
ingv,ECPN,vec,max,2022-11-27 05:55:12,0.5141,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-30 03:03:49,0.5555,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-01 02:44:59,0.571,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-03 17:10:46,0.5221,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-04 00:34:17,0.5154,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-06 23:49:36,0.514,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-07 12:41:18,0.5469,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-07 16:09:17,0.5259,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-09 10:31:19,0.5333,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-10 00:00:48,0.5126,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-10 03:02:46,0.5285,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-10 22:57:29,0.5037,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-11 10:07:59,0.5395,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-11 12:32:44,0.5239,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-13 08:00:03,0.5221,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-16 05:25:29,0.5185,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-16 11:23:55,0.5138,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-18 11:03:45,0.5605,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-19 04:28:25,0.5158,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-22 18:11:49,0.5064,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-22 20:32:08,0.5595,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-23 11:45:23,0.5292,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-24 11:37:29,0.5419,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-25 14:43:54,0.5075,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-27 11:51:04,0.6312,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-27 20:58:37,0.5121,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-29 13:50:54,0.5049,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-31 09:23:10,0.5048,0.503,0.521,False
ingv,ECPN,vec,max,2022-12-31 11:08:37,0.5862,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-01 23:57:48,0.5065,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-02 05:39:23,0.5344,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-02 14:26:25,0.5244,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-04 02:21:38,0.5829,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-04 07:23:03,0.525,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-04 11:57:13,0.5606,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-05 02:26:39,0.5215,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-06 04:52:00,0.521,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-06 23:06:57,0.5173,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-09 02:29:27,0.5115,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-09 03:50:50,0.5557,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-10 09:05:00,0.5272,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-10 13:16:56,0.5836,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-10 15:03:02,0.5398,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-10 16:46:14,0.571,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-10 17:56:12,0.5054,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-10 20:52:46,0.5292,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-12 19:19:11,0.5128,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-13 14:57:40,0.5107,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-13 19:44:58,0.5143,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-14 09:58:44,0.5299,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-19 10:29:12,0.5076,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-20 06:44:59,0.6101,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-20 08:13:44,0.5576,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-20 17:40:31,0.5198,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-21 12:26:46,0.5689,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-22 02:25:09,0.5217,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-25 15:02:40,0.5103,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-26 14:04:03,0.5154,0.503,0.521,False
ingv,ECPN,vec,max,2023-01-27 10:42:50,0.5422,0.503,0.521,True
ingv,ECPN,vec,max,2023-01-30 23:19:05,0.5847,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-02 10:22:58,0.5061,0.503,0.521,False
ingv,ECPN,vec,max,2023-02-02 19:43:02,0.535,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-04 00:00:01,0.5582,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-04 02:02:48,0.5267,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-04 07:14:52,0.5763,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-04 15:49:37,0.5046,0.503,0.521,False
ingv,ECPN,vec,max,2023-02-08 09:54:58,0.5414,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-09 08:27:54,0.5395,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-10 19:59:36,0.5043,0.503,0.521,False
ingv,ECPN,vec,max,2023-02-13 02:21:54,0.5043,0.503,0.521,False
ingv,ECPN,vec,max,2023-02-13 17:52:35,0.5434,0.503,0.521,True
ingv,ECPN,vec,max,2023-02-15 14:20:46,0.507,0.503,0.521,False
ingv,ECPN,vec,max,2023-02-17 00:03:44,0.5181,0.503,0.521,False
ingv,ECPN,vec,stack,2022-11-15 18:34:14,0.3651,0.322,0.336,True
ingv,ECPN,vec,stack,2022-11-17 09:58:48,0.3228,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-18 09:19:05,0.3267,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-18 20:23:56,0.3286,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-19 12:34:49,0.3266,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-21 02:44:11,0.3315,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-21 09:09:45,0.3494,0.322,0.336,True
ingv,ECPN,vec,stack,2022-11-23 08:57:41,0.3659,0.322,0.336,True
ingv,ECPN,vec,stack,2022-11-23 18:23:33,0.3245,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-24 09:17:27,0.3383,0.322,0.336,True
ingv,ECPN,vec,stack,2022-11-25 09:49:52,0.3234,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-26 12:27:12,0.3242,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-26 19:45:25,0.4345,0.322,0.336,True
ingv,ECPN,vec,stack,2022-11-27 05:51:11,0.3262,0.322,0.336,False
ingv,ECPN,vec,stack,2022-11-30 03:02:06,0.3479,0.322,0.336,True
ingv,ECPN,vec,stack,2022-11-30 04:40:01,0.3275,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-01 03:17:47,0.3758,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-02 09:55:46,0.3477,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-03 13:31:47,0.3415,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-03 17:12:18,0.3531,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-05 08:19:21,0.3247,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-07 10:44:06,0.3451,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-07 12:57:03,0.3321,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-07 15:45:06,0.3292,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-07 22:15:28,0.328,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-09 10:31:53,0.3538,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-10 02:53:02,0.3423,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-10 11:52:19,0.3308,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-10 18:45:50,0.323,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-10 21:03:53,0.3531,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-11 00:07:57,0.3344,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-11 02:51:31,0.3226,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-11 09:39:07,0.3298,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-11 12:32:41,0.3448,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-13 07:50:51,0.3544,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-13 19:26:54,0.3346,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-14 02:35:41,0.3239,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-15 12:23:45,0.3407,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-15 19:24:36,0.3227,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-18 10:57:15,0.3397,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-18 12:37:03,0.3447,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-19 04:59:58,0.3284,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-21 02:21:41,0.3334,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-22 20:32:48,0.3615,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-23 11:46:44,0.3486,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-24 11:52:05,0.3285,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-24 18:49:25,0.3267,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-25 14:45:50,0.3232,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-25 22:40:41,0.3254,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-26 00:30:45,0.3288,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-26 10:17:21,0.3527,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-26 17:58:20,0.3235,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-27 07:59:56,0.3306,0.322,0.336,False
ingv,ECPN,vec,stack,2022-12-27 11:44:59,0.3786,0.322,0.336,True
ingv,ECPN,vec,stack,2022-12-27 20:57:12,0.3445,0.322,0.336,True
