dataset,station,component,sim,template,floor_detect,floor_signif
ingv,ECPN,vec,sim1,template1,0.3837,0.402
ingv,ECPN,vec,sim1,template2,0.4347,0.4622
ingv,ECPN,vec,sim1,template3,0.4441,0.4717
ingv,ECPN,vec,sim1,template4,0.2317,0.2488
ingv,ECPN,vec,sim2,template1,0.4365,0.4674
ingv,ECPN,vec,sim2,template2,0.4375,0.4598
ingv,ECPN,vec,sim2,template3,0.4618,0.4968
ingv,ECPN,vec,sim2,template4,0.2648,0.2857
ingv,ECPN,vec,sim3,template1,0.4514,0.4959
ingv,ECPN,vec,sim3,template2,0.4664,0.5149
ingv,ECPN,vec,sim3,template3,0.4456,0.4829
ingv,ECPN,vec,sim3,template4,0.2407,0.2603
ingv,ECPN,vec,sim4,template1,0.4996,0.5517
ingv,ECPN,vec,sim4,template2,0.4894,0.529
ingv,ECPN,vec,sim4,template3,0.465,0.4814
ingv,ECPN,vec,sim4,template4,0.2595,0.2766
ingv,EEC1,vec,sim1,template1,0.3782,0.4076
ingv,EEC1,vec,sim1,template2,0.3727,0.4083
ingv,EEC1,vec,sim1,template3,0.3949,0.427
ingv,EEC1,vec,sim1,template4,0.2225,0.2444
ingv,EEC1,vec,sim2,template1,0.3803,0.408
ingv,EEC1,vec,sim2,template2,0.392,0.4164
ingv,EEC1,vec,sim2,template3,0.374,0.4029
ingv,EEC1,vec,sim2,template4,0.2155,0.2339
ingv,EEC1,vec,sim3,template1,0.3775,0.402
ingv,EEC1,vec,sim3,template2,0.3536,0.3697
ingv,EEC1,vec,sim3,template3,0.3501,0.3786
ingv,EEC1,vec,sim3,template4,0.2111,0.2354
ingv,EEC1,vec,sim4,template1,0.3726,0.403
ingv,EEC1,vec,sim4,template2,0.3479,0.3722
ingv,EEC1,vec,sim4,template3,0.346,0.3716
ingv,EEC1,vec,sim4,template4,0.1936,0.2117
experiment,EC1,vec,sim1,template1,0.3863,0.4175
experiment,EC1,vec,sim1,template2,0.3717,0.3953
experiment,EC1,vec,sim1,template3,0.4127,0.4346
experiment,EC1,vec,sim1,template4,0.2326,0.2582
experiment,EC1,vec,sim2,template1,0.4144,0.4524
experiment,EC1,vec,sim2,template2,0.3975,0.4193
experiment,EC1,vec,sim2,template3,0.4355,0.4541
experiment,EC1,vec,sim2,template4,0.2464,0.2674
experiment,EC1,vec,sim3,template1,0.412,0.4315
experiment,EC1,vec,sim3,template2,0.438,0.4568
experiment,EC1,vec,sim3,template3,0.4633,0.4977
experiment,EC1,vec,sim3,template4,0.2591,0.2764
experiment,EC1,vec,sim4,template1,0.4341,0.4574
experiment,EC1,vec,sim4,template2,0.4517,0.4894
experiment,EC1,vec,sim4,template3,0.4545,0.4729
experiment,EC1,vec,sim4,template4,0.2545,0.2792
experiment,EC10,vec,sim1,template1,0.3845,0.4157
experiment,EC10,vec,sim1,template2,0.3533,0.3806
experiment,EC10,vec,sim1,template3,0.3856,0.3964
experiment,EC10,vec,sim1,template4,0.2086,0.2214
experiment,EC10,vec,sim2,template1,0.4114,0.4257
experiment,EC10,vec,sim2,template2,0.3808,0.4037
experiment,EC10,vec,sim2,template3,0.417,0.4394
experiment,EC10,vec,sim2,template4,0.2224,0.2377
experiment,EC10,vec,sim3,template1,0.4111,0.4282
experiment,EC10,vec,sim3,template2,0.3897,0.4174
experiment,EC10,vec,sim3,template3,0.3807,0.4131
experiment,EC10,vec,sim3,template4,0.2045,0.2182
experiment,EC10,vec,sim4,template1,0.4217,0.4428
experiment,EC10,vec,sim4,template2,0.4186,0.4591
experiment,EC10,vec,sim4,template3,0.373,0.3984
experiment,EC10,vec,sim4,template4,0.203,0.2226
experiment,ECIT,vec,sim1,template1,0.3897,0.4191
experiment,ECIT,vec,sim1,template2,0.4005,0.4254
experiment,ECIT,vec,sim1,template3,0.414,0.4352
experiment,ECIT,vec,sim1,template4,0.2189,0.2355
experiment,ECIT,vec,sim2,template1,0.395,0.4257
experiment,ECIT,vec,sim2,template2,0.4098,0.4446
experiment,ECIT,vec,sim2,template3,0.4,0.4291
experiment,ECIT,vec,sim2,template4,0.2157,0.2335
experiment,ECIT,vec,sim3,template1,0.4198,0.451
experiment,ECIT,vec,sim3,template2,0.4296,0.4577
experiment,ECIT,vec,sim3,template3,0.4287,0.4482
experiment,ECIT,vec,sim3,template4,0.2429,0.2637
experiment,ECIT,vec,sim4,template1,0.42,0.4379
experiment,ECIT,vec,sim4,template2,0.4166,0.4337
