track,dataset,n_stations,snr,p_network,p_single
vector,ingv,2,0.25,0.13333333333333333,0.08333333333333333
vector,ingv,2,0.5,0.95,0.48333333333333334
vector,ingv,2,0.75,1.0,1.0
vector,ingv,2,1.0,1.0,1.0
vector,ingv,2,1.5,1.0,1.0
vector,ingv,2,2.0,1.0,1.0
vector,ingv,2,3.0,1.0,1.0
vector,experiment,5,0.25,0.5666666666666667,0.03333333333333333
vector,experiment,5,0.5,1.0,0.5
vector,experiment,5,0.75,1.0,1.0
vector,experiment,5,1.0,1.0,1.0
vector,experiment,5,1.5,1.0,1.0
vector,experiment,5,2.0,1.0,1.0
vector,experiment,5,3.0,1.0,1.0
