dataset,station,component,method,peak_time,score,floor_signif,margin
ingv,ECPN,vec,max,2022-12-27 11:51,0.631,0.521,0.11
experiment,EC1,vec,max,2023-07-27 10:44,0.628,0.461,0.166
experiment,EC1,vec,max,2023-07-27 12:08,0.611,0.461,0.15
ingv,ECPN,vec,max,2023-01-20 06:44,0.61,0.521,0.089
experiment,EC1,vec,max,2023-07-27 13:22,0.599,0.461,0.138
ingv,ECPN,vec,max,2022-11-26 19:45,0.598,0.521,0.077
experiment,EMAS,vec,max,2023-07-30 07:59,0.586,0.517,0.069
ingv,ECPN,vec,max,2022-12-31 11:08,0.586,0.521,0.065
ingv,ECPN,vec,max,2023-01-30 23:19,0.585,0.521,0.064
experiment,ECIT,vec,max,2023-07-25 03:08,0.585,0.494,0.091
ingv,ECPN,vec,max,2023-01-10 13:16,0.584,0.521,0.063
ingv,ECPN,vec,max,2023-01-04 02:21,0.583,0.521,0.062
ingv,ECPN,vec,max,2023-02-04 07:14,0.576,0.521,0.055
experiment,ECOR,vec,max,2023-07-28 03:22,0.575,0.504,0.071
ingv,ECPN,vec,max,2022-12-01 02:44,0.571,0.521,0.05
ingv,ECPN,vec,max,2023-01-10 16:46,0.571,0.521,0.05
ingv,ECPN,vec,max,2023-01-21 12:26,0.569,0.521,0.048
ingv,ECPN,vec,max,2022-11-15 18:34,0.564,0.521,0.042
ingv,ECPN,vec,max,2023-01-04 11:57,0.561,0.521,0.04
ingv,ECPN,vec,max,2022-12-18 11:03,0.56,0.521,0.039
