dataset,station,sim,template,floor_signif,obs_detect,exp_detect,enrich_detect,p_detect,obs_signif,exp_signif,enrich_signif,p_signif
experiment,EC1,sim1,template1,0.4958,3,2.0,1.52,0.0,1,0.0,,0.0
experiment,EC1,sim1,template2,0.5194,4,4.0,1.01,0.959,1,2.0,0.51,1.0
experiment,EC1,sim1,template3,0.5278,12,12.0,1.0,0.9507,6,6.0,1.0,0.9848
experiment,EC1,sim1,template4,0.3177,2,1.9,1.03,0.9405,1,0.0,,0.0
experiment,EC1,sim2,template1,0.5157,12,11.9,1.01,0.9345,9,8.0,1.13,0.0
experiment,EC1,sim2,template2,0.5196,7,7.9,0.89,0.964,0,0.0,,1.0
experiment,EC1,sim2,template3,0.5718,1,2.0,0.5,1.0,0,0.0,,1.0
experiment,EC1,sim2,template4,0.3396,6,9.7,0.62,1.0,1,1.9,0.51,0.999
experiment,EC1,sim3,template1,0.5316,6,4.0,1.51,0.0,3,2.0,1.51,0.0
experiment,EC1,sim3,template2,0.5316,3,2.0,1.51,0.0,3,2.0,1.52,0.0
experiment,EC1,sim3,template3,0.5648,1,2.0,0.51,0.9998,0,0.0,,1.0
experiment,EC1,sim3,template4,0.3271,7,7.9,0.88,0.9995,2,2.0,1.0,1.0
experiment,EC1,sim4,template1,0.5716,8,7.9,1.01,0.9273,5,5.9,0.84,0.9992
experiment,EC1,sim4,template2,0.5405,3,2.0,1.51,0.0,0,0.0,,1.0
experiment,EC1,sim4,template3,0.6048,1,0.0,,0.0,0,0.0,,1.0
experiment,EC1,sim4,template4,0.3105,11,6.0,1.85,0.0,7,6.0,1.18,0.0
experiment,EC10,sim1,template1,0.5232,0,0.0,,1.0,0,0.0,,1.0
experiment,EC10,sim1,template2,0.5045,6,5.0,1.21,0.0,1,1.0,1.02,0.9812
experiment,EC10,sim1,template3,0.5303,11,8.0,1.38,0.0,6,4.0,1.51,0.0
experiment,EC10,sim1,template4,0.3099,1,1.0,1.01,0.9905,0,0.0,,1.0
experiment,EC10,sim2,template1,0.5548,7,5.0,1.41,0.0,6,4.0,1.51,0.0
experiment,EC10,sim2,template2,0.5174,2,1.0,2.0,0.0,2,1.0,2.0,0.0
experiment,EC10,sim2,template3,0.5541,1,0.0,,0.0,1,0.0,,0.0
experiment,EC10,sim2,template4,0.315,1,1.0,1.02,0.976,1,1.0,1.02,0.977
experiment,EC10,sim3,template1,0.57,3,2.0,1.51,0.0,0,0.0,,1.0
experiment,EC10,sim3,template2,0.5348,0,0.0,,1.0,0,0.0,,1.0
experiment,EC10,sim3,template3,0.4988,3,4.0,0.75,1.0,0,0.0,,1.0
experiment,EC10,sim3,template4,0.2913,3,0.0,,0.0,3,0.0,,0.0
experiment,EC10,sim4,template1,0.5821,2,1.0,2.0,0.0,2,1.0,2.0,0.0
experiment,EC10,sim4,template2,0.5827,0,0.0,,1.0,0,0.0,,1.0
experiment,EC10,sim4,template3,0.5112,3,2.0,1.51,0.0,1,0.0,,0.0
experiment,EC10,sim4,template4,0.2893,3,0.0,,0.0,3,0.0,,0.0
experiment,ECIT,sim1,template1,0.5216,5,0.0,,0.0,2,0.0,,0.0
experiment,ECIT,sim1,template2,0.4997,10,6.0,1.67,0.0,2,0.0,,0.0
experiment,ECIT,sim1,template3,0.545,6,2.0,3.01,0.0,1,0.0,,0.0
experiment,ECIT,sim1,template4,0.2783,21,11.8,1.78,0.0,11,5.9,1.87,0.0
experiment,ECIT,sim2,template1,0.5555,1,2.0,0.51,0.9995,1,2.0,0.51,0.9995
experiment,ECIT,sim2,template2,0.4728,10,8.0,1.25,0.0,5,8.0,0.63,1.0
experiment,ECIT,sim2,template3,0.4497,15,13.9,1.08,0.0,9,9.9,0.91,0.9985
experiment,ECIT,sim2,template4,0.2322,35,43.1,0.81,0.9985,26,33.4,0.78,0.9995
experiment,ECIT,sim3,template1,0.5468,7,7.9,0.88,0.9985,2,2.0,1.02,0.9613
experiment,ECIT,sim3,template2,0.5673,3,2.0,1.5,0.0,0,0.0,,1.0
experiment,ECIT,sim3,template3,0.5964,0,0.0,,1.0,0,0.0,,1.0
