time_seconds,x
0.0,-7.673822927841342e-07
1.0,-7.483821075858329e-07
2.0,-7.291545406780394e-07
3.0,-7.097055283557233e-07
4.0,-6.900412427022374e-07
5.0,-6.701681314378571e-07
6.0,-6.500929562301026e-07
7.0,-6.298228289652539e-07
8.0,-6.093652454969042e-07
9.0,-5.887281164087362e-07
10.0,-5.679197943549192e-07
11.0,-5.469490975725672e-07
12.0,-5.25825329196497e-07
13.0,-5.04558292047021e-07
14.0,-4.831582986065944e-07
15.0,-4.616361759507143e-07
16.0,-4.40003265452425e-07
17.0,-4.1827141713796955e-07
18.0,-3.9645297863342356e-07
19.0,-3.7456077870801007e-07
20.0,-3.526081054869913e-07
21.0,-3.30608679470811e-07
22.0,-3.0857662155422583e-07
23.0,-2.865264162921652e-07
24.0,-2.644728707130745e-07
25.0,-2.424310690371704e-07
26.0,-2.2041632371581776e-07
27.0,-1.9844412326711528e-07
28.0,-1.7653007743354118e-07
29.0,-1.5468986021899585e-07
30.0,-1.3293915137011334e-07
31.0,-1.1129357685306307e-07
32.0,-8.976864884596215e-08
33.0,-6.837970572097064e-08
34.0,-4.714185243345305e-08
35.0,-2.6069901675961124e-08
36.0,-5.178316101685435e-09
37.0,1.551884811646425e-08
38.0,3.6007996145711424e-08
39.0,5.627604753419544e-08
40.0,7.631048719789659e-08
41.0,9.60994141235836e-08
42.0,1.1563158756274362e-07
43.0,1.3489647049294562e-07
44.0,1.5388427011927148e-07
45.0,1.7258597518196946e-07
46.0,1.909933898320376e-07
47.0,2.0909916383685592e-07
48.0,2.268968188841187e-07
49.0,2.443807707653336e-07
50.0,2.6154634724144403e-07
51.0,2.783898014225008e-07
52.0,2.949083205280531e-07
53.0,3.1110002993100597e-07
54.0,3.269639924229961e-07
55.0,3.4250020267489404e-07
56.0,3.5770957690377186e-07
57.0,3.725939377987171e-07
58.0,3.871559948035466e-07
59.0,4.013993199058049e-07
60.0,4.153283191355387e-07
61.0,4.2894820002667187e-07
62.0,4.4226493533156575e-07
63.0,4.552852233047064e-07
64.0,4.6801644488808297e-07
65.0,4.804666181418646e-07
66.0,4.926443502698347e-07
67.0,5.045587875877775e-07
68.0,5.162195637728176e-07
69.0,5.27636746713015e-07
70.0,5.388207842516982e-07
71.0,5.497824490938009e-07
72.0,5.605327831168811e-07
73.0,5.710830413106505e-07
74.0,5.814446355534924e-07
75.0,5.916290784185631e-07
76.0,6.016479271849822e-07
77.0,6.115127282125514e-07
78.0,6.212349618217695e-07
79.0,6.308259878057824e-07
80.0,6.402969916904829e-07
