time_seconds,x
0.0,-1.2284935507527927e-07
1.0,-1.2536117830004272e-07
2.0,-1.27892281931121e-07
3.0,-1.304238962071026e-07
4.0,-1.3293718123392828e-07
5.0,-1.354133311231479e-07
6.0,-1.378336771295112e-07
7.0,-1.4017978899720236e-07
8.0,-1.424335737584965e-07
9.0,-1.445773712778155e-07
10.0,-1.4659404588781957e-07
11.0,-1.4846707351479995e-07
12.0,-1.5018062374544624e-07
13.0,-1.5171963635603642e-07
14.0,-1.5306989190526298e-07
15.0,-1.5421807607256404e-07
16.0,-1.5515183750091422e-07
17.0,-1.5585983897865095e-07
18.0,-1.5633180186730567e-07
19.0,-1.565585437449708e-07
20.0,-1.565320092840593e-07
21.0,-1.5624529442487036e-07
22.0,-1.556926639552141e-07
23.0,-1.5486956266654665e-07
24.0,-1.5377262031739262e-07
25.0,-1.5239965067967376e-07
26.0,-1.507496449672091e-07
27.0,-1.4882275995055248e-07
28.0,-1.46620301051838e-07
29.0,-1.4414470069209267e-07
30.0,-1.4139949214051434e-07
31.0,-1.383892791005382e-07
32.0,-1.3511970126494146e-07
33.0,-1.3159739607691135e-07
34.0,-1.2782995693776066e-07
35.0,-1.2382588809999195e-07
36.0,-1.1959455647746624e-07
37.0,-1.1514614059718058e-07
38.0,-1.1049157691378806e-07
39.0,-1.0564250370908629e-07
40.0,-1.0061120280325681e-07
41.0,-9.541053931213277e-08
42.0,-9.005389969214037e-08
43.0,-8.455512831539082e-08
44.0,-7.892846281002851e-08
45.0,-7.31884683955661e-08
46.0,-6.734997145346375e-08
47.0,-6.142799260120728e-08
48.0,-5.543767957170548e-08
49.0,-4.939424022775446e-08
50.0,-4.331287606062567e-08
51.0,-3.720871653305467e-08
52.0,-3.1096754629536735e-08
53.0,-2.4991783969662404e-08
54.0,-1.890833782338477e-08
55.0,-1.286063034374162e-08
56.0,-6.86250030789506e-09
57.0,-9.27357635052434e-10
58.0,4.9318670707167175e-09
59.0,1.0702769727136859e-08
60.0,1.637351653172189e-08
61.0,2.1932884106149128e-08
62.0,2.7370295897510735e-08
63.0,3.2675854739069566e-08
64.0,3.7840371499859496e-08
65.0,4.2855389776996535e-08
66.0,4.77132066078498e-08
67.0,5.2406889194869057e-08
68.0,5.693028763851786e-08
69.0,6.127804366899144e-08
70.0,6.54455953677407e-08
71.0,6.94291778825856e-08
72.0,7.322582016181187e-08
73.0,7.683333775400749e-08
74.0,8.025032173680668e-08
75.0,8.34761238527557e-08
76.0,8.651083795050902e-08
77.0,8.935527785633874e-08
78.0,9.2010951830896e-08
79.0,9.448003379450449e-08
80.0,9.676533152873627e-08
81.0,9.88702520825451e-08
82.0,1.0079876462743928e-07
83.0,1.0255536101704938e-07
84.0,1.0414501431227832e-07
85.0,1.0557313553680349e-07
86.0,1.0684552893337426e-07
87.0,1.079683460020879e-07
88.0,1.0894803861642546e-07
89.0,1.0979131152707623e-07
90.0,1.1050507457448124e-07
91.0,1.1109639493797169e-07
92.0,1.1157244975191958e-07
93.0,1.1194047941620576e-07
94.0,1.1220774191812718e-07
95.0,1.1238146846362302e-07
96.0,1.124688206854422e-07
97.0,1.1247684965562281e-07
98.0,1.1241245688476715e-07
99.0,1.1228235744826935e-07
100.0,1.1209304534458023e-07
101.0,1.1185076116245993e-07
102.0,1.1156146211070403e-07
103.0,1.1123079444585271e-07
104.0,1.1086406832327995e-07
105.0,1.1046623509336682e-07
106.0,1.1004186706269217e-07
107.0,1.0959513973821366e-07
108.0,1.0912981657164035e-07
109.0,1.0864923622318272e-07
110.0,1.0815630236859535e-07
111.0,1.0765347607966048e-07
112.0,1.071427708140033e-07
113.0,1.0662575005313232e-07
114.0,1.0610352762499791e-07
115.0,1.0557677073536045e-07
116.0,1.0504570570987196e-07
117.0,1.0451012642200682e-07
118.0,1.0396940535868455e-07
119.0,1.0342250725563442e-07
120.0,1.0286800521212448e-07
121.0,1.0230409916726402e-07
122.0,1.0172863659059153e-07
123.0,1.0113913521120359e-07
124.0,1.0053280758465464e-07
125.0,9.990658727624817e-08
126.0,9.925715642056874e-08
127.0,9.858097439811394e-08
128.0,9.787430735469262e-08
129.0,9.71332582839372e-08
130.0,9.635379739888528e-08
131.0,9.553179253243815e-08
132.0,9.466303932724869e-08
133.0,9.37432910027176e-08
134.0,9.276828751666006e-08
135.0,9.173378396574104e-08
136.0,9.063557808890141e-08
137.0,8.946953675383192e-08
138.0,8.823162132185064e-08
139.0,8.691791180387121e-08
140.0,8.55246297402493e-08
141.0,8.404815975820992e-08
142.0,8.248506977900396e-08
143.0,8.083212986165195e-08
144.0,7.908632968232777e-08
145.0,7.724489465964893e-08
146.0,7.53053007473246e-08
147.0,7.32652879273467e-08
148.0,7.112287244840306e-08
149.0,6.887635786229352e-08
150.0,6.652434491216664e-08
151.0,6.406574032000551e-08
152.0,6.149976451061402e-08
153.0,5.882595829883589e-08
154.0,5.6044188556427175e-08
155.0,5.315465286569742e-08
156.0,5.0157883161660854e-08
157.0,4.705474836418622e-08
158.0,4.3846456003861326e-08
159.0,4.053455284709988e-08
160.0,3.7120924526950374e-08
161.0,3.360779418680049e-08
162.0,2.9997720145970576e-08
163.0,2.6293592601824876e-08
164.0,2.2498629394301764e-08
165.0,1.8616370871983704e-08
166.0,1.465067390609121e-08
167.0,1.0605705095765688e-08
168.0,6.485933198753493e-09
169.0,2.296120813933237e-09
170.0,-1.958684660116443e-09
171.0,-6.273160764512222e-09
172.0,-1.0641720387839473e-08
173.0,-1.5058522808154667e-08
174.0,-1.9517485330952304e-08
175.0,-2.4012295484770642e-08
176.0,-2.8536423742483066e-08
177.0,-3.308313674560216e-08
178.0,-3.764551101391602e-08
179.0,-4.221644712042459e-08
180.0,-4.678868430515076e-08
181.0,-5.1354815495018247e-08
182.0,-5.590730269209501e-08
183.0,-6.043849269016856e-08
184.0,-6.494063308045561e-08
185.0,-6.940588850835215e-08
186.0,-7.382635713975599e-08
187.0,-7.819408728766405e-08
188.0,-8.250109414420168e-08
189.0,-8.67393765659185e-08
190.0,-9.090093386876228e-08
191.0,-9.497778259678345e-08
192.0,-9.896197323278324e-08
193.0,-1.02845606821942e-07
194.0,-1.0662085148272229e-07
195.0,-1.1027995878406579e-07
196.0,-1.138152799760323e-07
197.0,-1.1721928207319053e-07
198.0,-1.2048456380350132e-07
199.0,-1.2360387144586537e-07
200.0,-1.2657011458388918e-07
201.0,-1.2937638180109937e-07
202.0,-1.320159563354541e-07
203.0,-1.344823317012403e-07
204.0,-1.3676922727665377e-07
205.0,-1.388706038473854e-07
206.0,-1.407806790915879e-07
207.0,-1.424939429892109e-07
208.0,-1.4400517313666894e-07
209.0,-1.4530944994419963e-07
210.0,-1.464021716877442e-07
211.0,-1.4727906937946757e-07
212.0,-1.479362214099207e-07
213.0,-1.4837006790077407e-07
214.0,-1.4857742469349202e-07
215.0,-1.4855549688961416e-07
216.0,-1.4830189185298812e-07
217.0,-1.478146315820318e-07
218.0,-1.470921643599649e-07
219.0,-1.461333755940254e-07
220.0,-1.4493759776281648e-07
221.0,-1.4350461940281015e-07
222.0,-1.4183469307527682e-07
223.0,-1.3992854225834186e-07
224.0,-1.3778736710526036e-07
225.0,-1.3541284900443962e-07
226.0,-1.3280715387536681e-07
227.0,-1.2997293413941823e-07
228.0,-1.2691332931248996e-07
229.0,-1.2363196517383256e-07
230.0,-1.2013295147184623e-07
231.0,-1.1642087813319514e-07
232.0,-1.125008099443062e-07
233.0,-1.0837827967189487e-07
234.0,-1.0405927958331574e-07
235.0,-9.955025132338052e-08
236.0,-9.485807410672343e-08
237.0,-8.999005119612156e-08
238.0,-8.495389465659994e-08
239.0,-7.97577083986245e-08
240.0,-7.44099695453724e-08
241.0,-6.891950817564058e-08
242.0,-6.32954855072033e-08
243.0,-5.754737059911369e-08
244.0,-5.1684915666935146e-08
245.0,-4.5718130121071066e-08
246.0,-3.9657253453371394e-08
247.0,-3.3512727108869535e-08
248.0,-2.7295165486582507e-08
249.0,-2.1015326217212975e-08
250.0,-1.4684079869012244e-08
251.0,-8.31237923659139e-09
252.0,-1.9112283687269974e-09
253.0,4.508348512570932e-09
254.0,1.0935338057994083e-08
255.0,1.735876866794689e-08
256.0,2.3767741075204315e-08
257.0,3.015145851607122e-08
258.0,3.649925638358333e-08
259.0,4.280063127016933e-08
260.0,4.904526932278899e-08
261.0,5.5223073848913656e-08
262.0,6.132419212598335e-08
263.0,6.73390413801864e-08
264.0,7.325833391221394e-08
265.0,7.907310135725817e-08
266.0,8.477471807300729e-08
267.0,9.035492365093969e-08
268.0,9.580584454098044e-08
269.0,1.0112001476824295e-07
270.0,1.0629039570622855e-07
271.0,1.1131039485585719e-07
272.0,1.1617388356463258e-07
273.0,1.2087521360532903e-07
274.0,1.254092325195558e-07
275.0,1.2977129761971622e-07
276.0,1.3395728853455492e-07
277.0,1.3796361817882204e-07
278.0,1.4178724202551573e-07
279.0,1.4542566555945406e-07
280.0,1.4887694979569763e-07
281.0,1.5213971475793705e-07
282.0,1.5521314082937637e-07
283.0,1.5809696790853702e-07
284.0,1.6079149232326643e-07
285.0,1.6329756147864538e-07
286.0,1.6561656623787103e-07
287.0,1.6775043105809228e-07
288.0,1.6970160192634242e-07
289.0,1.714730321662171e-07
290.0,1.7306816621295728e-07
291.0,1.7449092147896638e-07
292.0,1.7574566845027573e-07
293.0,1.768372091674344e-07
294.0,1.7777075425328984e-07
295.0,1.7855189865460376e-07
296.0,1.7918659626299237e-07
297.0,1.7968113357419147e-07
298.0,1.800421025354181e-07
299.0,1.8027637271854048e-07
300.0,1.8039106293963477e-07
301.0,1.803935124235285e-07
302.0,1.8029125159004492e-07
303.0,1.8009197252273987e-07
304.0,1.7980349917258727e-07
305.0,1.794337573449599e-07
306.0,1.7899074451374728e-07
307.0,1.7848249949947665e-07
308.0,1.7791707204058337e-07
309.0,1.773024922832012e-07
310.0,1.766467402202778e-07
311.0,1.759577151283183e-07
312.0,1.7524320507821646e-07
313.0,1.745108566303031e-07
314.0,1.7376814485612653e-07
315.0,1.7302234385480887e-07
316.0,1.7228049794758312e-07
317.0,1.7154939374096732e-07
318.0,1.7083553324896734e-07
319.0,1.7014510825980175e-07
320.0,1.6948397612415383e-07
321.0,1.6885763712878654e-07
322.0,1.6827121359940794e-07
323.0,1.6772943085103793e-07
324.0,1.6723660007712535e-07
325.0,1.6679660324327548e-07
326.0,1.6641288002763743e-07
327.0,1.6608841682699212e-07
328.0,1.658257378252452e-07
329.0,1.656268980996071e-07
330.0,1.6549347871972498e-07
331.0,1.6542658377731519e-07
332.0,1.6542683926996172e-07
333.0,1.6549439375433306e-07
334.0,1.6562892068179551e-07
335.0,1.6582962233243216e-07
336.0,1.6609523527016572e-07
337.0,1.6642403725075448e-07
338.0,1.6681385552516885e-07
339.0,1.6726207649249602e-07
340.0,1.6776565666870323e-07
341.0,1.683211349510182e-07
342.0,1.6892464617243616e-07
343.0,1.6957193595448258e-07
344.0,1.7025837687518425e-07
345.0,1.7097898597060117e-07
346.0,1.717284435816671e-07
347.0,1.72501113545235e-07
348.0,1.7329106471194721e-07
349.0,1.7409209375517785e-07
350.0,1.74897749214284e-07
351.0,1.7570135669151043e-07
352.0,1.7649604509680882e-07
353.0,1.772747738113796e-07
354.0,1.780303606207951e-07
355.0,1.7875551025241572e-07
356.0,1.7944284333986568e-07
357.0,1.8008492563108987e-07
358.0,1.8067429725706424e-07
359.0,1.8120350188475096e-07
360.0,1.8166511558835933e-07
361.0,1.8205177528595435e-07
362.0,1.823562066035221e-07
363.0,1.825712510456544e-07
364.0,1.826898923708751e-07
365.0,1.8270528208992645e-07
366.0,1.8261076402601075e-07
367.0,1.8239989789544693e-07
368.0,1.8206648188403064e-07
369.0,1.8160457420720465e-07
370.0,1.8100851364969744e-07
371.0,1.8027293908283983e-07
372.0,1.793928079572907e-07
373.0,1.7836341376685197e-07
374.0,1.7718040247524928e-07
375.0,1.7583978789156124e-07
376.0,1.7433796597121779e-07
377.0,1.7267172800853028e-07
378.0,1.7083827267496325e-07
379.0,1.688352168469153e-07
380.0,1.6666060515870884e-07
381.0,1.6431291821003502e-07
382.0,1.617910793508846e-07
383.0,1.5909445996070792e-07
384.0,1.562228831341135e-07
385.0,1.531766256866349e-07
386.0,1.4995641840376407e-07
387.0,1.465634444736902e-07
388.0,1.4299933606562557e-07
389.0,1.3926616903858868e-07
390.0,1.3536645578896972e-07
391.0,1.3130313626891222e-07
392.0,1.2707956723221457e-07
393.0,1.2269950979057796e-07
394.0,1.1816711538857006e-07
395.0,1.1348691032703632e-07
396.0,1.0866377898015357e-07
397.0,1.037029458616175e-07
398.0,9.860995670133511e-08
399.0,9.339065869514219e-08
400.0,8.805118008597157e-08
401.0,8.259790922533424e-08
402.0,7.703747324986703e-08
403.0,7.137671649239266e-08
404.0,6.562267873412941e-08
405.0,5.978257339473797e-08
406.0,5.386376574750571e-08
407.0,4.787375123650501e-08
408.0,4.182013396081391e-08
409.0,3.5710605378437424e-08
410.0,2.9552923271135205e-08
411.0,2.3354891003307202e-08
412.0,1.712433710415814e-08
413.0,1.086909520056462e-08
414.0,4.5969843261525704e-09
415.0,-1.684210369276955e-09
416.0,-7.966756483806316e-09
417.0,-1.4242992768121599e-08
418.0,-2.050534702913395e-08
419.0,-2.674635348341375e-08
420.0,-3.295866950735917e-08
421.0,-3.91350917286877e-08
422.0,-4.526857140072271e-08
423.0,-5.135222899704328e-08
424.0,-5.737936796136356e-08
425.0,-6.334348754738298e-08
426.0,-6.92382946860558e-08
427.0,-7.505771482378948e-08
428.0,-8.079590168494852e-08
429.0,-8.644724592481391e-08
430.0,-9.200638265320044e-08
431.0,-9.746819782291617e-08
432.0,-1.0282783348974177e-07
433.0,-1.080806919606648e-07
434.0,-1.1322243885584797e-07
435.0,-1.1824900511981067e-07
436.0,-1.2315658802964029e-07
437.0,-1.279416512605707e-07
438.0,-1.3260092407856855e-07
439.0,-1.3713139973441934e-07
440.0,-1.4153033313537713e-07
441.0,-1.4579523786923877e-07
442.0,-1.499238826505794e-07
443.0,-1.5391428724959943e-07
444.0,-1.5776471795278423e-07
445.0,-1.6147368259417748e-07
446.0,-1.6503992518755802e-07
447.0,-1.6846242018203715e-07
448.0,-1.717403663549008e-07
449.0,-1.7487318034615634e-07
450.0,-1.7786048983119894e-07
451.0,-1.8070212632201205e-07
452.0,-1.8339811758218077e-07
453.0,-1.859486796371042e-07
454.0,-1.8835420836166354e-07
455.0,-1.906152706365427e-07
456.0,-1.9273259508089604e-07
457.0,-1.9470706238906485e-07
458.0,-1.965396953176778e-07
459.0,-1.9823164838334198e-07
460.0,-1.997841973390816e-07
461.0,-2.0119872850046848e-07
462.0,-2.0247672799192784e-07
463.0,-2.0361977098211591e-07
464.0,-2.0462951097604064e-07
465.0,-2.0550766923084817e-07
466.0,-2.0625602436081613e-07
467.0,-2.0687640219397312e-07
468.0,-2.0737066593730452e-07
469.0,-2.0774070669847626e-07
470.0,-2.0798843439772978e-07
471.0,-2.0811576908442006e-07
472.0,-2.0812463265216646e-07
473.0,-2.0801694092925668e-07
474.0,-2.07794596109232e-07
475.0,-2.074594794805907e-07
476.0,-2.0701344441374798e-07
477.0,-2.0645830956729816e-07
478.0,-2.0579585228349792e-07
479.0,-2.050278021541976e-07
480.0,-2.041558347529539e-07
481.0,-2.0318156554532353e-07
482.0,-2.0210654400428219e-07
483.0,-2.0093224796908514e-07
484.0,-1.996600782943675e-07
485.0,-1.9829135384432755e-07
486.0,-1.968273068959371e-07
487.0,-1.9526907902464286e-07
488.0,-1.9361771755480826e-07
489.0,-1.9187417266521765e-07
490.0,-1.90039295247234e-07
491.0,-1.8811383561750449e-07
492.0,-1.8609844318554884e-07
493.0,-1.839936671683577e-07
494.0,-1.8179995843111982e-07
495.0,-1.795176725178875e-07
496.0,-1.771470739191078e-07
497.0,-1.7468834160273274e-07
498.0,-1.7214157581023646e-07
499.0,-1.6950680608965965e-07
500.0,-1.6678400050890348e-07
501.0,-1.6397307596717037e-07
502.0,-1.610739095013384e-07
503.0,-1.580863504664682e-07
504.0,-1.5501023345509022e-07
505.0,-1.5184539180815425e-07
506.0,-1.4859167156097566e-07
507.0,-1.4524894565984506e-07
508.0,-1.4181712828017118e-07
509.0,-1.3829618907681414e-07
510.0,-1.3468616720199392e-07
511.0,-1.3098718493413055e-07
512.0,-1.2719946077018427e-07
513.0,-1.2332332184421116e-07
514.0,-1.1935921554736517e-07
515.0,-1.1530772024129975e-07
516.0,-1.1116955497884326e-07
517.0,-1.0694558817163692e-07
518.0,-1.0263684517017046e-07
519.0,-9.824451474342564e-08
520.0,-9.376995446235969e-08
521.0,-8.921469500556307e-08
522.0,-8.458044341828837e-08
523.0,-7.986908536786676e-08
524.0,-7.508268644869486e-08
525.0,-7.022349259776305e-08
526.0,-6.52939296862283e-08
527.0,-6.029660235343804e-08
528.0,-5.5234292148016384e-08
529.0,-5.0109955037344596e-08
530.0,-4.492671834195813e-08
531.0,-3.9687877144123736e-08
532.0,-3.439689020974779e-08
533.0,-2.9057375450097787e-08
534.0,-2.367310493524424e-08
535.0,-1.8247999455913745e-08
536.0,-1.2786122616523077e-08
537.0,-7.2916744317435114e-09
538.0,-1.7689843941529109e-09
539.0,3.7774960173323064e-09
540.0,9.343201410106408e-09
541.0,1.492346114169443e-08
542.0,2.0513508573773524e-08
543.0,2.610849090712645e-08
544.0,3.170347958119523e-08
545.0,3.7293481213313204e-08
546.0,4.287344904172957e-08
547.0,4.8438294824422535e-08
548.0,5.3982901133659694e-08
549.0,5.95021339743879e-08
550.0,6.499085564280457e-08
551.0,7.04439377311819e-08
552.0,7.585627417809171e-08
553.0,8.122279426035033e-08
554.0,8.653847542346422e-08
555.0,9.179835584970166e-08
