time_seconds,x
0.0,-1.9426292254699416e-07
1.0,-2.1398666708451314e-07
2.0,-2.3345467728611316e-07
3.0,-2.526398832507255e-07
4.0,-2.7151592724676974e-07
5.0,-2.900572300627455e-07
6.0,-3.082390543074347e-07
7.0,-3.2603756444506206e-07
8.0,-3.4342988338975427e-07
9.0,-3.6039414551742285e-07
10.0,-3.76909545976241e-07
11.0,-3.9295638618513304e-07
12.0,-4.085161154084478e-07
13.0,-4.2357136829563156e-07
14.0,-4.381059982838371e-07
15.0,-4.52105106774711e-07
16.0,-4.65555068005907e-07
17.0,-4.784435495430742e-07
18.0,-4.907595283269071e-07
19.0,-5.024933022268981e-07
20.0,-5.136364970762908e-07
21.0,-5.241820691889421e-07
22.0,-5.341243033907904e-07
23.0,-5.434588066388451e-07
24.0,-5.521824973440926e-07
25.0,-5.602935905516218e-07
26.0,-5.677915791570289e-07
27.0,-5.746772113576515e-07
28.0,-5.809524645595085e-07
29.0,-5.86620515990535e-07
30.0,-5.916857103014963e-07
31.0,-5.96153524455233e-07
32.0,-6.00030530207256e-07
33.0,-6.033243544709777e-07
34.0,-6.060436378421179e-07
35.0,-6.081979915277169e-07
36.0,-6.097979528919199e-07
37.0,-6.108549398074926e-07
38.0,-6.113812039936776e-07
39.0,-6.113897835176185e-07
40.0,-6.108944546292689e-07
41.0,-6.099096830917545e-07
42.0,-6.084505751695016e-07
43.0,-6.065328284481897e-07
44.0,-6.041726826752077e-07
45.0,-6.013868708112726e-07
46.0,-5.981925704632884e-07
47.0,-5.946073558286729e-07
48.0,-5.906491502342765e-07
49.0,-5.863361793125116e-07
50.0,-5.816869248336819e-07
51.0,-5.767200792072245e-07
52.0,-5.714545006659173e-07
53.0,-5.659091691463051e-07
54.0,-5.601031428736048e-07
55.0,-5.540555156529894e-07
56.0,-5.477853748649856e-07
57.0,-5.413117601635724e-07
58.0,-5.346536228797073e-07
59.0,-5.278297861331279e-07
60.0,-5.208589056485768e-07
61.0,-5.137594312685668e-07
62.0,-5.065495691639569e-07
63.0,-4.992472447631305e-07
64.0,-4.918700664402792e-07
65.0,-4.844352900210436e-07
66.0,-4.769597841847555e-07
67.0,-4.694599968663392e-07
68.0,-4.619519227798131e-07
69.0,-4.544510721946959e-07
70.0,-4.4697244109886087e-07
71.0,-4.3953048287930603e-07
72.0,-4.3213908164555685e-07
73.0,-4.248115273111136e-07
74.0,-4.175604925438493e-07
75.0,-4.103980116993676e-07
76.0,-4.0333546185222516e-07
77.0,-3.963835460260252e-07
78.0,-3.8955227869331743e-07
79.0,-3.828509735798696e-07
80.0,-3.7628823377842824e-07
81.0,-3.698719441639112e-07
82.0,-3.6360926610390246e-07
83.0,-3.575066344661323e-07
84.0,-3.5156975693296304e-07
85.0,-3.4580361564157137e-07
86.0,-3.402124711721617e-07
87.0,-3.347998688959276e-07
88.0,-3.2956864766842723e-07
89.0,-3.245209508215235e-07
90.0,-3.196582393791833e-07
91.0,-3.14981307404526e-07
92.0,-3.104902993734032e-07
93.0,-3.0618472945580294e-07
94.0,-3.020635025701674e-07
95.0,-2.981249370632628e-07
96.0,-2.9436678886165613e-07
97.0,-2.907862769389346e-07
98.0,-2.873801099478138e-07
99.0,-2.841445138794419e-07
100.0,-2.8107526062880384e-07
101.0,-2.781676973618716e-07
102.0,-2.7541677659717323e-07
103.0,-2.7281708692672143e-07
104.0,-2.703628843019526e-07
105.0,-2.6804812380441654e-07
106.0,-2.658664918220675e-07
107.0,-2.6381143856473275e-07
108.0,-2.61876210867773e-07
109.0,-2.6005388524152844e-07
110.0,-2.5833740112288983e-07
111.0,-2.56719594273815e-07
112.0,-2.551932302504417e-07
113.0,-2.537510378393907e-07
114.0,-2.523857423311061e-07
115.0,-2.5109009848021214e-07
116.0,-2.498569229934254e-07
117.0,-2.4867912638412524e-07
118.0,-2.475497440364599e-07
119.0,-2.464619663353666e-07
120.0,-2.454091677476759e-07
121.0,-2.4438493477819635e-07
122.0,-2.433830927603018e-07
123.0,-2.423977314642065e-07
124.0,-2.414232295156522e-07
125.0,-2.4045427761485896e-07
