time_seconds,x
0.0,2.6901258340952846e-07
1.0,2.573523218490308e-07
2.0,2.4490798255647e-07
3.0,2.316799748734512e-07
4.0,2.1767006219223715e-07
5.0,2.028813839359065e-07
6.0,1.8731847484027186e-07
7.0,1.7098728141386213e-07
8.0,1.5389517547084125e-07
9.0,1.3605096464255817e-07
10.0,1.1746489978560353e-07
11.0,9.814867922095991e-08
12.0,7.811544975885115e-08
13.0,5.73798044866585e-08
14.0,3.59577773186792e-08
15.0,1.3866834317282218e-08
16.0,-8.874138209251577e-09
17.0,-3.224484883972751e-08
18.0,-5.622361942165682e-08
19.0,-8.078740672076038e-08
20.0,-1.059118273521893e-07
21.0,-1.3157118599767677e-07
22.0,-1.5773850689410332e-07
23.0,-1.8438556854373762e-07
24.0,-2.114829415475572e-07
25.0,-2.390000294149593e-07
26.0,-2.6690511217025505e-07
27.0,-2.951653925610944e-07
28.0,-3.2374704466658014e-07
29.0,-3.5261526469175817e-07
30.0,-3.817343237158237e-07
31.0,-4.110676221383482e-07
32.0,-4.405777455526454e-07
33.0,-4.7022652177786935e-07
34.0,-4.999750787994207e-07
35.0,-5.297839033884181e-07
36.0,-5.596129001858431e-07
37.0,-5.894214510475169e-07
38.0,-6.191684744596076e-07
39.0,-6.488124848508412e-07
40.0,-6.783116516392615e-07
41.0,-7.076238578540104e-07
42.0,-7.36706758171083e-07
43.0,-7.655178362054358e-07
44.0,-7.940144609151067e-07
45.0,-8.221539419919087e-07
46.0,-8.498935841297195e-07
47.0,-8.771907400729465e-07
48.0,-9.040028623554184e-07
49.0,-9.302875536410028e-07
50.0,-9.560026155704745e-07
51.0,-9.811060960118361e-07
52.0,-1.00555633460964e-06
53.0,-1.029312006530371e-06
54.0,-1.0523321643028484e-06
55.0,-1.0745762776554808e-06
56.0,-1.0960042712532638e-06
57.0,-1.1165765602345391e-06
58.0,-1.1362540834486835e-06
59.0,-1.1549983343108135e-06
60.0,-1.1727713892153294e-06
61.0,-1.1895359334766157e-06
62.0,-1.2052552847906743e-06
63.0,-1.2198934142428083e-06
64.0,-1.2334149649249007e-06
65.0,-1.2457852682600365e-06
66.0,-1.2569703581491484e-06
67.0,-1.2669369830557935e-06
68.0,-1.2756526161474561e-06
69.0,-1.2830854636267291e-06
70.0,-1.289204471408123e-06
71.0,-1.2939793303119036e-06
72.0,-1.2973804799443124e-06
73.0,-1.2993791114127519e-06
74.0,-1.2999471689988774e-06
75.0,-1.2990573509047873e-06
76.0,-1.2966831092085285e-06
77.0,-1.2927986492009063e-06
78.0,-1.287378928300935e-06
79.0,-1.2803996547511034e-06
80.0,-1.2718372862846558e-06
81.0,-1.2616690289483938e-06
82.0,-1.2498728362611799e-06
83.0,-1.2364274088895475e-06
84.0,-1.2213121950255179e-06
85.0,-1.204507391654928e-06
86.0,-1.185993946903347e-06
87.0,-1.165753563639167e-06
88.0,-1.1437687045019176e-06
89.0,-1.1200225985123917e-06
90.0,-1.0944992494121279e-06
91.0,-1.0671834458722753e-06
92.0,-1.0380607737037395e-06
93.0,-1.0071176301918941e-06
94.0,-9.743412406725584e-07
95.0,-9.397196774625202e-07
96.0,-9.032418812550017e-07
97.0,-8.648976850848736e-07
98.0,-8.246778409593964e-07
99.0,-7.82574049239128e-07
100.0,-7.385789908414326e-07
101.0,-6.92686362325798e-07
102.0,-6.448909139051611e-07
103.0,-5.95188490409678e-07
104.0,-5.435760752095758e-07
105.0,-4.90051837084807e-07
106.0,-4.346151800133001e-07
107.0,-3.772667958359701e-07
108.0,-3.180087197442487e-07
109.0,-2.56844388524889e-07
110.0,-1.9377870148725494e-07
111.0,-1.2881808398929887e-07
112.0,-6.197055346951456e-08
113.0,6.754212116569505e-09
114.0,7.734480356659107e-08
115.0,1.4978800753325567e-07
116.0,2.2406873160194298e-07
117.0,3.001699275093647e-07
118.0,3.780725126879111e-07
119.0,4.5775529033573835e-07
120.0,5.391948682253442e-07
121.0,6.223655764754335e-07
122.0,7.072393845241869e-07
123.0,7.937858175582685e-07
124.0,8.81971872671794e-07
125.0,9.717619350520894e-07
126.0,1.0631176945126748e-06
127.0,1.1559980627171896e-06
128.0,1.2503590914601268e-06
129.0,1.3461538923906587e-06
130.0,1.4433325585841037e-06
131.0,1.5418420883814295e-06
132.0,1.6416263119305071e-06
133.0,1.7426258208734874e-06
134.0,1.8447779016319756e-06
135.0,1.9480164727449806e-06
136.0,2.0522720267148075e-06
137.0,2.157471576815245e-06
138.0,2.263538609315808e-06
139.0,2.370393041575269e-06
140.0,2.477951186456723e-06
141.0,2.586125723514349e-06
142.0,2.694825677398046e-06
143.0,2.8039564039154665e-06
144.0,2.913419584181635e-06
145.0,3.0231132272752647e-06
146.0,3.132931681808827e-06
147.0,3.242765656807046e-06
148.0,3.352502252275659e-06
149.0,3.4620249998286483e-06
150.0,3.57121391372729e-06
151.0,3.6799455526681643e-06
152.0,3.7880930926400017e-06
153.0,3.89552641115132e-06
154.0,4.002112183112018e-06
155.0,4.107713988631857e-06
156.0,4.212192432976717e-06
157.0,4.315405278899491e-06
158.0,4.4172075915365335e-06
159.0,4.5174518960325095e-06
160.0,4.615988348026453e-06
161.0,4.712664917099867e-06
162.0,4.8073275832533165e-06
163.0,4.899820546440521e-06
164.0,4.989986449149018e-06
165.0,5.077666611975238e-06
166.0,5.1627012821003725e-06
167.0,5.244929894531593e-06
168.0,5.324191345930629e-06
169.0,5.4003242808076304e-06
170.0,5.473167389811758e-06
171.0,5.54255971980026e-06
172.0,5.608340995315525e-06
173.0,5.670351951045984e-06
174.0,5.7284346747932915e-06
175.0,5.782432960415553e-06
176.0,5.832192670164161e-06
177.0,5.877562105779547e-06
178.0,5.9183923876587066e-06
179.0,5.954537841354697e-06
180.0,5.985856390615753e-06
181.0,6.01220995611951e-06
182.0,6.033464859005962e-06
183.0,6.0494922282612085e-06
184.0,6.060168410952847e-06
185.0,6.065375384267514e-06
186.0,6.065001168251602e-06
187.0,6.05894023810704e-06
188.0,6.047093934845061e-06
189.0,6.029370873053041e-06
190.0,6.005687344483846e-06
191.0,5.975967716134633e-06
192.0,5.940144821443137e-06
193.0,5.898160343195096e-06
194.0,5.84996518670696e-06
195.0,5.795519841823531e-06
196.0,5.7347947322499786e-06
197.0,5.667770550722369e-06
198.0,5.59443857851133e-06
199.0,5.514800987750864e-06
200.0,5.4288711250885835e-06
201.0,5.336673775164621e-06
202.0,5.238245402443835e-06
203.0,5.133634369949213e-06
204.0,5.022901133473526e-06
205.0,4.906118409881872e-06
206.0,4.783371318160259e-06
207.0,4.654757491914248e-06
208.0,4.520387162076205e-06
209.0,4.3803832086395095e-06
210.0,4.234881180303854e-06
211.0,4.084029280988084e-06
212.0,3.927988322246369e-06
213.0,3.7669316407096263e-06
214.0,3.601044979767055e-06
215.0,3.4305263348028767e-06
216.0,3.255585761411488e-06
217.0,3.076445146129998e-06
218.0,2.8933379393494485e-06
219.0,2.70650885019351e-06
220.0,2.5162135032852562e-06
221.0,2.3227180574583714e-06
222.0,2.1262987866089607e-06
223.0,1.9272416230282907e-06
224.0,1.7258416637052385e-06
225.0,1.522402640239481e-06
226.0,1.317236353161989e-06
227.0,1.110662071617351e-06
228.0,9.030058995216276e-07
229.0,6.946001094684579e-07
230.0,4.857824458140506e-07
231.0,2.7689539852804995e-07
232.0,6.828544955202312e-08
233.0,-1.3969770643998243e-07
234.0,-3.4670196483428714e-07
235.0,-5.523736352322655e-07
236.0,-7.563582846318408e-07
237.0,-9.583015971620433e-07
238.0,-1.1578502477639668e-06
239.0,-1.354652787085084e-06
240.0,-1.5483605347348024e-06
241.0,-1.7386284779385244e-06
242.0,-1.9251161725266815e-06
243.0,-2.107488643106042e-06
244.0,-2.285417279184974e-06
245.0,-2.4585807239637407e-06
246.0,-2.6266657524548423e-06
247.0,-2.789368135565766e-06
248.0,-2.946393486757264e-06
249.0,-3.0974580878854316e-06
250.0,-3.2422896908457225e-06
251.0,-3.3806282916616895e-06
252.0,-3.5122268737025164e-06
253.0,-3.6368521167742747e-06
254.0,-3.7542850689125266e-06
255.0,-3.864321777809153e-06
256.0,-3.9667738789332806e-06
257.0,-4.0614691375522834e-06
258.0,-4.148251942022436e-06
259.0,-4.226983745902201e-06
260.0,-4.297543456648991e-06
261.0,-4.359827768896153e-06
262.0,-4.4137514405723554e-06
263.0,-4.45924751042002e-06
264.0,-4.4962674557884e-06
265.0,-4.524781289912286e-06
266.0,-4.544777598233907e-06
267.0,-4.556263513681093e-06
268.0,-4.559264631175986e-06
269.0,-4.5538248620135e-06
270.0,-4.540006229116919e-06
271.0,-4.517888604541111e-06
272.0,-4.4875693909333805e-06
273.0,-4.449163148962118e-06
274.0,-4.402801172982341e-06
275.0,-4.348631017431947e-06
276.0,-4.2868159766493335e-06
277.0,-4.21753452097434e-06
278.0,-4.140979692140064e-06
279.0,-4.05735846108387e-06
280.0,-3.966891051402997e-06
281.0,-3.869810231754129e-06
282.0,-3.7663605805466355e-06
283.0,-3.6567977263065606e-06
284.0,-3.541387567096972e-06
285.0,-3.420405472374783e-06
286.0,-3.2941354706466805e-06
287.0,-3.1628694262564334e-06
288.0,-3.0269062085910167e-06
289.0,-2.8865508569325965e-06
290.0,-2.7421137441074244e-06
291.0,-2.5939097419918556e-06
292.0,-2.442257391831249e-06
293.0,-2.287478082210906e-06
294.0,-2.1298952373915233e-06
295.0,-1.969833518587443e-06
296.0,-1.8076180406263657e-06
297.0,-1.643573606285347e-06
298.0,-1.4780239604507206e-06
299.0,-1.3112910660997663e-06
300.0,-1.143694403949783e-06
301.0,-9.755502974651247e-07
302.0,-8.07171264754553e-07
303.0,-6.388653987312428e-07
304.0,-4.709357767482854e-07
305.0,-3.0367990076488953e-07
306.0,-1.373891689424395e-07
307.0,2.7651620585242922e-08
308.0,1.9116473317635018e-07
309.0,3.52879927939885e-07
310.0,5.125348544953462e-07
311.0,6.698754160816172e-07
312.0,8.246560989990452e-07
313.0,9.766402684979887e-07
314.0,1.1256004313500504e-06
315.0,1.271318465454851e-06
316.0,1.4135858169457806e-06
317.0,1.5522036653627654e-06
318.0,1.6869830575588717e-06
319.0,1.8177450111003295e-06
320.0,1.944320588005708e-06
321.0,2.0665509397486758e-06
322.0,2.1842873245195206e-06
323.0,2.2973910978033955e-06
324.0,2.4057336773883216e-06
325.0,2.5091964839638914e-06
326.0,2.607670858512921e-06
327.0,2.7010579577333917e-06
328.0,2.7892686287569703e-06
329.0,2.8722232644534704e-06
330.0,2.9498516406282175e-06
331.0,3.022092736431391e-06
332.0,3.0888945393050762e-06
333.0,3.15021383579528e-06
334.0,3.2060159895532135e-06
335.0,3.256274707842629e-06
336.0,3.3009717978570172e-06
337.0,3.3400969141309086e-06
338.0,3.3736472983032526e-06
339.0,3.401627512459199e-06
340.0,3.4240491672413183e-06
341.0,3.4409306458838417e-06
342.0,3.4522968252847824e-06
343.0,3.4581787951911055e-06
344.0,3.458613576531073e-06
345.0,3.453643839884512e-06
346.0,3.4433176250355546e-06
347.0,3.427688062504183e-06
348.0,3.406813097903919e-06
349.0,3.3807552199238285e-06
350.0,3.3495811926833706e-06
351.0,3.3133617931579857e-06
352.0,3.2721715543214364e-06
353.0,3.2260885145975673e-06
354.0,3.175193974159571e-06
355.0,3.119572258559649e-06
356.0,3.059310490117229e-06
357.0,2.9944983674407858e-06
358.0,2.9252279534076753e-06
359.0,2.851593471878445e-06
360.0,2.773691113376482e-06
361.0,2.691618849919479e-06
362.0,2.6054762591449733e-06
363.0,2.5153643578277078e-06
364.0,2.4213854448420375e-06
365.0,2.3236429535790312e-06
366.0,2.2222413137863116e-06
367.0,2.1172858227598835e-06
368.0,2.0088825257816305e-06
369.0,1.8971381056635708e-06
370.0,1.7821597812295707e-06
371.0,1.6640552145362975e-06
372.0,1.5429324266074494e-06
373.0,1.418899721428739e-06
374.0,1.29206561792583e-06
375.0,1.1625387896235961e-06
376.0,1.0304280116628357e-06
377.0,8.958421148297965e-07
378.0,7.588899462342299e-07
379.0,6.196803362531244e-07
380.0,4.78322071340217e-07
381.0,3.3492387228650747e-07
382.0,1.8959437750523847e-07
383.0,4.244213090742343e-08
384.0,-1.0642442606789068e-07
385.0,-2.5689695870065454e-07
386.0,-4.0886723993800585e-07
387.0,-5.622271484573377e-07
388.0,-7.168686642481613e-07
389.0,-8.726838621084067e-07
390.0,-1.0295649034438494e-06
391.0,-1.1874040267526875e-06
392.0,-1.346093537169823e-06
393.0,-1.505525795436551e-06
