time_seconds,x
0.0,-1.9430012084314543e-07
1.0,-2.2435361049754852e-07
2.0,-2.5407920919223884e-07
3.0,-2.834327791842991e-07
4.0,-3.1237124369601263e-07
5.0,-3.40852725073105e-07
6.0,-3.688366775899513e-07
7.0,-3.962840141100515e-07
8.0,-4.2315722589802246e-07
9.0,-4.494204949698956e-07
10.0,-4.750397984531397e-07
11.0,-4.999830045016932e-07
12.0,-5.242199593756748e-07
13.0,-5.477225653541156e-07
14.0,-5.704648492028637e-07
15.0,-5.924230209695932e-07
16.0,-6.135755229326205e-07
17.0,-6.339030686019719e-07
18.0,-6.5338867176111e-07
19.0,-6.720176656347964e-07
20.0,-6.897777123591225e-07
21.0,-7.06658803005451e-07
22.0,-7.22653248470219e-07
23.0,-7.37755661591639e-07
24.0,-7.519629308941474e-07
25.0,-7.652741863873566e-07
26.0,-7.776907578524162e-07
27.0,-7.892161260367326e-07
28.0,-7.99855867157226e-07
29.0,-8.0961759109356e-07
30.0,-8.185108736441092e-07
31.0,-8.26547183221484e-07
32.0,-8.33739802377581e-07
33.0,-8.401037445638943e-07
34.0,-8.45655666545539e-07
35.0,-8.504137768935128e-07
36.0,-8.543977409808261e-07
37.0,-8.576285829120585e-07
38.0,-8.601285848276327e-07
39.0,-8.619211840382915e-07
40.0,-8.630308684516647e-07
41.0,-8.634830707454145e-07
42.0,-8.633040617233828e-07
43.0,-8.6252084327369e-07
44.0,-8.611610413385053e-07
45.0,-8.592527992986965e-07
46.0,-8.568246721639699e-07
47.0,-8.539055219421733e-07
48.0,-8.505244145484688e-07
49.0,-8.467105186105792e-07
50.0,-8.424930065278966e-07
51.0,-8.379009581429514e-07
52.0,-8.329632673766296e-07
53.0,-8.277085521612055e-07
54.0,-8.221650679823502e-07
55.0,-8.163606253223272e-07
56.0,-8.103225112869049e-07
57.0,-8.040774156929213e-07
58.0,-7.976513618821685e-07
59.0,-7.91069642503732e-07
60.0,-7.843567604687591e-07
61.0,-7.775363752310523e-07
62.0,-7.706312544914004e-07
63.0,-7.636632313731182e-07
64.0,-7.566531670780078e-07
65.0,-7.49620919005999e-07
66.0,-7.425853143011469e-07
67.0,-7.355641287620827e-07
68.0,-7.285740710219446e-07
69.0,-7.21630771867492e-07
70.0,-7.147487785409954e-07
71.0,-7.079415538524002e-07
72.0,-7.012214799089961e-07
73.0,-6.94599866233653e-07
74.0,-6.880869619985116e-07
75.0,-6.816919720697784e-07
76.0,-6.754230765530319e-07
77.0,-6.692874535382393e-07
78.0,-6.632913047506839e-07
79.0,-6.574398838112219e-07
80.0,-6.517375268075934e-07
81.0,-6.461876848891026e-07
82.0,-6.407929586154795e-07
83.0,-6.355551338057557e-07
84.0,-6.304752186442665e-07
85.0,-6.255534818167789e-07
86.0,-6.207894914703432e-07
87.0,-6.161821548072592e-07
88.0,-6.11729758134026e-07
89.0,-6.074300071943277e-07
90.0,-6.032800676213542e-07
91.0,-5.992766053470784e-07
92.0,-5.954158268066835e-07
93.0,-5.916935187773261e-07
94.0,-5.881050876898304e-07
95.0,-5.846455982499316e-07
96.0,-5.813098112091396e-07
97.0,-5.780922201389104e-07
98.0,-5.749870870806368e-07
99.0,-5.719884769602562e-07
100.0,-5.690902906682122e-07
101.0,-5.662862967154992e-07
102.0,-5.635701613862777e-07
103.0,-5.609354773177414e-07
104.0,-5.583757904505954e-07
105.0,-5.558846253131825e-07
106.0,-5.534555086313407e-07
107.0,-5.510819912877712e-07
108.0,-5.487576686766977e-07
109.0,-5.464761995087e-07
110.0,-5.442313231269093e-07
111.0,-5.420168754065807e-07
112.0,-5.398268033180417e-07
113.0,-5.376551782279889e-07
114.0,-5.354962079988918e-07
115.0,-5.333442479310384e-07
116.0,-5.311938105783288e-07
117.0,-5.290395744503392e-07
118.0,-5.268763915874129e-07
119.0,-5.246992939720968e-07
120.0,-5.225034987314571e-07
121.0,-5.202844120927907e-07
122.0,-5.180376320705615e-07
123.0,-5.157589498755323e-07
124.0,-5.134443500480294e-07
125.0,-5.110900093333565e-07
126.0,-5.086922943451715e-07
127.0,-5.062477581020839e-07
128.0,-5.037531355663547e-07
129.0,-5.012053383493824e-07
130.0,-4.986014487646481e-07
131.0,-4.959387134000408e-07
132.0,-4.932145363553559e-07
133.0,-4.904264722637817e-07
134.0,-4.875722192031202e-07
135.0,-4.846496116058416e-07
136.0,-4.816566132873778e-07
137.0,-4.785913107198952e-07
138.0,-4.754519066837533e-07
139.0,-4.7223671443584736e-07
