time_seconds,x
0.0,-2.950359039551388e-08
1.0,-2.6628148216824043e-08
2.0,-2.3657365959133462e-08
3.0,-2.0595980347723275e-08
4.0,-1.744898921054194e-08
5.0,-1.4221636419052744e-08
6.0,-1.0919396335641544e-08
7.0,-7.547957898760507e-09
8.0,-4.113208449687234e-09
9.0,-6.212173629233455e-10
10.0,2.9217804993394623e-09
11.0,6.509401514778005e-09
12.0,1.0135130225870133e-08
13.0,1.3792336476847908e-08
14.0,1.7474292773292468e-08
15.0,2.1174191870096416e-08
16.0,2.4885164588115926e-08
17.0,2.8600297853935032e-08
18.0,3.23126529507849e-08
19.0,3.601528396181845e-08
20.0,3.9701256379655355e-08
21.0,4.3363665848406285e-08
22.0,4.69956569962823e-08
23.0,5.059044230842137e-08
24.0,5.414132098074768e-08
25.0,5.7641697686550466e-08
26.0,6.108510117840955e-08
27.0,6.446520264123301e-08
28.0,6.777583371208039e-08
29.0,7.1011004091922e-08
30.0,7.41649186886185e-08
31.0,7.723199423937129e-08
32.0,8.020687535978308e-08
33.0,8.308444995828603e-08
34.0,8.585986394362494e-08
35.0,8.85285351414656e-08
36.0,9.108616632478313e-08
37.0,9.352875725361689e-08
38.0,9.585261561799291e-08
39.0,9.805436678822389e-08
40.0,1.0013096229903538e-07
41.0,1.020796870213394e-07
42.0,1.0389816500022756e-07
43.0,1.0558436395737579e-07
44.0,1.0713659847294695e-07
45.0,1.0855353187655786e-07
46.0,1.0983417688612244e-07
47.0,1.1097789503912847e-07
48.0,1.1198439496909325e-07
49.0,1.128537295902176e-07
50.0,1.1358629225826307e-07
51.0,1.1418281197297221e-07
52.0,1.1464434768430064e-07
53.0,1.1497228176869781e-07
54.0,1.1516831274987208e-07
55.0,1.1523444734145706e-07
56.0,1.1517299188187889e-07
57.0,1.149865432176881e-07
58.0,1.1467797907736776e-07
59.0,1.1425044796986019e-07
60.0,1.1370735864395276e-07
61.0,1.1305236915134588e-07
62.0,1.1228937555789915e-07
63.0,1.1142250033933265e-07
64.0,1.1045608048273175e-07
65.0,1.0939465530026681e-07
66.0,1.08242953953292e-07
67.0,1.0700588268661225e-07
68.0,1.0568851177932035e-07
69.0,1.0429606222040848e-07
70.0,1.0283389210946519e-07
71.0,1.0130748276835821e-07
72.0,9.972242453592001e-08
73.0,9.808440221308658e-08
74.0,9.639918013840117e-08
75.0,9.467258690115562e-08
76.0,9.2910499726946e-08
77.0,9.111882858330913e-08
78.0,8.930350004925085e-08
79.0,8.747044097923206e-08
80.0,8.562556197658018e-08
81.0,8.377474067793995e-08
82.0,8.192380484420338e-08
83.0,8.007851525753539e-08
84.0,7.824454843582939e-08
85.0,7.64274791902604e-08
86.0,7.463276306850603e-08
87.0,7.286571874807294e-08
88.0,7.113151046848138e-08
89.0,6.94351306100568e-08
90.0,6.778138253405513e-08
91.0,6.617486379342983e-08
92.0,6.461994981099232e-08
93.0,6.312077810904508e-08
94.0,6.168123316880248e-08
95.0,6.030493200431336e-08
96.0,5.8995210553781995e-08
97.0,5.7755111014097794e-08
98.0,5.6587370262161496e-08
99.0,5.5494409512181045e-08
100.0,5.447832535112652e-08
101.0,5.354088227988379e-08
102.0,5.268350687025596e-08
103.0,5.1907283629969767e-08
104.0,5.121295264964304e-08
105.0,5.060090908730132e-08
106.0,5.007120452754077e-08
107.0,4.962355023386286e-08
108.0,4.9257322294097415e-08
109.0,4.897156864022743e-08
110.0,4.8765017905374667e-08
111.0,4.863609006224209e-08
112.0,4.8582908768980935e-08
113.0,4.8603315330299545e-08
114.0,4.8694884163699364e-08
115.0,4.885493964305533e-08
116.0,4.908057417439338e-08
117.0,4.936866734170015e-08
118.0,4.971590594432037e-08
119.0,5.011880473444188e-08
120.0,5.057372766000848e-08
121.0,5.10769094324762e-08
122.0,5.162447726799042e-08
123.0,5.221247268003284e-08
124.0,5.283687321659157e-08
125.0,5.3493614033296645e-08
126.0,5.417860918342492e-08
127.0,5.488777249498015e-08
128.0,5.561703790121676e-08
129.0,5.636237909715483e-08
130.0,5.711982840626591e-08
131.0,5.7885494750870796e-08
132.0,5.865558062650156e-08
133.0,5.942639799011553e-08
134.0,6.019438298422939e-08
135.0,6.095610942639507e-08
136.0,6.170830099349928e-08
137.0,6.244784203047904e-08
138.0,6.317178692055162e-08
139.0,6.387736796663786e-08
140.0,6.456200174481134e-08
141.0,6.522329390183568e-08
142.0,6.585904238723039e-08
