time_seconds,x
0.0,-8.438766519488925e-07
1.0,-8.478412452343143e-07
2.0,-8.518254608849148e-07
3.0,-8.558164293527802e-07
4.0,-8.598005815416564e-07
5.0,-8.637636657047315e-07
6.0,-8.676907668125933e-07
7.0,-8.715663284032619e-07
8.0,-8.753741769051418e-07
9.0,-8.790975484011585e-07
10.0,-8.827191177795867e-07
11.0,-8.862210301949429e-07
12.0,-8.895849347416597e-07
13.0,-8.927920202249494e-07
14.0,-8.958230528977526e-07
15.0,-8.986584160201362e-07
16.0,-9.01278151087862e-07
17.0,-9.036620005696504e-07
18.0,-9.057894519871725e-07
19.0,-9.076397831681984e-07
20.0,-9.091921085031632e-07
21.0,-9.104254260397066e-07
22.0,-9.113186652573038e-07
23.0,-9.118507353723425e-07
24.0,-9.120005740311038e-07
25.0,-9.117471962536774e-07
26.0,-9.110697434961982e-07
27.0,-9.099475327023161e-07
28.0,-9.083601052173571e-07
29.0,-9.062872754393775e-07
30.0,-9.037091790794604e-07
31.0,-9.006063208996366e-07
32.0,-8.969596217923155e-07
33.0,-8.927504650614667e-07
34.0,-8.879607417634388e-07
35.0,-8.825728949641498e-07
36.0,-8.765699627695432e-07
37.0,-8.699356199880654e-07
38.0,-8.626542182877436e-07
39.0,-8.547108247159573e-07
40.0,-8.460912584565929e-07
41.0,-8.367821257068528e-07
42.0,-8.267708525648307e-07
43.0,-8.160457158290249e-07
44.0,-8.045958716217561e-07
45.0,-7.92411381759261e-07
46.0,-7.794832378015862e-07
47.0,-7.658033827254205e-07
48.0,-7.513647301733698e-07
49.0,-7.361611812441849e-07
50.0,-7.201876387998649e-07
51.0,-7.034400192773021e-07
52.0,-6.859152620044153e-07
53.0,-6.676113360332383e-07
54.0,-6.485272445139648e-07
55.0,-6.286630266432544e-07
56.0,-6.080197572269241e-07
57.0,-5.865995439022209e-07
58.0,-5.644055220688756e-07
59.0,-5.414418475809976e-07
60.0,-5.177136872533328e-07
61.0,-4.932272072359678e-07
62.0,-4.6798955931251734e-07
63.0,-4.420088651792868e-07
64.0,-4.152941987667693e-07
65.0,-3.878555666686803e-07
