time_seconds,x
0.0,2.3171792583725618e-07
1.0,2.2947657416388396e-07
2.0,2.2699970822282656e-07
3.0,2.2430125137990166e-07
4.0,2.213955853718213e-07
5.0,2.1829747438053666e-07
6.0,2.1502198862391196e-07
7.0,2.1158442798131997e-07
8.0,2.0800024614712041e-07
9.0,2.0428497577626665e-07
10.0,2.004541550568345e-07
11.0,1.9652325611680163e-07
12.0,1.9250761565169825e-07
13.0,1.8842236814283686e-07
14.0,1.8428238200816023e-07
15.0,1.8010219897836412e-07
16.0,1.758959769277706e-07
17.0,1.7167743633266592e-07
18.0,1.6745981049132076e-07
19.0,1.6325579961380507e-07
20.0,1.5907752886485717e-07
21.0,1.5493651041945233e-07
22.0,1.508436095774229e-07
23.0,1.4680901498248114e-07
24.0,1.4284221298994483e-07
25.0,1.3895196621041171e-07
26.0,1.351462962203615e-07
27.0,1.3143247038750444e-07
28.0,1.2781699272179254e-07
29.0,1.243055986356581e-07
30.0,1.209032534788942e-07
31.0,1.176141547055855e-07
32.0,1.1444173752908007e-07
33.0,1.1138868391729528e-07
34.0,1.084569347703658e-07
35.0,1.0564770511125878e-07
36.0,1.0296150211369813e-07
37.0,1.003981457869913e-07
38.0,9.795679212651379e-08
39.0,9.563595852334218e-08
40.0,9.343355121730213e-08
41.0,9.134689458181479e-08
42.0,8.93727620448579e-08
43.0,8.750740847146888e-08
44.0,8.574660385341483e-08
45.0,8.408566816900352e-08
46.0,8.251950729138051e-08
47.0,8.104264983513545e-08
48.0,7.964928483266879e-08
49.0,7.833330012083954e-08
50.0,7.708832130144371e-08
51.0,7.590775112575691e-08
52.0,7.478480914409666e-08
53.0,7.371257144683385e-08
54.0,7.26840103004002e-08
55.0,7.169203346067272e-08
56.0,7.072952293476283e-08
57.0,6.978937295736728e-08
58.0,6.886452694701675e-08
59.0,6.794801321589979e-08
60.0,6.703297922462425e-08
61.0,6.611272418938e-08
62.0,6.518072985421887e-08
63.0,6.42306892396562e-08
64.0,6.32565331827249e-08
65.0,6.225245450075713e-08
66.0,6.121292964086639e-08
67.0,6.013273771457989e-08
68.0,5.900697685723364e-08
69.0,5.783107789007181e-08
70.0,5.660081529663222e-08
71.0,5.531231555472831e-08
72.0,5.3962062895503306e-08
73.0,5.2546902594524586e-08
74.0,5.106404193207273e-08
75.0,4.9511048981987684e-08
76.0,4.788584939994254e-08
77.0,4.6186721391646994e-08
78.0,4.441228905463959e-08
79.0,4.256151430099535e-08
80.0,4.063368758054331e-08
81.0,3.8628417636363794e-08
82.0,3.654562053139999e-08
83.0,3.438550817668165e-08
84.0,3.214857656753881e-08
85.0,2.98355939086215e-08
86.0,2.7447588794729136e-08
87.0,2.498583860978946e-08
88.0,2.2451858298252572e-08
89.0,1.984738964297702e-08
90.0,1.7174391149003056e-08
91.0,1.443502858369442e-08
92.0,1.163166616615264e-08
93.0,8.766858346868121e-09
94.0,5.843342087922269e-09
95.0,2.8640295476617163e-09
