time_seconds,x
0.0,-9.016835921039773e-06
1.0,-9.062691295386144e-06
2.0,-9.108520410318132e-06
3.0,-9.154243243602148e-06
4.0,-9.199774495204652e-06
5.0,-9.245023657966123e-06
6.0,-9.289895103444551e-06
7.0,-9.334288182597627e-06
8.0,-9.378097340948357e-06
9.0,-9.421212247860309e-06
10.0,-9.463517939536147e-06
11.0,-9.504894975346677e-06
12.0,-9.545219607097363e-06
13.0,-9.584363960844995e-06
14.0,-9.62219623088934e-06
15.0,-9.658580885582492e-06
16.0,-9.693378884620347e-06
17.0,-9.726447907501366e-06
18.0,-9.75764259285222e-06
19.0,-9.786814788325942e-06
20.0,-9.813813810775122e-06
21.0,-9.838486716388567e-06
22.0,-9.860678580454759e-06
23.0,-9.8802327863834e-06
24.0,-9.896991323580754e-06
25.0,-9.910795093735698e-06
26.0,-9.92148422503014e-06
27.0,-9.928898393739156e-06
28.0,-9.932877152631806e-06
29.0,-9.933260265522456e-06
30.0,-9.929888047255967e-06
31.0,-9.922601708340714e-06
32.0,-9.911243703374096e-06
33.0,-9.89565808233781e-06
34.0,-9.875690843775892e-06
35.0,-9.85119028881009e-06
36.0,-9.82200737490026e-06
37.0,-9.787996068228722e-06
38.0,-9.749013693577708e-06
39.0,-9.704921280572955e-06
40.0,-9.655583905178462e-06
41.0,-9.600871025345986e-06
42.0,-9.540656809748625e-06
43.0,-9.474820458559003e-06
44.0,-9.403246515266213e-06
45.0,-9.325825168561142e-06
46.0,-9.2424525433605e-06
47.0,-9.15303098008748e-06
48.0,-9.057469301379486e-06
49.0,-8.955683065445638e-06
50.0,-8.847594805346614e-06
51.0,-8.733134253515866e-06
52.0,-8.612238550884106e-06
53.0,-8.484852440008265e-06
54.0,-8.350928441645032e-06
55.0,-8.210427014251152e-06
56.0,-8.063316695938685e-06
57.0,-7.909574228462277e-06
58.0,-7.749184662866317e-06
59.0,-7.582141446472937e-06
60.0,-7.408446490949035e-06
61.0,-7.228110221253809e-06
62.0,-7.041151605338915e-06
63.0,-6.847598164550364e-06
64.0,-6.647485964762249e-06
65.0,-6.440859588354835e-06
66.0,-6.227772087231229e-06
67.0,-6.008284917145306e-06
68.0,-5.7824678536868635e-06
69.0,-5.55039889033784e-06
70.0,-5.312164119076967e-06
71.0,-5.067857594070627e-06
72.0,-4.817581179044954e-06
73.0,-4.561444378987234e-06
74.0,-4.299564156871907e-06
75.0,-4.0320647361470185e-06
76.0,-3.7590773897504434e-06
77.0,-3.480740216452217e-06
78.0,-3.197197905341267e-06
79.0,-2.9086014892931617e-06
80.0,-2.6151080882701725e-06
81.0,-2.316880643315691e-06
82.0,-2.0140876421116955e-06
83.0,-1.7069028369711523e-06
84.0,-1.3955049561379683e-06
85.0,-1.0800774092670879e-06
86.0,-7.608079879583922e-07
87.0,-4.3788856222088786e-07
88.0,-1.1151477374784097e-07
89.0,2.1811427311302816e-07
90.0,5.50796321809021e-07
91.0,8.863262745696539e-07
92.0,1.224496503058893e-06
93.0,1.5650971578357482e-06
94.0,1.9079164757875388e-06
95.0,2.252741084723734e-06
96.0,2.5993563043426853e-06
97.0,2.9475464428097494e-06
98.0,3.2970950882151626e-06
99.0,3.6477853942151872e-06
100.0,3.999400359200201e-06
101.0,4.351723098377544e-06
102.0,4.70453710820341e-06
103.0,5.0576265226454145e-06
104.0,5.410776360804399e-06
105.0,5.763772765470208e-06
106.0,6.116403232231754e-06
107.0,6.468456828806561e-06
108.0,6.8197244042981735e-06
109.0,7.169998788129685e-06
110.0,7.519074978438086e-06
111.0,7.866750319747228e-06
112.0,8.212824669768231e-06
113.0,8.55710055520573e-06
114.0,8.899383316477488e-06
115.0,9.239481241284621e-06
116.0,9.577205687001585e-06
117.0,9.912371191889941e-06
118.0,1.0244795575176903e-05
119.0,1.0574300026077227e-05
120.0,1.0900709181873522e-05
121.0,1.1223851195204637e-05
122.0,1.154355779074577e-05
123.0,1.1859664311497709e-05
124.0,1.2172009754936984e-05
125.0,1.2480436799313515e-05
126.0,1.2784791820417373e-05
127.0,1.3084924899171577e-05
128.0,1.3380689820442835e-05
129.0,1.367194406349621e-05
130.0,1.3958548784550962e-05
131.0,1.4240368791922228e-05
132.0,1.4517272514255299e-05
133.0,1.4789131962376361e-05
134.0,1.5055822685296495e-05
135.0,1.5317223720915446e-05
136.0,1.557321754197885e-05
137.0,1.5823689997846563e-05
138.0,1.6068530252630547e-05
139.0,1.6307630720258436e-05
140.0,1.654088699701442e-05
141.0,1.6768197792103404e-05
142.0,1.6989464856776962e-05
143.0,1.720459291254969e-05
144.0,1.7413489579021228e-05
145.0,1.7616065301802786e-05
146.0,1.7812233281028292e-05
147.0,1.8001909400910603e-05
148.0,1.8185012160784017e-05
149.0,1.836146260805588e-05
150.0,1.8531184273472596e-05
151.0,1.869410310908917e-05
152.0,1.885014742931694e-05
153.0,1.899924785541123e-05
154.0,1.9141337263748117e-05
155.0,1.9276350738225047e-05
156.0,1.9404225527102177e-05
157.0,1.9524901004579036e-05
158.0,1.963831863737457e-05
159.0,1.974442195654811e-05
160.0,1.98431565347655e-05
161.0,1.9934469969178668e-05
162.0,2.0018311870049717e-05
163.0,2.00946338552125e-05
164.0,2.0163389550427932e-05
165.0,2.0224534595653876e-05
166.0,2.0278026657216854e-05
167.0,2.0323825445839395e-05
168.0,2.0361892740443328e-05
169.0,2.039219241761576e-05
170.0,2.0414690486592522e-05
171.0,2.042935512958409e-05
172.0,2.043615674724291e-05
173.0,2.043506800904818e-05
174.0,2.042606390836519e-05
175.0,2.0409121821921485e-05
176.0,2.0384221573431237e-05
177.0,2.035134550109215e-05
178.0,2.0310478528674402e-05
179.0,2.026160823991752e-05
180.0,2.0204724955947282e-05
181.0,2.0139821815419767e-05
182.0,2.0066894857093757e-05
183.0,1.998594310452487e-05
184.0,1.9896968652565985e-05
185.0,1.9799976755348056e-05
186.0,1.969497591540453e-05
187.0,1.9581977973591437e-05
188.0,1.9460998199444522e-05
189.0,1.9332055381605017e-05
190.0,1.919517191793734e-05
191.0,1.9050373904954862e-05
192.0,1.889769122616372e-05
193.0,1.8737157638929454e-05
194.0,1.856881085946743e-05
195.0,1.8392692645555674e-05
196.0,1.8208848876568714e-05
197.0,1.8017329630432447e-05
198.0,1.7818189257104083e-05
199.0,1.7611486448187878e-05
200.0,1.7397284302307837e-05
201.0,1.7175650385872827e-05
202.0,1.694665678888786e-05
203.0,1.6710380175486904e-05
204.0,1.6466901828886594e-05
205.0,1.6216307690485614e-05
206.0,1.5958688392860224e-05
207.0,1.5694139286431797e-05
208.0,1.5422760459605696e-05
209.0,1.51446567522023e-05
