time_seconds,x
0.0,2.015312717568081e-07
1.0,2.208882484616784e-07
2.0,2.39954478339754e-07
3.0,2.587028673211463e-07
4.0,2.771071393964152e-07
5.0,2.9514191121617285e-07
6.0,3.127827636384744e-07
7.0,3.3000630988340685e-07
8.0,3.4679025996548324e-07
9.0,3.631134811010673e-07
10.0,3.789560538279746e-07
11.0,3.942993236132213e-07
12.0,4.0912594775033506e-07
13.0,4.234199373642125e-07
14.0,4.3716669436427643e-07
15.0,4.5035304322225777e-07
16.0,4.629672574915998e-07
17.0,4.749990810196564e-07
18.0,4.864397438245124e-07
19.0,4.972819726133074e-07
20.0,5.075199959126572e-07
21.0,5.171495437764633e-07
22.0,5.261678420468581e-07
23.0,5.345736011769439e-07
24.0,5.4236699967268e-07
25.0,5.49549662261017e-07
26.0,5.561246329298497e-07
27.0,5.620963430083398e-07
28.0,5.674705744657508e-07
29.0,5.722544186101783e-07
30.0,5.764562303770535e-07
31.0,5.800855784191355e-07
32.0,5.831531912403595e-07
33.0,5.856708996450059e-07
34.0,5.876515758003123e-07
35.0,5.891090692437164e-07
36.0,5.900581402089784e-07
37.0,5.905143906886836e-07
38.0,5.904941936801801e-07
39.0,5.900146210719469e-07
40.0,5.890933706210035e-07
41.0,5.877486924578578e-07
42.0,5.85999315544053e-07
43.0,5.838643745019733e-07
44.0,5.813633372275041e-07
45.0,5.785159336708857e-07
46.0,5.753420861280273e-07
47.0,5.71861841331172e-07
48.0,5.680953045709604e-07
49.0,5.64062576024637e-07
50.0,5.597836894103764e-07
51.0,5.552785530423178e-07
52.0,5.505668933327394e-07
53.0,5.456682007773199e-07
54.0,5.40601678458661e-07
55.0,5.35386193104834e-07
56.0,5.300402287398404e-07
57.0,5.245818429563137e-07
58.0,5.190286258244036e-07
59.0,5.133976614298945e-07
60.0,5.07705492016954e-07
61.0,5.01968084698665e-07
62.0,4.962008006913292e-07
63.0,4.904183670296269e-07
64.0,4.846348507336106e-07
65.0,4.788636354247913e-07
66.0,4.731174004198393e-07
67.0,4.674081023551472e-07
68.0,4.6174695940471403e-07
69.0,4.5614443814863227e-07
70.0,4.5061024313910236e-07
71.0,4.451533092006949e-07
72.0,4.397817964916831e-07
73.0,4.3450308834866196e-07
74.0,4.2932379194409855e-07
75.0,4.242497418004249e-07
76.0,4.1928600620812326e-07
77.0,4.14436896577892e-07
78.0,4.097059797229987e-07
79.0,4.050960930313871e-07
80.0,4.0060936245789066e-07
81.0,3.9624722324298416e-07
82.0,3.920104432385976e-07
83.0,3.87899148693327e-07
84.0,3.839128523249211e-07
85.0,3.800504834889959e-07
86.0,3.763104202364315e-07
87.0,3.72690523036466e-07
88.0,3.6918816992815447e-07
89.0,3.658002928492818e-07
90.0,3.6252341488147483e-07
91.0,3.5935368814807357e-07
92.0,3.5628693210936223e-07
93.0,3.5331867201347157e-07
94.0,3.504441772714778e-07
95.0,3.4765849952842255e-07
96.0,3.449565102058219e-07
