time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,-6.6400802634092315e-09,3.1763178268060324e-09,-1.5391884868390382e-07,1.2534591224390226e-08,1.5406200909401057e-07,-1.3326271374439611e-08
1.0,-6.581137607097887e-09,3.4112127170656772e-09,-1.5318921216603276e-07,1.3168632249177743e-08,1.5333051260676513e-07,-1.3971698458694978e-08
2.0,-6.668216284699824e-09,3.650386821187215e-09,-1.524780266180803e-07,1.3807458008892588e-08,1.5262376521945573e-07,-1.4621803586644478e-08
3.0,-6.819931314128169e-09,3.893791488075394e-09,-1.5167352001785317e-07,1.4450587118632027e-08,1.5182677016170612e-07,-1.5276088060759588e-08
4.0,-6.835174343189365e-09,4.141374023044387e-09,-1.5082770867674844e-07,1.5097535844371518e-08,1.50982506645571e-07,-1.5934050748956126e-08
5.0,-6.7851307350430545e-09,4.393077602132591e-09,-1.5002209680439749e-07,1.5747819222919625e-08,1.5017545581312425e-07,-1.6595189251639292e-08
6.0,-6.822126863426092e-09,4.648841184448485e-09,-1.4922615158494135e-07,1.640095216698352e-08,1.493820127451514e-07,-1.7259001054955646e-08
7.0,-6.61093368936605e-09,4.908599423619126e-09,-1.4851398695212015e-07,1.7056450551412452e-08,1.4866105328787263e-07,-1.7924984666191236e-08
8.0,-6.101025656901626e-09,5.1722825793886525e-09,-1.4804990356928616e-07,1.7713832276879177e-08,1.4817555959381798e-07,-1.8592640727438133e-08
9.0,-5.5176309077253904e-09,5.4398164303661324e-09,-1.476249304986632e-07,1.8372618307480285e-08,1.477280080268093e-07,-1.9261473103862384e-08
10.0,-5.480781772870813e-09,5.711122188859487e-09,-1.470597354620573e-07,1.9032333678979415e-08,1.471618318824963e-07,-1.9930989943139563e-08
11.0,-5.1640457188195654e-09,5.9861164186670714e-09,-1.4667537500540062e-07,1.9692508474672934e-08,1.4676625293697786e-07,-2.0600704702870595e-08
12.0,-4.448614587815314e-09,6.264710956640683e-09,-1.464976920155514e-07,2.0352678766115615e-08,1.4656522076411675e-07,-2.1270137143040676e-08
13.0,-3.756261496290492e-09,6.546812838786533e-09,-1.4622270348013666e-07,2.1012387516196467e-08,1.4627094213639457e-07,-2.1938814280829875e-08
14.0,-3.394284631141886e-09,6.8323242316349215e-09,-1.4569994618088278e-07,2.167118544229458e-08,1.457394781288493e-07,-2.2606271305318797e-08
15.0,-3.107333806928736e-09,7.121142369589771e-09,-1.4506013036250098e-07,2.2328631837465838e-08,1.4509340765235842e-07,-2.3272052449849555e-08
16.0,-2.980475227731816e-09,7.41315949897293e-09,-1.4435959669670262e-07,2.2984295347809116e-08,1.4439036114304083e-07,-2.3935711819998088e-08
17.0,-2.884126382163288e-09,7.708262829505747e-09,-1.4364792857296527e-07,2.3637754704338916e-08,1.436768790317079e-07,-2.4596814175291403e-08
18.0,-2.607596000236967e-09,8.006334494013053e-09,-1.4302625877052333e-07,2.4288599407859557e-08,1.4305002710518147e-07,-2.525493566297215e-08
19.0,-2.2141732614056053e-09,8.307251517180077e-09,-1.4256407641910496e-07,2.4936430365504438e-08,1.4258126962705838e-07,-2.5909664502282796e-08
