time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,0.0,-1.041497591322108e-09,0.0,-1.0571296255719438e-08,0.0,-1.017080200299659e-08
1.0,4.0375564003269915e-11,-8.358868603855263e-10,9.806324502426023e-11,-1.035704788663766e-08,1.0604992311770077e-10,-9.883337653958388e-09
2.0,1.1984058190250835e-10,-6.289946910186327e-10,2.0423501952138157e-10,-1.014052808480319e-08,2.367988772558496e-10,-9.593391451632395e-09
3.0,1.6570464445031519e-10,-4.2101743494245853e-10,2.2937416636198416e-10,-9.921897641185931e-09,2.829673786616764e-10,-9.301206582284342e-09
4.0,1.2430653728578989e-10,-2.1215407354407402e-10,1.6052799367560766e-10,-9.70131715402807e-09,2.030304212808992e-10,-9.007027005879932e-09
5.0,7.284958747355574e-11,-2.60601354386639e-12,1.0392937031811211e-10,-9.478946905672814e-09,1.269187787909517e-10,-8.711097212088526e-09
6.0,5.841715999821417e-11,2.0742312583635018e-10,1.0300014226943821e-10,-9.254946739284133e-09,1.1841281134143158e-10,-8.413661972212394e-09
7.0,1.1988593451306429e-10,4.177277354130323e-10,1.704783831463219e-10,-9.02947593332615e-09,2.0841189124964745e-10,-8.114966084718367e-09
8.0,2.2298835000711392e-10,6.281004493972232e-10,2.594257933474786e-10,-8.802693071768064e-09,3.4208996841892897e-10,-7.815254112185629e-09
9.0,4.177708456953866e-10,8.383323905449731e-10,4.2292710826508095e-10,-8.57475590812252e-09,5.9447440518369e-10,-7.514770107674576e-09
10.0,5.599233021680305e-10,1.0482134279190218e-09,5.509418685156753e-10,-8.345821221609207e-09,7.855259682494877e-10,-7.213757328763417e-09
11.0,7.151301772978513e-10,1.2575324478945311e-09,7.232019922157051e-10,-8.11604466395669e-09,1.0170704459509288e-09,-6.912457937784715e-09
12.0,9.036192349931582e-10,1.4660776388384992e-09,9.512240968859165e-10,-7.885580595609129e-09,1.3120041937227366e-09,-6.611112687116242e-09
13.0,1.1861122917178335e-09,1.673636789674882e-09,1.2567847717387393e-09,-7.654581910386497e-09,1.7281117819859124e-09,-6.309960588733524e-09
14.0,1.5177129553123336e-09,1.8799976023183778e-09,1.622739574658194e-09,-7.423199847953585e-09,2.2218767611829318e-09,-6.009238567610275e-09
15.0,1.8322036943185793e-09,2.0849480177223617e-09,2.019143905025722e-09,-7.191583793779422e-09,2.7265202157103426e-09,-5.7091810989521605e-09
16.0,2.1086338508613522e-09,2.288276555045039e-09,2.469316191626436e-09,-6.959881066609426e-09,3.247130913780173e-09,-5.410019829661838e-09
17.0,2.3605985499663973e-09,2.4897726631975023e-09,3.0458416587497705e-09,-6.728236693820192e-09,3.853514879208203e-09,-5.111983184850117e-09
18.0,2.68214561671698e-09,2.6892270838019984e-09,3.839776312880572e-09,-6.4967931753748005e-09,4.683779162410716e-09,-4.815295960622039e-09
19.0,3.0670606054883365e-09,2.8864322243601032e-09,4.718984649224045e-09,-6.265690237436765e-09,5.628114859999808e-09,-4.520178904770077e-09
20.0,3.689369254544772e-09,3.081182540209348e-09,5.487862972212987e-09,-6.0350645770235115e-09,6.6127214895356515e-09,-4.226848287391564e-09
21.0,4.538194264824824e-09,3.273274923635756e-09,6.227256006859083e-09,-5.805049599373803e-09,7.705447719649486e-09,-3.935515463802729e-09
22.0,5.373215261617048e-09,3.4625090983152895e-09,7.005177732159751e-09,-5.575775149956138e-09,8.828587503492345e-09,-3.646386432433986e-09
23.0,5.9433749033388494e-09,3.648688017091143e-09,7.650021418420527e-09,-5.347367243250036e-09,9.687442022739072e-09,-3.3596613906478013e-09
24.0,6.446933376036412e-09,3.831618260969976e-09,8.38042572403469e-09,-5.11994779058756e-09,1.0573291127700714e-08,-3.075534291612057e-09
25.0,6.994466977827685e-09,4.0111104371485605e-09,9.260052367260352e-09,-4.893634329449683e-09,1.1604789448685658e-08,-2.7941924054835492e-09
26.0,7.47926795496845e-09,4.186979573864365e-09,1.0198686566272042e-08,-4.668539756673013e-09,1.2647239098683781e-08,-2.5158158882086016e-09
27.0,7.880089775147425e-09,4.359045509894047e-09,1.1236488080268447e-08,-4.444772068036217e-09,1.3724229641127325e-08,-2.240577361233414e-09
28.0,7.954578717939143e-09,4.52713327659539e-09,1.2095159622124707e-08,-4.222434106658269e-09,1.447647087050453e-08,-1.9686415053366955e-09
29.0,7.861793688279661e-09,4.6910734704943235e-09,1.2785792151588649e-08,-4.0016233225454345e-09,1.500947304007372e-08,-1.7001646716497617e-09
30.0,7.809509428025052e-09,4.850702614550677e-09,1.3407296261917778e-08,-3.782431545465943e-09,1.5515928285515068e-08,-1.4352945127154771e-09
31.0,7.891689496331011e-09,5.00586350638146e-09,1.386552897671145e-08,-3.5649447731107246e-09,1.5954048292221196e-08,-1.1741696361645082e-09
32.0,8.317082689224264e-09,5.156405551863921e-09,1.3884363147045886e-08,-3.3492429762233075e-09,1.618485107927904e-08,-9.169192832694953e-10
33.0,8.942652368615356e-09,5.302185082672866e-09,1.3100818090083788e-08,-3.135399922065185e-09,1.5861981780829548e-08,-6.63663034290981e-10
34.0,9.21983997481668e-09,5.443065656428374e-09,1.2198319919269618e-08,-2.923483017244528e-09,1.5290665715202774e-08,-4.14510542169198e-10
35.0,9.02190394613811e-09,5.578918338252142e-09,1.1832432728065001e-08,-2.7135531706051553e-09,1.487955695165438e-08,-1.6956129576174324e-10
36.0,8.844902643634356e-09,5.709621962664803e-09,1.1911302833823856e-08,-2.50566467658537e-09,1.483615307195333e-08,7.109558649706412e-11
37.0,8.95985902138463e-09,5.83506337490503e-09,1.2134027506729983e-08,-2.2998651192437952e-09,1.5083557180491854e-08,3.073815319090793e-10
38.0,9.079482832241581e-09,5.9551376509034056e-09,1.2395233122894367e-08,-2.0961952970214546e-09,1.5364856415595534e-08,5.392286573927927e-10
39.0,9.003191803191868e-09,6.069748295285577e-09,1.2729038072721577e-08,-1.8946891682523663e-09,1.559121139943451e-08,7.665798816631591e-10
40.0,8.647613208845328e-09,6.1788074169028734e-09,1.3055375901009636e-08,-1.695373817423886e-09,1.565963135346613e-08,9.893890055307857e-10
41.0,8.365642401031437e-09,6.282235881493872e-09,1.3317294264743318e-08,-1.4982694422012695e-09,1.5726865527361144e-08,1.2076207601974551e-09
42.0,8.433683945652248e-09,6.379963441165704e-09,1.3637475707733993e-08,-1.3033893612555973e-09,1.603458039906836e-08,1.42125082346088e-09
43.0,8.825557951119833e-09,6.4719288404429476e-09,1.419572690560672e-08,-1.1107400429641695e-09,1.6715535753518074e-08,1.6302658037575274e-09
44.0,9.354380076098678e-09,6.558079898660754e-09,1.4963524718782095e-08,-9.203211550849472e-10,1.764685520475857e-08,1.834663191968899e-09
45.0,1.0009092693552546e-08,6.638373568483552e-09,1.5734183666030188e-08,-7.321256355372821e-10,1.864796160936895e-08,2.0344512809008605e-09
46.0,1.0521234300453486e-08,6.712775970329325e-09,1.6241078704994083e-08,-5.461397844416081e-10,1.9351201738053665e-08,2.2296490523344896e-09
47.0,1.072592470396927e-08,6.781262402493877e-09,1.6714209669088653e-08,-3.623433775692942e-10,1.9859764994014278e-08,2.420286031562296e-09
48.0,1.0927227206414258e-08,6.843817326815909e-09,1.7461790737319238e-08,-1.8070980132111107e-10,2.0598990998942835e-08,2.606402109381953e-09
49.0,1.125357576570174e-08,6.900434329807802e-09,1.8510731860515994e-08,-1.2062092863405282e-12,2.166310599905543e-08,2.788047331626202e-09
50.0,1.1575403968677733e-08,6.95111605929377e-09,1.9492203700947897e-08,1.7620629966480306e-10,2.267015620054981e-08,2.965281656458684e-09
51.0,1.172399149984571e-08,6.9958741367383325e-09,1.9765783980038587e-08,3.515724819379065e-10,2.298125742934891e-08,3.13817467985942e-09
52.0,1.1521368498135232e-08,7.034729045607712e-09,1.9470241580457626e-08,5.249427287814521e-10,2.2623709670856455e-08,3.3068053299635773e-09
53.0,1.1153660661733511e-08,7.0677099962813436e-09,1.9460169461971155e-08,6.963728254495241e-10,2.2429942970184663e-08,3.47126153120294e-09
54.0,1.0964043450911731e-08,7.0948547682134674e-09,1.994523779122459e-08,8.659236908008216e-10,2.2760113342028287e-08,3.6316398395155304e-09
55.0,1.0976396153106194e-08,7.116209530222847e-09,2.046491902329972e-08,1.0336610984352446e-09,2.322270835066701e-08,3.788045050206195e-09
56.0,1.1005218902848668e-08,7.131828639947409e-09,2.0607551517656808e-08,1.1996553807143677e-09,2.3362063749859453e-08,3.940589780334598e-09
57.0,1.100966301459394e-08,7.141774423631831e-09,2.0162342506506448e-08,1.3639811172384336e-09,2.2972434242905003e-08,4.089394027770191e-09
58.0,1.0903164981979074e-08,7.146116937521712e-09,1.924979511121888e-08,1.52671680956574e-09,2.2123146666967632e-08,4.2345847092921304e-09
59.0,1.0625186785961915e-08,7.144933712224353e-09,1.844305507359839e-08,1.687944544156599e-09,2.1284756862232725e-08,4.376295180325794e-09
60.0,1.030191509876488e-08,7.138309481468268e-09,1.8120512869715388e-08,1.847749645681131e-09,2.0844242403207673e-08,4.514664739079222e-09
61.0,1.009540748220239e-08,7.126335896749059e-09,1.8259411636335765e-08,2.0062203229166135e-09,2.086440426987701e-08,4.649838117944002e-09
62.0,1.0051512011610697e-08,7.109111229382473e-09,1.8628021875022327e-08,2.16344730945455e-09,2.1166863081143235e-08,4.781964965034142e-09
63.0,1.0028524177752018e-08,7.086740061489581e-09,1.9000053548719198e-08,2.319523501341747e-09,2.1484257772563466e-08,4.911199318651659e-09
64.0,9.76158054388776e-09,7.059332967412922e-09,1.9206532433056756e-08,2.4745435936159225e-09,2.1544821716989658e-08,5.037699077307862e-09
65.0,9.329855221729133e-09,7.0270061870097176e-09,1.9327495253546045e-08,2.6286037174938833e-09,2.1461553327619864e-08,5.161625467721957e-09
66.0,9.133877654221578e-09,6.989881292193146e-09,1.9595583094535185e-08,2.781801079750702e-09,2.1619773306330512e-08,5.283142512984552e-09
67.0,9.416497831482573e-09,6.948084847994855e-09,2.016475922871075e-08,2.9342336056003403e-09,2.225506562924925e-08,5.402416502821098e-09
68.0,9.881440748982229e-09,6.901748069298566e-09,2.0964610934412486e-08,3.085999586153336e-09,2.3176664619977873e-08,5.519615467619098e-09
69.0,1.0227920427263726e-08,6.851006474248582e-09,2.1843169046090183e-08,3.2371973312884354e-09,2.4119170596073798e-08,5.634908657597535e-09
70.0,1.049404896313888e-08,6.795999535182265e-09,2.2460339295891918e-08,3.3879248285434076e-09,2.479096417905812e-08,5.748466028213516e-09
71.0,1.0686781959368119e-08,6.736870327791928e-09,2.2793652354469174e-08,3.5382794084223304e-09,2.5174548581920473e-08,5.860457732643144e-09
72.0,1.0941108768980357e-08,6.67376517910454e-09,2.341046459377466e-08,3.688357416345726e-09,2.5841008370244297e-08,5.971053621960052e-09
73.0,1.1200460697802228e-08,6.606833314782438e-09,2.4391096486303665e-08,3.838253891339978e-09,2.683981944140436e-08,6.080422753471541e-09
74.0,1.1433387764325786e-08,6.536226506193313e-09,2.5419342820735824e-08,3.9880622514698535e-09,2.787230426799206e-08,6.188732907554935e-09
75.0,1.160142049094759e-08,6.462098717670627e-09,2.6042418419663926e-08,4.137873985961216e-09,2.850965651411166e-08,6.29615011326326e-09
76.0,1.154657564006456e-08,6.38460575438514e-09,2.6057469391417565e-08,4.287778353946733e-09,2.8501142434934e-08,6.402838182944975e-09
77.0,1.1265127719539691e-08,6.3039049112729274e-09,2.5876412790282188e-08,4.437862089802571e-09,2.8222187041946646e-08,6.50895825615324e-09
78.0,1.0975037906257867e-08,6.220154623510597e-09,2.597632751087653e-08,4.5882091151239775e-09,2.819966396956031e-08,6.6146683531996316e-09
79.0,1.0959217672246169e-08,6.133514119084625e-09,2.6606042724010293e-08,4.738900257491244e-09,2.8774745201643988e-08,6.720122938812303e-09
80.0,1.111324066105368e-08,6.044143074056518e-09,2.738501527193432e-08,4.890012976280065e-09,2.9554072129481123e-08,6.825472496461858e-09
81.0,1.1133593269541109e-08,5.952201271170173e-09,2.762680343174062e-08,5.041621095860519e-09,2.9785855148838793e-08,6.930863114005658e-09
82.0,1.092047291484377e-08,5.857848262481786e-09,2.7113314412206824e-08,5.193794546613122e-09,2.9229925540428914e-08,7.036436081379104e-09
83.0,1.0623635304796153e-08,5.761243036722216e-09,2.6343186516723793e-08,5.346599114280614e-09,2.840466692190228e-08,7.14232750114352e-09
84.0,1.0414771822730984e-08,5.662543692131111e-09,2.6048355456116667e-08,5.500096198266736e-09,2.8053240349160276e-08,7.248667912783572e-09
85.0,1.0248875026430682e-08,5.5619071155286656e-09,2.639843508199513e-08,5.654342579564689e-09,2.83181357805507e-08,7.3555819317095326e-09
86.0,1.01001035590631e-08,5.459488668407055e-09,2.7057375871081257e-08,5.809390199018983e-09,2.888102631370238e-08,7.463187903931413e-09
87.0,9.971267894703928e-09,5.355441880823456e-09,2.7613265914279428e-08,5.965285946584269e-09,2.9358450876717923e-08,7.5715975773209e-09
88.0,9.879633028342383e-09,5.249918153859262e-09,2.8059331759131e-08,6.122071462158564e-09,2.9747827610494372e-08,7.680915790276815e-09
89.0,9.67917593297507e-09,5.143066471377828e-09,2.8386305218723595e-08,6.279782948465587e-09,2.9991144871645336e-08,7.791240178488944e-09
90.0,9.511220588898084e-09,5.035033121768967e-09,2.8643444280503083e-08,6.438450996365664e-09,3.018128919282547e-08,7.902660900377251e-09
91.0,9.595656047522994e-09,4.925961430314111e-09,2.9096869517963864e-08,6.598100422896055e-09,3.06382837431828e-08,8.015260381677878e-09
92.0,9.95226692723783e-09,4.815991502742585e-09,2.9749276172705286e-08,6.7587501222771e-09,3.136984299914302e-08,8.129113079552343e-09
93.0,1.0341800305013749e-08,4.7052599804797774e-09,3.042043177602094e-08,6.92041293006592e-09,3.213028949431248e-08,8.24428526650915e-09
94.0,1.0500016106584908e-08,4.593899808020192e-09,3.107846348326948e-08,7.083095500595203e-09,3.2804286773521796e-08,8.360834834350463e-09
95.0,1.0386001003670486e-08,4.482040012805363e-09,3.148325451902967e-08,7.246798197807467e-09,3.3152139176201686e-08,8.478811118301725e-09
96.0,1.0335523437099425e-08,4.3698054979594815e-09,3.1767730309176234e-08,7.411514999593899e-09,3.340676179630983e-08,8.598254741460339e-09
97.0,1.0352080442865841e-08,4.257316848236381e-09,3.2222052193976725e-08,7.577233415774267e-09,3.384414597957711e-08,8.719197479714522e-09
