time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,0.0,1.1508066353927392e-09,0.0,1.0392312805790705e-09,0.0,-8.273934384993254e-10
1.0,1.347194578116273e-11,1.1662478796512382e-09,3.0688285246327496e-11,1.072599358503743e-09,3.351513351443718e-11,-8.095646491655088e-10
2.0,3.005484749962761e-11,1.181643963730336e-09,6.275395481036838e-11,1.1060196907582888e-09,6.957982971068289e-11,-7.920804181487169e-10
3.0,3.622299682426444e-11,1.19697420189535e-09,7.093380050005038e-11,1.1394545452459428e-09,7.964740769360683e-11,-7.749772072645575e-10
4.0,2.5813046145017893e-11,1.2122173561726293e-09,4.973446654510383e-11,1.172865430716965e-09,5.6034190578707164e-11,-7.582905495682189e-10
5.0,1.5510842610311215e-11,1.2273516637647093e-09,3.137264059649425e-11,1.2062131405330456e-09,3.499755443568372e-11,-7.420549347467948e-10
6.0,1.4237833134700395e-11,1.2423548662649587e-09,3.165229189860952e-11,1.2394577990319196e-09,3.4707109859600154e-11,-7.263036950178717e-10
7.0,2.605854421133813e-11,1.2572042406489592e-09,5.5510471219655244e-11,1.2725589105892962e-09,6.132259079199474e-11,-7.110688917766356e-10
8.0,3.427746975148693e-11,1.2718766320129577e-09,7.015488190376118e-11,1.305475411460182e-09,7.80810629249806e-11,-6.963812032471452e-10
9.0,4.584291279918773e-11,1.2863484880217193e-09,8.581038657418105e-11,1.3381657244625421e-09,9.728820636605612e-11,-6.822698134097341e-10
10.0,4.356440208574952e-11,1.3005958950192971e-09,8.020573094569272e-11,1.3705878165436936e-09,9.127330609560337e-11,-6.687623024949587e-10
11.0,4.066913472655642e-11,1.3145946157471177e-09,8.095535353191963e-11,1.4026992592446742e-09,9.059662126638547e-11,-6.558845393541056e-10
12.0,4.227673766621365e-11,1.3283201286045936e-09,9.405473622159377e-11,1.4344572920504984e-09,1.0311942568406513e-10,-6.436605760365551e-10
13.0,5.7179955215147515e-11,1.3417476683781825e-09,1.2696399487310828e-10,1.4658188885845358e-09,1.3924583754118088e-10,-6.321125449253543e-10
14.0,7.642986243894256e-11,1.354852268355191e-09,1.668511856456334e-10,1.4967408255731402e-09,1.835234100156961e-10,-6.212605588044107e-10
15.0,9.051603910847916e-11,1.3676088037287292e-09,2.0233346942344355e-10,1.5271797544724022e-09,2.2165736212635773e-10,-6.111226142534333e-10
16.0,9.534334433070057e-11,1.3799920361903954e-09,2.383875735700869e-10,1.5570922756134698e-09,2.5674693482259164e-10,-6.017144987891588e-10
17.0,9.420705882057234e-11,1.391976659598003e-09,2.8575872224045895e-10,1.586435014687333e-09,3.008870506820168e-10,-5.930497021922913e-10
18.0,1.0100281722102977e-10,1.4035373465972634e-09,3.6496544675301834e-10,1.6151647013552516e-09,3.7868370232981377e-10,-5.851393324780005e-10
19.0,1.1224310370039348e-10,1.4146487960687335e-09,4.6022238797682746e-10,1.6432382497378204e-09,4.737121074274868e-10,-5.779920369831486e-10
20.0,1.3179118907302723e-10,1.42528578126425e-09,5.237508482469622e-10,1.6706128405048872e-09,5.400776504880523e-10,-5.716139290549293e-10
21.0,1.5369194805714415e-10,1.4354231984904365e-09,5.497884647542861e-10,1.6972460042614317e-09,5.708665088043568e-10,-5.660085208321547e-10
22.0,1.7219980996685536e-10,1.4450361161908923e-09,5.881762160653281e-10,1.723095705902288e-09,6.12865430333241e-10,-5.611766626108343e-10
23.0,1.6878334840875198e-10,1.4540998242738524e-09,6.007581654365879e-10,1.7481204295915434e-09,6.240177818290156e-10,-5.571164892795345e-10
24.0,1.7167808841200838e-10,1.4625898835288316e-09,6.480674608067005e-10,1.772279264009814e-09,6.704213598903646e-10,-5.538233742979992e-10
25.0,1.870315846641546e-10,1.4704821749741609e-09,7.340599239569201e-10,1.7955319875030625e-09,7.575122346349425e-10,-5.512898916759119e-10
26.0,2.0487123109091954e-10,1.477752948977111e-09,8.311476507039117e-10,1.8178391527594608e-09,8.560249053616026e-10,-5.495057863883535e-10
27.0,2.229320061886142e-10,1.4843788739891765e-09,9.462699929185803e-10,1.8391621706364043e-09,9.721756934224441e-10,-5.484579536402302e-10
28.0,2.084670491786511e-10,1.4903370847411075e-09,1.0295517771652385e-09,1.8594633927597364e-09,1.050445321022163e-09,-5.481304273622506e-10
29.0,1.746076616626624e-10,1.495605229745626e-09,1.079776934531651e-09,1.878706192523618e-09,1.0938034850273023e-09,-5.485043782839684e-10
30.0,1.508983493714311e-10,1.5001615179604767e-09,1.127315615856439e-09,1.8968550441338097e-09,1.1373701286726344e-09,-5.495581218835332e-10
