time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,-2.6352256089073878e-09,1.3104257736102734e-09,-1.4795298319825179e-10,-9.307432066839329e-10,2.6393757017671005e-09,-1.5183401752802428e-09
1.0,-2.6643380869606492e-09,1.2844260196570566e-09,-1.4217965693674728e-10,-9.13794943241512e-10,2.6681290254550627e-09,-1.4924074160594817e-09
2.0,-2.68562653539528e-09,1.257972190849344e-09,-1.3504260903962617e-10,-8.965449006756616e-10,2.689019597153484e-09,-1.4659718266583642e-09
3.0,-2.7053034187818348e-09,1.2310803177803878e-09,-1.1305760494462191e-10,-8.790027363832766e-10,2.7076647890218053e-09,-1.4390467593558928e-09
4.0,-2.73873108219691e-09,1.203766482863212e-09,-8.726144806736613e-11,-8.611781111233027e-10,2.740120891659759e-09,-1.4116455908352127e-09
5.0,-2.784897890420468e-09,1.1760467821478452e-09,-7.307170146741981e-11,-8.430806668283745e-10,2.7858563734736427e-09,-1.3837816907185112e-09
6.0,-2.8231628337177517e-09,1.1479372883842216e-09,-5.877462405656786e-11,-8.247200052992871e-10,2.8237745735306558e-09,-1.3554683915258878e-09
7.0,-2.847504692107816e-09,1.119454015421583e-09,-3.743066273598217e-11,-8.061056678191553e-10,2.8477506959157933e-09,-1.3267189601188072e-09
8.0,-2.8705885776053597e-09,1.0906128840279161e-09,-1.1478408501464088e-11,-7.872471157209212e-10,2.870611526441725e-09,-1.2975465706808715e-09
9.0,-2.909303308679112e-09,1.0614296892056702e-09,1.1476382344444147e-11,-7.681537119392192e-10,2.909325944139457e-09,-1.2679642792810372e-09
10.0,-2.9570438632442464e-09,1.0319200690728604e-09,4.418394816685378e-11,-7.48834703575512e-10,2.957373941595156e-09,-1.2379850000571566e-09
11.0,-3.0071523465791117e-09,1.0020994753719214e-09,8.440751569915861e-11,-7.292992055036845e-10,3.008336727203715e-09,-1.2076214830511357e-09
12.0,-3.0463342959308193e-09,9.719831456623252e-10,1.2225796069964545e-10,-7.095561850416462e-10,3.048786586745415e-09,-1.1768862937210044e-09
13.0,-3.080736336175116e-09,9.415860772466333e-10,1.4429299421969688e-10,-6.896144477125622e-10,3.0841136232652913e-09,-1.1457917941494028e-09
14.0,-3.1170573813049662e-09,9.109230028728988e-10,1.6456994794689095e-10,-6.694826241167697e-10,3.1213987227066997e-09,-1.114350125961973e-09
15.0,-3.161112730951099e-09,8.800083682490513e-10,1.9947554025234737e-10,-6.49169157932074e-10,3.1674002255698725e-09,-1.0825731949627386e-09
16.0,-3.210990215038456e-09,8.4885631139733e-10,2.377114824425597e-10,-6.286822950561076e-10,3.2197771522199718e-09,-1.050472657486994e-09
17.0,-3.2612162935430344e-09,8.174806438691543e-10,2.6759573723555974e-10,-6.080300739000655e-10,3.272176522111423e-09,-1.0180599084656762e-09
