time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,1.8378265450036402e-06,-2.5279149638197777e-07,-5.000870251625766e-06,1.465541466028703e-06,5.327880411863199e-06,-1.4739451935871496e-06
1.0,1.8447595767079328e-06,-2.4671316983986427e-07,-5.0276616889166625e-06,1.4450003218823372e-06,5.355419680478457e-06,-1.4526040091218596e-06
2.0,1.8526876685298621e-06,-2.4055385120639044e-07,-5.0550213121502985e-06,1.4241034518542424e-06,5.383836184675045e-06,-1.4309003946540095e-06
3.0,1.8616875464005922e-06,-2.3431876940041794e-07,-5.082763120167755e-06,1.402865093802773e-06,5.412980829095971e-06,-1.4088494581717162e-06
4.0,1.8705068195734587e-06,-2.280131853021839e-07,-5.11077625175993e-06,1.3812995010992358e-06,5.442318408327842e-06,-1.38646633076599e-06
5.0,1.8788024933047431e-06,-2.2164237934811545e-07,-5.139336956005991e-06,1.359420908838255e-06,5.471990785465291e-06,-1.363766130700779e-06
6.0,1.8877616636825412e-06,-2.152116393143942e-07,-5.168365464214286e-06,1.3372435011561933e-06,5.502330930664969e-06,-1.3407639285961909e-06
7.0,1.896433913128881e-06,-2.0872624832837616e-07,-5.1971037079989735e-06,1.3147813797449595e-06,5.532300474356215e-06,-1.317474713820152e-06
8.0,1.9047449275888528e-06,-2.0219147314502637e-07,-5.226204244479504e-06,1.2920485336405435e-06,5.562487217440689e-06,-1.2939133621755791e-06
9.0,1.9133904668178214e-06,-1.9561255272342809e-07,-5.256648310525414e-06,1.2690588103576623e-06,5.594051710438419e-06,-1.2700946049619036e-06
10.0,1.9220863479996186e-06,-1.889946871361817e-07,-5.286923229486096e-06,1.2458258884339815e-06,5.6254753722371055e-06,-1.2460329994815803e-06
11.0,1.930463889521228e-06,-1.8234302684213693e-07,-5.316856004855541e-06,1.2223632514395346e-06,5.6564696238125295e-06,-1.221742901053991e-06
12.0,1.938191907885356e-06,-1.7566266235041647e-07,-5.3466809994962006e-06,1.1986841634991848e-06,5.687142127832394e-06,-1.197238436590986e-06
13.0,1.945806744674261e-06,-1.6895861430110658e-07,-5.375086487457992e-06,1.1748016463682717e-06,5.716442830578588e-06,-1.1725334797801735e-06
14.0,1.953296724394038e-06,-1.622358239853313e-07,-5.4037610899282384e-06,1.1507284580940022e-06,5.745955273977592e-06,-1.1476416279140027e-06
15.0,1.960278940588145e-06,-1.554991443247234e-07,-5.434504799506357e-06,1.1264770732877183e-06,5.777242935931551e-06,-1.1225761803947797e-06
16.0,1.967327603269453e-06,-1.4875333132759856e-07,-5.465312130303879e-06,1.1020596650259795e-06,5.808615547635482e-06,-1.0973501189380496e-06
17.0,1.9741945863904764e-06,-1.4200303603646636e-07,-5.4961401360631434e-06,1.0774880883914927e-06,5.83994868643361e-06,-1.0719760894893712e-06
18.0,1.9803536532581045e-06,-1.3525279697890928e-07,-5.527435726848662e-06,1.0527738656583232e-06,5.871485868706124e-06,-1.046466385862402e-06
