time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,-1.6000259206311318e-06,-9.28291024919184e-08,-2.9027695286065747e-06,-2.216743970211291e-07,3.3145367523831042e-06,2.3642345512344495e-07
1.0,-1.5952960659565418e-06,-8.971712375901176e-08,-2.8916279307261705e-06,-2.126873357248746e-07,3.3024962721874697e-06,2.2705115253321315e-07
2.0,-1.5933675275442427e-06,-8.65574218323054e-08,-2.88261373651566e-06,-2.0358038293211736e-07,3.2936730304906147e-06,2.1755109399930735e-07
3.0,-1.5893886694123838e-06,-8.335117646300432e-08,-2.8722023257404805e-06,-1.943584294150954e-07,3.282636523047517e-06,2.0792813237051832e-07
4.0,-1.5876630936190184e-06,-8.009955635741896e-08,-2.8635514669334006e-06,-1.8502635528543647e-07,3.274232902928004e-06,1.9818710589201385e-07
5.0,-1.584415361036151e-06,-7.680371708540528e-08,-2.853589721546479e-06,-1.7558901863780563e-07,3.263946435712913e-06,1.8833282727148322e-07
6.0,-1.5820233993241173e-06,-7.346479919553165e-08,-2.8444910173119897e-06,-1.6605124464003304e-07,3.2548313602362925e-06,1.7837007323731092e-07
7.0,-1.5791992205582694e-06,-7.008392653773994e-08,-2.834877456212026e-06,-1.564178150987469e-07,3.2450578376896478e-06,1.6830357461461093e-07
8.0,-1.5771236405864864e-06,-6.66622047931028e-08,-2.8258936265040946e-06,-1.466934585264861e-07,3.236200513876301e-06,1.5813800694171345e-07
9.0,-1.5738374577051184e-06,-6.320072020923531e-08,-2.8158888124296677e-06,-1.368828407332683e-07,3.225863318127765e-06,1.4787798164655923e-07
10.0,-1.5719660710067362e-06,-5.970053853901064e-08,-2.8070233230037545e-06,-1.26990555962665e-07,3.2172126545013146e-06,1.3752803779944887e-07
11.0,-1.569581268748288e-06,-5.6162704179464056e-08,-2.7977736428846933e-06,-1.1702111858960508e-07,3.207977979354873e-06,1.2709263445573616e-07
